Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	101244.892	101244.892	101244.892	101244.892	0	0	0	0	7912.82	0	0	3
2	10	0	0.0279027315	101243.87	101244.381	101243.87	101244.892	0.510664373	0	0	0	1901.4	0	0	3
3	11	0	0.0418540973	101243.866	101244.209	101243.866	101244.892	0.682364294	0	0	0	1048.3	0	0	3
4	13	0	0.055805463	101243.854	101244.12	101243.854	101244.892	0.77126687	0	0	0	975.984	0	0	3
5	14	0	0.0697568288	101243.834	101244.063	101243.834	101244.892	0.828604883	0	0	0	846.185	0	0	3
6	16	0	0.0837081945	101243.825	101244.023	101243.825	101244.892	0.868296665	0	0	0	741.972	0	0	3
7	17	0	0.0976595603	101243.798	101243.991	101243.798	101244.892	0.900455874	0	0	0	645.245	0	0	3
8	18	0	0.111610926	101243.779	101243.965	101243.779	101244.892	0.926986486	0	0	0	583.486	0	0	3
9	20	0	0.125562292	101243.75	101243.941	101243.75	101244.892	0.950844441	0	0	0	550.346	0	0	3
10	21	0	0.139513658	101243.724	101243.919	101243.724	101244.892	0.972496368	0	0	0	568.714	0	0	3
11	22	0	0.153465023	101243.7	101243.899	101243.7	101244.892	0.992463223	0	0	0	583.901	0	0	3
12	23	0	0.167416389	101243.674	101243.881	101243.674	101244.892	1.01124816	0	0	0	600.535	0	0	3
13	25	0	0.181367755	101243.648	101243.863	101243.648	101244.892	1.02911131	0	0	0	616.795	0	0	3
14	26	0	0.195319121	101243.625	101243.846	101243.625	101244.892	1.04612086	0	0	0	632.58	0	0	3
15	27	0	0.209270486	101243.602	101243.829	101243.602	101244.892	1.06237979	0	0	0	648.179	0	0	3
16	29	0	0.223221852	101243.58	101243.814	101243.58	101244.892	1.07796419	0	0	0	659.511	0	0	3
17	30	0	0.237173218	101243.561	101243.799	101243.561	101244.892	1.09285552	0	0	0	670.105	0	0	3
18	32	0	0.251124584	101243.54	101243.785	101243.54	101244.892	1.10721285	0	0	0	680.537	0	0	3
19	33	0	0.265075949	101243.522	101243.771	101243.522	101244.892	1.12101903	0	0	0	690.868	0	0	3
20	34	0	0.279027315	101243.504	101243.757	101243.504	101244.892	1.13435582	0	0	0	700.996	0	0	3
21	36	0	0.292978681	101243.489	101243.745	101243.489	101244.892	1.14714803	0	0	0	707.747	0	0	3
22	37	0	0.306930047	101243.473	101243.732	101243.473	101244.892	1.15947558	0	0	0	714.352	0	0	3
23	38	0	0.320881412	101243.459	101243.72	101243.459	101244.892	1.17136407	0	0	0	721.169	0	0	3
