Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	9.98421549	9.98421549	9.98421549	9.98421549	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	9.98377766	9.98399657	9.98377766	9.98421549	0.000218915038	0	0	0	0	0	0	3
3	11	0	0.0418540973	9.98308816	9.98369377	9.98308816	9.98421549	0.000521718617	0	0	0	0	0	0	3
4	13	0	0.055805463	9.98304335	9.98353116	9.98304335	9.98421549	0.000684322472	0	0	0	0	0	0	3
5	14	0	0.0697568288	9.98274422	9.98337377	9.98274422	9.98421549	0.000841711717	0	0	0	0	0	0	3
6	16	0	0.0837081945	9.98241074	9.98321327	9.98241074	9.98421549	0.00100221793	0	0	0	0	0	0	3
7	17	0	0.0976595603	9.98184005	9.98301709	9.98184005	9.98421549	0.00119839244	0	0	0	0	0	0	3
8	18	0	0.111610926	9.98123778	9.98279468	9.98123778	9.98421549	0.00142080655	0	0	0	0	0	0	3
9	20	0	0.125562292	9.98062811	9.98255395	9.98062811	9.98421549	0.00166153594	0	0	0	0	0	0	3
10	21	0	0.139513658	9.98003064	9.98230162	9.98003064	9.98421549	0.00191386672	0	0	0	0	0	0	3
11	22	0	0.153465023	9.97911934	9.98201232	9.97911934	9.98421549	0.00220316457	0	0	0	0	0	0	3
12	23	0	0.167416389	9.97820478	9.98169503	9.97820478	9.98421549	0.00252045925	0	0	0	0	0	0	3
13	25	0	0.181367755	9.97731344	9.98135798	9.97731344	9.98421549	0.00285750396	0	0	0	0	0	0	3
14	26	0	0.195319121	9.97641168	9.98100467	9.97641168	9.98421549	0.0032108115	0	0	0	0	0	0	3
15	27	0	0.209270486	9.97552595	9.98063943	9.97552595	9.98421549	0.00357605961	0	0	0	0	0	0	3
16	29	0	0.223221852	9.97422914	9.98023878	9.97422914	9.98421549	0.00397670274	0	0	0	0	0	0	3
17	30	0	0.237173218	9.97298739	9.97981223	9.97298739	9.98421549	0.00440325553	0	0	0	0	0	0	3
18	32	0	0.251124584	9.97177306	9.97936561	9.97177306	9.98421549	0.00484987596	0	0	0	0	0	0	3
19	33	0	0.265075949	9.97062623	9.97890564	9.97062623	9.98421549	0.00530984351	0	0	0	0	0	0	3
20	34	0	0.279027315	9.96953163	9.97843694	9.96953163	9.98421549	0.00577854394	0	0	0	0	0	0	3
21	36	0	0.292978681	9.96805852	9.97794273	9.96805852	9.98421549	0.00627275447	0	0	0	0	0	0	3
22	37	0	0.306930047	9.9667296	9.97743304	9.9667296	9.98421549	0.00678244244	0	0	0	0	0	0	3
23	38	0	0.320881412	9.96551297	9.97691478	9.96551297	9.98421549	0.00730070645	0	0	0	0	0	0	3
24	40	0	0.334832778	9.96441582	9.97639399	9.96441582	9.98421549	0.00782149652	0	0	0	0	0	0	3
25	41	0	0.348784144	9.96340556	9.97587445	9.96340556	9.98421549	0.00834103369	0	0	0	0	0	0	3
26	43	0	0.36273551	9.96211766	9.97534534	9.96211766	9.98421549	0.0088701411	0	0	0	0	0	0	3
27	44	0	0.376686875	9.96091553	9.97481091	9.96091553	9.98421549	0.00940457869	0	0	0	0	0	0	3
28	45	0	0.390638241	9.95969	9.97427087	9.95969	9.98421549	0.0099446112	0	0	0	0	0	0	3
29	47	0	0.404589607	9.95839891	9.97372356	9.95839891	9.98421549	0.0104919203	0	0	0	0	0	0	3
30	48	0	0.418540973	9.95702925	9.97316709	9.95702925	9.98421549	0.0110483976	0	0	0	0	0	0	3
31	50	0	0.432492338	9.95498402	9.97258054	9.95498402	9.98421549	0.0116349482	0	0	0	0	0	0	3
32	51	0	0.446443704	9.95297062	9.97196773	9.95297062	9.98421549	0.0122477581	0	0	0	0	0	0	3
33	52	0	0.46039507	9.95088678	9.97132891	9.95088678	9.98421549	0.0128865747	0	0	0	0	0	0	3
34	54	0	0.474346436	9.94882544	9.97066704	9.94882544	9.98421549	0.0135484414	0	0	0	0	0	0	3
35	55	0	0.488297801	9.94696163	9.96998975	9.94696163	9.98421549	0.0142257389	0	0	0	0	0	0	3
36	57	0	0.502249167	9.9447521	9.9692887	9.9447521	9.98421549	0.0149267848	0	0	0	0	0	0	3
37	58	0	0.516200533	9.94310522	9.96814675	9.94310522	9.98377766	0.0158498214	0	0	0	0	0	0	3
38	60	0	0.530151899	9.94199343	9.96698608	9.94199343	9.98308816	0.0167076909	0	0	0	0	0	0	3
39	61	0	0.544103264	9.94136451	9.96582709	9.94136451	9.98304335	0.0177040774	0	0	0	0	0	0	3
40	63	0	0.55805463	9.9407499	9.96465227	9.9407499	9.98274422	0.0187215063	0	0	0	0	0	0	3
41	64	0	0.572005996	9.94007599	9.96346704	9.94007599	9.98241074	0.0197462285	0	0	0	0	0	0	3
42	65	0	0.585957362	9.93935236	9.96227097	9.93935236	9.98184005	0.0207461199	0	0	0	0	0	0	3
43	67	0	0.599908727	9.93865829	9.96107148	9.93865829	9.98123778	0.0217231989	0	0	0	0	0	0	3
44	68	0	0.613860093	9.93820784	9.9598762	9.93820784	9.98062811	0.0226777455	0	0	0	0	0	0	3
45	70	0	0.627811459	9.938011	9.95869239	9.938011	9.98003064	0.0236092236	0	0	0	0	0	0	3
46	71	0	0.641762825	9.93757797	9.95751315	9.93757797	9.97911934	0.0244991666	0	0	0	0	0	0	3
47	72	0	0.65571419	9.93719635	9.95634863	9.93719635	9.97820478	0.0253463996	0	0	0	0	0	0	3
48	74	0	0.669665556	9.93675182	9.95519716	9.93675182	9.97731344	0.026160826	0	0	0	0	0	0	3
49	75	0	0.683616922	9.93632875	9.95405869	9.93632875	9.97641168	0.0269459823	0	0	0	0	0	0	3
50	77	0	0.697568288	9.93600613	9.95293632	9.93600613	9.97552595	0.0277031105	0	0	0	0	0	0	3
51	78	0	0.711519653	9.93585098	9.95183423	9.93585098	9.97422914	0.0284045498	0	0	0	0	0	0	3
52	79	0	0.725471019	9.93573716	9.95076501	9.93573716	9.97298739	0.0290472185	0	0	0	0	0	0	3
53	81	0	0.739422385	9.93574688	9.94973055	9.93573716	9.97177306	0.0296350564	0	0	0	0	0	0	3
54	82	0	0.753373751	9.93568447	9.94872809	9.93568447	9.97062623	0.0301775497	0	0	0	0	0	0	3
55	83	0	0.767325116	9.93569742	9.94775785	9.93568447	9.96953163	0.0306790939	0	0	0	0	0	0	3
56	85	0	0.781276482	9.93560922	9.94681556	9.93560922	9.96805852	0.0311271727	0	0	0	0	0	0	3
57	86	0	0.795227848	9.93567103	9.94591591	9.93560922	9.9667296	0.0311203797	0	0	0	0	0	0	3
58	88	0	0.809179214	9.93571453	9.94505438	9.93560922	9.96551297	0.0299037546	0	0	0	0	0	0	3
59	89	0	0.823130579	9.93590564	9.94423195	9.93560922	9.96441582	0.0288066014	0	0	0	0	0	0	3
60	90	0	0.837081945	9.93605954	9.94344428	9.93560922	9.96340556	0.0277963435	0	0	0	0	0	0	3
61	92	0	0.851033311	9.93636946	9.94269327	9.93560922	9.96211766	0.026508443	0	0	0	0	0	0	3
62	93	0	0.864984677	9.936549	9.94198303	9.93560922	9.96091553	0.0253063133	0	0	0	0	0	0	3
63	95	0	0.878936042	9.93679208	9.94131294	9.93560922	9.95969	0.0240807804	0	0	0	0	0	0	3
64	96	0	0.892887408	9.937011	9.94068296	9.93560922	9.95839891	0.022789694	0	0	0	0	0	0	3
65	97	0	0.906838774	9.93734606	9.94009816	9.93560922	9.95702925	0.0214200314	0	0	0	0	0	0	3
66	99	0	0.92079014	9.93769357	9.93956106	9.93560922	9.95498402	0.0193748016	0	0	0	0	0	0	3
67	100	0	0.934741505	9.93804833	9.93909063	9.93560922	9.95297062	0.0173614034	0	0	0	0	0	0	3
68	101	0	0.948692871	9.93832751	9.93868387	9.93560922	9.95088678	0.0152775658	0	0	0	0	0	0	3
69	103	0	0.962644237	9.93861297	9.93834293	9.93560922	9.94882544	0.0132162253	0	0	0	0	0	0	3
70	104	0	0.976595603	9.93887183	9.93806644	9.93560922	9.94696163	0.0113524151	0	0	0	0	0	0	3
71	106	0	0.990546968	9.93913712	9.9378491	9.93560922	9.9447521	0.00914287912	0	0	0	0	0	0	3
72	107	0	1.00449833	9.93939354	9.93770025	9.93560922	9.94310522	0.00749600884	0.00142436831	0	19	0	0	0	3
73	108	0	1.0184497	9.93963508	9.93760385	9.93560922	9.94199343	0.00638420937	0.00142436831	0	22.3	0	0	0	3
74	110	0	1.03240107	9.93990141	9.93754574	9.93560922	9.94136451	0.00575529025	0.00142436831	0	24.7	0	0	0	3
75	111	0	1.04635243	9.94012734	9.93751138	9.93560922	9.9407499	0.00514068307	0.00142436831	0	27.7	0	0	0	3
76	112	0	1.0603038	9.94037572	9.93750098	9.93560922	9.94037572	0.00476649955	0.00142436831	0	29.8	0	0	0	3
77	114	0	1.07425516	9.94059835	9.93751549	9.93560922	9.94059835	0.00498913793	0.00142436831	0	28.5	0	0	0	3
78	115	0	1.08820653	9.94077626	9.93755505	9.93560922	9.94077626	0.00516704517	0.00142436831	0	27.5	0	0	0	3
79	117	0	1.10215789	9.94094483	9.93761856	9.93560922	9.94094483	0.00533561729	0.00142436831	0	26.6	0	0	0	3
80	118	0	1.11610926	9.94105253	9.93769758	9.93560922	9.94105253	0.00544331626	0.00142436831	0	26.1	0	0	0	3
81	119	0	1.13006063	9.94115943	9.93778504	9.93560922	9.94115943	0.00555021747	0.00142436831	0	25.6	0	0	0	3
82	121	0	1.14401199	9.94128721	9.93788807	9.93560922	9.94128721	0.00567799234	0.00142436831	0	25	0	0	0	3
83	122	0	1.15796336	9.94136865	9.93800397	9.93560922	9.94136865	0.00575943062	0.00142436831	0	24.7	0	0	0	3
84	123	0	1.17191472	9.94151758	9.93813635	9.93560922	9.94151758	0.00590836273	0.00142436831	0	24.1	0	0	0	3
85	125	0	1.18586609	9.94164265	9.93828396	9.93560922	9.94164265	0.00603343574	0.00142436831	0	23.6	0	0	0	3
86	126	0	1.19981745	9.94179768	9.93844484	9.93560922	9.94179768	0.00618846339	0.00142436831	0	23	0	0	0	3
