Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	0.201803742	0.201803742	0.201803742	0.201803742	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	0.202076962	0.201940352	0.201803742	0.202076962	0.000136610028	0	0	0	0	0	0	3
3	11	0	0.0418540973	0.202204902	0.202028535	0.201803742	0.202204902	0.000224793362	0	0	0	0	0	0	3
4	13	0	0.055805463	0.202292249	0.202094464	0.201803742	0.202292249	0.000290721907	0	0	0	0	0	0	3
5	14	0	0.0697568288	0.202344324	0.202144436	0.201803742	0.202344324	0.000340693942	0	0	0	0	0	0	3
6	16	0	0.0837081945	0.202475878	0.202199676	0.201803742	0.202475878	0.000395934263	0	0	0	0	0	0	3
7	17	0	0.0976595603	0.202603964	0.202257431	0.201803742	0.202603964	0.000453689652	0	0	0	0	0	0	3
8	18	0	0.111610926	0.202748714	0.202318842	0.201803742	0.202748714	0.000515099958	0	0	0	0	0	0	3
9	20	0	0.125562292	0.20288407	0.202381645	0.201803742	0.20288407	0.000577903082	0	0	0	0	0	0	3
10	21	0	0.139513658	0.203023829	0.202445863	0.201803742	0.203023829	0.000642121449	0	0	0	0	0	0	3
11	22	0	0.153465023	0.203215585	0.202515838	0.201803742	0.203215585	0.000712096192	0	0	0	0	0	0	3
12	23	0	0.167416389	0.20341761	0.202590986	0.201803742	0.20341761	0.000787243854	0	0	0	0	0	0	3
13	25	0	0.181367755	0.203607346	0.202669167	0.201803742	0.203607346	0.000865425449	0	0	0	0	0	0	3
14	26	0	0.195319121	0.20380924	0.202750601	0.201803742	0.20380924	0.000946859225	0	0	0	0	0	0	3
15	27	0	0.209270486	0.204021515	0.202835329	0.201803742	0.204021515	0.00103158681	0	0	0	0	0	0	3
16	29	0	0.223221852	0.204363615	0.202930847	0.201803742	0.204363615	0.00112710469	0	0	0	0	0	0	3
17	30	0	0.237173218	0.204720507	0.203036121	0.201803742	0.204720507	0.00123237884	0	0	0	0	0	0	3
18	32	0	0.251124584	0.205091779	0.203150324	0.201803742	0.205091779	0.0013465821	0	0	0	0	0	0	3
19	33	0	0.265075949	0.205474154	0.203272631	0.201803742	0.205474154	0.00146888896	0	0	0	0	0	0	3
20	34	0	0.279027315	0.205880839	0.203403041	0.201803742	0.205880839	0.00159929937	0	0	0	0	0	0	3
21	36	0	0.292978681	0.206478922	0.203549512	0.201803742	0.206478922	0.00174576987	0	0	0	0	0	0	3
22	37	0	0.306930047	0.207053615	0.203708789	0.201803742	0.207053615	0.00190504729	0	0	0	0	0	0	3
23	38	0	0.320881412	0.207571156	0.203876718	0.201803742	0.207571156	0.00207297627	0	0	0	0	0	0	3
24	40	0	0.334832778	0.208040418	0.204050206	0.201803742	0.208040418	0.00224646375	0	0	0	0	0	0	3
25	41	0	0.348784144	0.208446602	0.204226061	0.201803742	0.208446602	0.00242231962	0	0	0	0	0	0	3
26	43	0	0.36273551	0.208987449	0.204409192	0.201803742	0.208987449	0.00260544989	0	0	0	0	0	0	3
27	44	0	0.376686875	0.209606256	0.204601676	0.201803742	0.209606256	0.00279793374	0	0	0	0	0	0	3
28	45	0	0.390638241	0.210380743	0.204808071	0.201803742	0.210380743	0.00300432899	0	0	0	0	0	0	3
29	47	0	0.404589607	0.211389563	0.205035019	0.201803742	0.211389563	0.003231277	0	0	0	0	0	0	3
30	48	0	0.418540973	0.2126376	0.205288438	0.201803742	0.2126376	0.00348469638	0	0	0	0	0	0	3
31	50	0	0.432492338	0.214682677	0.205591478	0.201803742	0.214682677	0.00378773633	0	0	0	0	0	0	3
32	51	0	0.446443704	0.216781392	0.205941163	0.201803742	0.216781392	0.00413742113	0	0	0	0	0	0	3
33	52	0	0.46039507	0.218780358	0.206330229	0.201803742	0.218780358	0.00452648764	0	0	0	0	0	0	3
34	54	0	0.474346436	0.220395537	0.206743915	0.201803742	0.220395537	0.00494017315	0	0	0	0	0	0	3
35	55	0	0.488297801	0.221476106	0.207164835	0.201803742	0.221476106	0.0053610929	0	0	0	0	0	0	3
36	57	0	0.502249167	0.221885664	0.207573747	0.201803742	0.221885664	0.00577000483	0	0	0	0	0	0	3
37	58	0	0.516200533	0.221300315	0.208115318	0.202076962	0.221885664	0.00617496628	0	0	0	0	0	0	3
38	60	0	0.530151899	0.220080766	0.208615424	0.202204902	0.221885664	0.00658688862	0	0	0	0	0	0	3
39	61	0	0.544103264	0.218658484	0.209072468	0.202292249	0.221885664	0.00697800402	0	0	0	0	0	0	3
40	63	0	0.55805463	0.217471818	0.209494122	0.202344324	0.221885664	0.00734968667	0	0	0	0	0	0	3
41	64	0	0.572005996	0.216599876	0.20989011	0.202475878	0.221885664	0.0076904339	0	0	0	0	0	0	3
42	65	0	0.585957362	0.216477269	0.210279038	0.202603964	0.221885664	0.00802160604	0	0	0	0	0	0	3
43	67	0	0.599908727	0.216796866	0.210673285	0.202748714	0.221885664	0.00835444302	0	0	0	0	0	0	3
44	68	0	0.613860093	0.217075028	0.211071238	0.20288407	0.221885664	0.00868959307	0	0	0	0	0	0	3
45	70	0	0.627811459	0.217258864	0.211470538	0.203023829	0.221885664	0.00902467454	0	0	0	0	0	0	3
46	71	0	0.641762825	0.217342426	0.211868277	0.203215585	0.221885664	0.00935243862	0	0	0	0	0	0	3
47	72	0	0.65571419	0.217403433	0.212262384	0.20341761	0.221885664	0.00967139783	0	0	0	0	0	0	3
48	74	0	0.669665556	0.217452794	0.21265225	0.203607346	0.221885664	0.00998308247	0	0	0	0	0	0	3
49	75	0	0.683616922	0.217489501	0.213037865	0.20380924	0.221885664	0.0102872641	0	0	0	0	0	0	3
50	77	0	0.697568288	0.21746596	0.213417218	0.204021515	0.221885664	0.0105818898	0	0	0	0	0	0	3
51	78	0	0.711519653	0.217400757	0.213788864	0.204363615	0.221885664	0.0108580176	0	0	0	0	0	0	3
52	79	0	0.725471019	0.217326727	0.214148951	0.204720507	0.221885664	0.0111128299	0	0	0	0	0	0	3
53	81	0	0.739422385	0.217284934	0.214497962	0.205091779	0.221885664	0.0113476385	0	0	0	0	0	0	3
54	82	0	0.753373751	0.217243936	0.214835522	0.205474154	0.221885664	0.0115628915	0	0	0	0	0	0	3
55	83	0	0.767325116	0.217256437	0.215162808	0.205880839	0.221885664	0.0117597667	0	0	0	0	0	0	3
56	85	0	0.781276482	0.217263168	0.215478984	0.206478922	0.221885664	0.011929472	0	0	0	0	0	0	3
57	86	0	0.795227848	0.21727597	0.215778902	0.207053615	0.221885664	0.0120701126	0	0	0	0	0	0	3
58	88	0	0.809179214	0.21726704	0.216062608	0.207571156	0.221885664	0.0121858899	0	0	0	0	0	0	3
59	89	0	0.823130579	0.217277135	0.216332219	0.208040418	0.221885664	0.0122820129	0	0	0	0	0	0	3
60	90	0	0.837081945	0.217291069	0.216589181	0.208446602	0.221885664	0.0123631196	0	0	0	0	0	0	3
61	92	0	0.851033311	0.21735653	0.216836679	0.208987449	0.221885664	0.0124274873	0	0	0	0	0	0	3
62	93	0	0.864984677	0.217430908	0.21707122	0.209606256	0.221885664	0.0122794083	0	0	0	0	0	0	3
63	95	0	0.878936042	0.217529051	0.217291297	0.210380743	0.221885664	0.0115049215	0	0	0	0	0	0	3
64	96	0	0.892887408	0.217594131	0.217491669	0.211389563	0.221885664	0.010496101	0	0	0	0	0	0	3
65	97	0	0.906838774	0.217641632	0.217665338	0.2126376	0.221885664	0.00924806369	0	0	0	0	0	0	3
66	99	0	0.92079014	0.217653611	0.217804671	0.214682677	0.221885664	0.00720298746	0	0	0	0	0	0	3
67	100	0	0.934741505	0.217653918	0.217887206	0.216477269	0.221885664	0.00540839517	0	0	0	0	0	0	3
68	101	0	0.948692871	0.217694184	0.217912561	0.216477269	0.221885664	0.00540839517	0	0	0	0	0	0	3
69	103	0	0.962644237	0.217732228	0.217883446	0.216477269	0.221885664	0.00540839517	0	0	0	0	0	0	3
70	104	0	0.976595603	0.217765392	0.217810387	0.216477269	0.221885664	0.00540839517	0	0	0	0	0	0	3
71	106	0	0.990546968	0.217791826	0.217708046	0.216477269	0.221885664	0.00540839517	0	0	0	0	0	0	3
72	107	0	1.00449833	0.21779308	0.217594363	0.216477269	0.221300315	0.00482304623	0.000590422866	0	12.2	0	0	0	3
73	108	0	1.0184497	0.217814096	0.217497523	0.216477269	0.220080766	0.00360349729	0.000590422866	0	16.3	0	0	0	3
74	110	0	1.03240107	0.217830984	0.217435029	0.216477269	0.218658484	0.00218121512	0.000590422866	0	27	0	0	0	3
75	111	0	1.04635243	0.217851844	0.217412623	0.216477269	0.217851844	0.00137457528	0.000590422866	0	42.9	0	0	0	3
76	112	0	1.0603038	0.21786976	0.217423677	0.216477269	0.21786976	0.00139249109	0.000590422866	0	42.4	0	0	0	3
77	114	0	1.07425516	0.217877063	0.217459154	0.216477269	0.217877063	0.00139979387	0.000590422866	0	42.1	0	0	0	3
78	115	0	1.08820653	0.217858351	0.217497518	0.216796866	0.217877063	0.00108019675	0.000590422866	0	54.6	0	0	0	3
79	117	0	1.10215789	0.217862997	0.217527132	0.217075028	0.217877063	0.000802034651	0.000590422866	0	73.6	0	0	0	3
80	118	0	1.11610926	0.21785123	0.217548694	0.217243936	0.217877063	0.00063312643	0.000590422866	0	93.2	0	0	0	3
81	119	0	1.13006063	0.21786211	0.21756545	0.217243936	0.217877063	0.00063312643	0.000590422866	0	93.2	0	0	0	3
82	121	0	1.14401199	0.217855141	0.217579692	0.217243936	0.217877063	0.00063312643	0.000590422866	0	93.2	0	0	0	3
83	122	0	1.15796336	0.217862886	0.217592455	0.217243936	0.217877063	0.00063312643	0.000590422866	0	93.2	0	0	0	3
84	123	0	1.17191472	0.217868099	0.217603991	0.217243936	0.217877063	0.00063312643	0.000590422866	0	93.2	0	0	0	3
