Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	103736.941	103736.941	103736.941	103736.941	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	7993.51307	55865.2272	7993.51307	103736.941	47871.7141	0	0	0	0	0	0	3
3	11	0	0.0418540973	4306.6058	38679.0201	4306.6058	103736.941	65057.9212	0	0	0	0	0	0	3
4	13	0	0.055805463	1648.70342	29421.4409	1648.70342	103736.941	74315.5004	0	0	0	0	0	0	3
5	14	0	0.0697568288	1996.58629	23936.47	1648.70342	103736.941	79800.4713	0	0	0	0	0	0	3
6	16	0	0.0837081945	1714.59663	20232.8244	1648.70342	103736.941	83504.1169	0	0	0	0	0	0	3
7	17	0	0.0976595603	1915.6576	17616.0863	1648.70342	103736.941	86120.855	0	0	0	0	0	0	3
8	18	0	0.111610926	1869.64359	15647.781	1648.70342	103736.941	88089.1603	0	0	0	0	0	0	3
9	20	0	0.125562292	1836.80319	14113.2279	1648.70342	103736.941	89623.7134	0	0	0	0	0	0	3
10	21	0	0.139513658	1763.30777	12878.2359	1648.70342	103736.941	90858.7054	0	0	0	0	0	0	3
11	22	0	0.153465023	1686.65741	11860.8196	1648.70342	103736.941	91876.1217	0	0	0	0	0	0	3
12	23	0	0.167416389	1628.60076	11008.1347	1628.60076	103736.941	92728.8066	0	0	0	0	0	0	3
13	25	0	0.181367755	1554.71466	10280.9486	1554.71466	103736.941	93455.9927	0	0	0	0	0	0	3
14	26	0	0.195319121	1509.30408	9654.40254	1509.30408	103736.941	94082.5388	0	0	0	0	0	0	3
15	27	0	0.209270486	1446.92248	9107.2372	1446.92248	103736.941	94629.7041	0	0	0	0	0	0	3
16	29	0	0.223221852	1404.11213	8625.79189	1404.11213	103736.941	95111.1494	0	0	0	0	0	0	3
17	30	0	0.237173218	1352.27878	8197.93817	1352.27878	103736.941	95539.0031	0	0	0	0	0	0	3
18	32	0	0.251124584	1316.81276	7815.65343	1316.81276	103736.941	95921.2879	0	0	0	0	0	0	3
19	33	0	0.265075949	1282.0536	7471.77975	1282.0536	103736.941	96265.1616	0	0	0	0	0	0	3
20	34	0	0.279027315	1256.67138	7161.02434	1256.67138	103736.941	96575.917	0	0	0	0	0	0	3
21	36	0	0.292978681	1235.71941	6878.86696	1235.71941	103736.941	96858.0743	0	0	0	0	0	0	3
22	37	0	0.306930047	1213.74571	6621.36145	1213.74571	103736.941	97115.5799	0	0	0	0	0	0	3
23	38	0	0.320881412	1196.00726	6385.47648	1196.00726	103736.941	97351.4648	0	0	0	0	0	0	3
24	40	0	0.334832778	1186.36818	6168.84697	1186.36818	103736.941	97568.0943	0	0	0	0	0	0	3
25	41	0	0.348784144	1181.94265	5969.3708	1181.94265	103736.941	97767.5705	0	0	0	0	0	0	3
26	43	0	0.36273551	1180.5747	5785.18633	1180.5747	103736.941	97951.755	0	0	0	0	0	0	3
27	44	0	0.376686875	1184.00929	5614.77237	1180.5747	103736.941	98122.1689	0	0	0	0	0	0	3
28	45	0	0.390638241	1191.46755	5456.7972	1180.5747	103736.941	98280.1441	0	0	0	0	0	0	3
