Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	-34.6839067	-34.6839067	-34.6839067	-34.6839067	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	-183.685299	-109.184603	-183.685299	-34.6839067	74.5006964	0	0	0	0	0	0	3
3	11	0	0.0418540973	-195.484688	-137.951298	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
4	13	0	0.055805463	-95.2001443	-127.26351	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
5	14	0	0.0697568288	-89.8859675	-119.788001	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
6	16	0	0.0837081945	-71.0070016	-111.657835	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
7	17	0	0.0976595603	-77.1463473	-106.727622	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
8	18	0	0.111610926	-80.8619232	-103.49441	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
9	20	0	0.125562292	-91.2637347	-102.135446	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
10	21	0	0.139513658	-89.0714029	-100.829042	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
11	22	0	0.153465023	-86.4356567	-99.520552	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
12	23	0	0.167416389	-90.2853061	-98.7509482	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
13	25	0	0.181367755	-88.5633997	-97.9672906	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
14	26	0	0.195319121	-89.455436	-97.359301	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
15	27	0	0.209270486	-83.7741813	-96.4536264	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
16	29	0	0.223221852	-88.8659469	-95.9793964	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
17	30	0	0.237173218	-85.4865257	-95.3621687	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
18	32	0	0.251124584	-81.433206	-94.5883375	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
19	33	0	0.265075949	-75.4557648	-93.5813599	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
20	34	0	0.279027315	-78.2433707	-92.8144605	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
21	36	0	0.292978681	-71.9900179	-91.8228204	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
22	37	0	0.306930047	-68.3850241	-90.757466	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
23	38	0	0.320881412	-63.5597488	-89.5749565	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
24	40	0	0.334832778	-59.0457396	-88.3029058	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
25	41	0	0.348784144	-54.3512471	-86.9448395	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
26	43	0	0.36273551	-55.2489155	-85.7257655	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
27	44	0	0.376686875	-51.4693208	-84.4570083	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
28	45	0	0.390638241	-50.6637626	-83.2501066	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
29	47	0	0.404589607	-45.621803	-81.9525789	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
30	48	0	0.418540973	-43.3575651	-80.6660785	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
31	50	0	0.432492338	-38.1657006	-79.2950985	-195.484688	-34.6839067	103.267391	0	0	0	0	0	0	3
32	51	0	0.446443704	-33.0236219	-77.8491149	-195.484688	-33.0236219	103.267391	0	0	0	0	0	0	3
33	52	0	0.46039507	-24.2486886	-76.2248596	-195.484688	-24.2486886	103.267391	0	0	0	0	0	0	3
34	54	0	0.474346436	-17.6030168	-74.5006877	-195.484688	-17.6030168	103.267391	0	0	0	0	0	0	3
35	55	0	0.488297801	-10.7028884	-72.6778934	-195.484688	-10.7028884	103.267391	0	0	0	0	0	0	3
36	57	0	0.502249167	-8.20211332	-70.8868995	-195.484688	-8.20211332	103.267391	0	0	0	0	0	0	3
37	58	0	0.516200533	-6.65530115	-70.1083272	-195.484688	-6.65530115	67.8429709	0	0	0	0	0	0	3
38	60	0	0.530151899	-9.41809257	-65.2675714	-195.484688	-6.65530115	72.6837266	0	0	0	0	0	0	3
39	61	0	0.544103264	-14.5366234	-60.2412363	-95.2001443	-6.65530115	67.0222733	0	0	0	0	0	0	3
40	63	0	0.55805463	-22.5219347	-58.2223971	-91.2637347	-6.65530115	61.5656041	0	0	0	0	0	0	3
41	64	0	0.572005996	-27.8758994	-56.4998952	-91.2637347	-6.65530115	55.1579393	0	0	0	0	0	0	3
42	65	0	0.585957362	-31.736102	-55.4090369	-91.2637347	-6.65530115	51.3185852	0	0	0	0	0	0	3
43	67	0	0.599908727	-33.0500343	-54.1841393	-91.2637347	-6.65530115	49.3102704	0	0	0	0	0	0	3
44	68	0	0.613860093	-32.6790907	-52.8457273	-91.2637347	-6.65530115	49.2897185	0	0	0	0	0	0	3
45	70	0	0.627811459	-29.9507039	-51.1425876	-90.2853061	-6.65530115	49.686454	0	0	0	0	0	0	3
46	71	0	0.641762825	-28.0489769	-49.4475202	-90.2853061	-6.65530115	50.0730319	0	0	0	0	0	0	3
47	72	0	0.65571419	-25.3157147	-47.749744	-90.2853061	-6.65530115	51.0012042	0	0	0	0	0	0	3
48	74	0	0.669665556	-23.641652	-45.8985314	-89.455436	-6.65530115	52.0687592	0	0	0	0	0	0	3
49	75	0	0.683616922	-21.8173212	-44.0444737	-89.455436	-6.65530115	53.3148273	0	0	0	0	0	0	3
