Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	-3858.89901	-3858.89901	-3858.89901	-3858.89901	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	-1021.37924	-2440.13912	-3858.89901	-1021.37924	1418.75988	0	0	0	0	0	0	3
3	11	0	0.0418540973	-293.559763	-1724.61267	-3858.89901	-293.559763	2134.28634	0	0	0	0	0	0	3
4	13	0	0.055805463	-123.25215	-1324.27254	-3858.89901	-123.25215	2534.62647	0	0	0	0	0	0	3
5	14	0	0.0697568288	116.282801	-1036.16147	-3858.89901	116.282801	2822.73753	0	0	0	0	0	0	3
6	16	0	0.0837081945	105.788067	-845.836549	-3858.89901	116.282801	3013.06246	0	0	0	0	0	0	3
7	17	0	0.0976595603	75.4672383	-714.221722	-3858.89901	116.282801	3144.67728	0	0	0	0	0	0	3
8	18	0	0.111610926	74.054882	-615.687147	-3858.89901	116.282801	3243.21186	0	0	0	0	0	0	3
9	20	0	0.125562292	69.6066009	-539.543397	-3858.89901	116.282801	3319.35561	0	0	0	0	0	0	3
10	21	0	0.139513658	61.9506663	-479.393991	-3858.89901	116.282801	3379.50502	0	0	0	0	0	0	3
11	22	0	0.153465023	76.5469759	-428.853903	-3858.89901	116.282801	3430.0451	0	0	0	0	0	0	3
12	23	0	0.167416389	83.9526723	-386.120021	-3858.89901	116.282801	3472.77898	0	0	0	0	0	0	3
13	25	0	0.181367755	100.759953	-348.667716	-3858.89901	116.282801	3510.23129	0	0	0	0	0	0	3
14	26	0	0.195319121	112.488561	-315.727982	-3858.89901	116.282801	3543.17102	0	0	0	0	0	0	3
15	27	0	0.209270486	124.692663	-286.366605	-3858.89901	124.692663	3572.5324	0	0	0	0	0	0	3
16	29	0	0.223221852	127.414585	-260.505281	-3858.89901	127.414585	3598.39373	0	0	0	0	0	0	3
17	30	0	0.237173218	134.265913	-237.283446	-3858.89901	134.265913	3621.61556	0	0	0	0	0	0	3
18	32	0	0.251124584	141.662665	-216.230884	-3858.89901	141.662665	3642.66812	0	0	0	0	0	0	3
19	33	0	0.265075949	151.409996	-196.881364	-3858.89901	151.409996	3662.01764	0	0	0	0	0	0	3
20	34	0	0.279027315	149.578359	-179.558378	-3858.89901	151.409996	3679.34063	0	0	0	0	0	0	3
21	36	0	0.292978681	142.915573	-164.202476	-3858.89901	151.409996	3694.69653	0	0	0	0	0	0	3
22	37	0	0.306930047	133.573291	-150.667214	-3858.89901	151.409996	3708.23179	0	0	0	0	0	0	3
23	38	0	0.320881412	114.065988	-139.157074	-3858.89901	151.409996	3719.74193	0	0	0	0	0	0	3
24	40	0	0.334832778	91.9126954	-129.529167	-3858.89901	151.409996	3729.36984	0	0	0	0	0	0	3
25	41	0	0.348784144	71.8658361	-121.473367	-3858.89901	151.409996	3737.42564	0	0	0	0	0	0	3
26	43	0	0.36273551	40.5869524	-115.240278	-3858.89901	151.409996	3743.65873	0	0	0	0	0	0	3
27	44	0	0.376686875	0.0774432913	-110.969251	-3858.89901	151.409996	3747.92976	0	0	0	0	0	0	3
28	45	0	0.390638241	-47.2710689	-108.694316	-3858.89901	151.409996	3750.20469	0	0	0	0	0	0	3
29	47	0	0.404589607	-98.99022	-108.359692	-3858.89901	151.409996	3750.53931	0	0	0	0	0	0	3
30	48	0	0.418540973	-147.89859	-109.677655	-3858.89901	151.409996	3750.53931	0	0	0	0	0	0	3
31	50	0	0.432492338	-186.575006	-112.158215	-3858.89901	151.409996	3750.53931	0	0	0	0	0	0	3
32	51	0	0.446443704	-219.879341	-115.5245	-3858.89901	151.409996	3750.53931	0	0	0	0	0	0	3
33	52	0	0.46039507	-240.861869	-119.322602	-3858.89901	151.409996	3750.53931	0	0	0	0	0	0	3
34	54	0	0.474346436	-237.389259	-122.795151	-3858.89901	151.409996	3750.53931	0	0	0	0	0	0	3
35	55	0	0.488297801	-220.873801	-125.597398	-3858.89901	151.409996	3750.53931	0	0	0	0	0	0	3
36	57	0	0.502249167	-197.28829	-127.588812	-3858.89901	151.409996	3750.53931	0	0	0	0	0	0	3
37	58	0	0.516200533	-167.277312	-25.0437648	-1021.37924	151.409996	1172.78924	0	0	0	0	0	0	3
38	60	0	0.530151899	-137.219772	-0.483779505	-293.559763	151.409996	444.969759	0	0	0	0	0	0	3
39	61	0	0.544103264	-114.445464	4.49161768	-240.861869	151.409996	392.271865	0	0	0	0	0	0	3
40	63	0	0.55805463	-100.520885	5.12304171	-240.861869	151.409996	392.271865	0	0	0	0	0	0	3
41	64	0	0.572005996	-97.3726237	-0.811831207	-240.861869	151.409996	392.271865	0	0	0	0	0	0	3
42	65	0	0.585957362	-98.6056817	-6.48943535	-240.861869	151.409996	392.271865	0	0	0	0	0	0	3
43	67	0	0.599908727	-103.651191	-11.4649473	-240.861869	151.409996	392.271865	0	0	0	0	0	0	3
44	68	0	0.613860093	-110.252313	-16.5845916	-240.861869	151.409996	392.271865	0	0	0	0	0	0	3
45	70	0	0.627811459	-114.581578	-21.7009299	-240.861869	151.409996	392.271865	0	0	0	0	0	0	3
46	71	0	0.641762825	-116.981562	-26.6712696	-240.861869	151.409996	392.271865	0	0	0	0	0	0	3
47	72	0	0.65571419	-117.556019	-32.0630194	-240.861869	151.409996	391.243063	0	0	0	0	0	0	3
48	74	0	0.669665556	-119.903871	-37.7257012	-240.861869	151.409996	353.790757	0	0	0	0	0	0	3
49	75	0	0.683616922	-119.472755	-43.8432764	-240.861869	151.409996	320.851023	0	0	0	0	0	0	3
50	77	0	0.697568288	-119.850355	-50.2971352	-240.861869	151.409996	291.489647	0	0	0	0	0	0	3
51	78	0	0.711519653	-118.959485	-57.0652504	-240.861869	151.409996	265.628323	0	0	0	0	0	0	3
52	79	0	0.725471019	-117.531688	-63.8693135	-240.861869	151.409996	242.406488	0	0	0	0	0	0	3
