Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	105255.72	105255.72	105255.72	105255.72	0	0	0	0	7912.82	0	0	3
2	10	0	0.0279027315	102315.4	103785.56	102315.4	105255.72	1470.15967	0	0	0	1901.4	0	0	3
3	11	0	0.0418540973	101716.93	103096.017	101716.93	105255.72	2159.70318	0	0	0	1048.3	0	0	3
4	13	0	0.055805463	101626.938	102728.747	101626.938	105255.72	2526.97292	0	0	0	975.984	0	0	3
5	14	0	0.0697568288	101576.939	102498.385	101576.939	105255.72	2757.33444	0	0	0	846.185	0	0	3
6	16	0	0.0837081945	101548.962	102340.148	101548.962	105255.72	2915.57163	0	0	0	741.972	0	0	3
7	17	0	0.0976595603	101518.765	102222.808	101518.765	105255.72	3032.91203	0	0	0	645.245	0	0	3
8	18	0	0.111610926	101495.823	102131.935	101495.823	105255.72	3123.78517	0	0	0	583.486	0	0	3
9	20	0	0.125562292	101463.633	102057.679	101463.633	105255.72	3198.04092	0	0	0	550.346	0	0	3
10	21	0	0.139513658	101463.638	101998.275	101463.633	105255.72	3257.44502	0	0	0	568.714	0	0	3
11	22	0	0.153465023	101463.655	101949.673	101463.633	105255.72	3306.04681	0	0	0	583.901	0	0	3
12	23	0	0.167416389	101463.668	101909.173	101463.633	105255.72	3346.5472	0	0	0	600.535	0	0	3
13	25	0	0.181367755	101463.672	101874.903	101463.633	105255.72	3380.8165	0	0	0	616.795	0	0	3
14	26	0	0.195319121	101463.682	101845.53	101463.633	105255.72	3410.18942	0	0	0	632.58	0	0	3
15	27	0	0.209270486	101463.696	101820.075	101463.633	105255.72	3435.64507	0	0	0	648.179	0	0	3
16	29	0	0.223221852	101463.702	101797.801	101463.633	105255.72	3457.91838	0	0	0	659.511	0	0	3
17	30	0	0.237173218	101463.716	101778.149	101463.633	105255.72	3477.57045	0	0	0	670.105	0	0	3
18	32	0	0.251124584	101463.728	101760.681	101463.633	105255.72	3495.0383	0	0	0	680.537	0	0	3
19	33	0	0.265075949	101463.74	101745.053	101463.633	105255.72	3510.6668	0	0	0	690.868	0	0	3
20	34	0	0.279027315	101463.751	101730.988	101463.633	105255.72	3524.73188	0	0	0	700.996	0	0	3
21	36	0	0.292978681	101463.759	101718.263	101463.633	105255.72	3537.45706	0	0	0	707.747	0	0	3
