Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	16.8054247	16.8054247	16.8054247	16.8054247	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	16.7376176	16.7715212	16.7376176	16.8054247	0.0339035673	0	0	0	0	0	0	3
3	11	0	0.0418540973	15.7922954	16.4451126	15.7922954	16.8054247	0.360312174	0	0	0	0	0	0	3
4	13	0	0.055805463	14.8615686	16.0492266	14.8615686	16.8054247	0.756198166	0	0	0	0	0	0	3
5	14	0	0.0697568288	14.2821988	15.695821	14.2821988	16.8054247	1.10960373	0	0	0	0	0	0	3
6	16	0	0.0837081945	14.0115058	15.4151018	14.0115058	16.8054247	1.39032292	0	0	0	0	0	0	3
7	17	0	0.0976595603	13.8133482	15.1862799	13.8133482	16.8054247	1.61914487	0	0	0	0	0	0	3
8	18	0	0.111610926	13.8498747	15.0192292	13.8133482	16.8054247	1.78619551	0	0	0	0	0	0	3
9	20	0	0.125562292	13.7699097	14.880416	13.7699097	16.8054247	1.92500879	0	0	0	0	0	0	3
10	21	0	0.139513658	13.5355683	14.7459312	13.5355683	16.8054247	2.05949356	0	0	0	0	0	0	3
11	22	0	0.153465023	13.1997704	14.6053711	13.1997704	16.8054247	2.20005362	0	0	0	0	0	0	3
12	23	0	0.167416389	13.3109454	14.4975023	13.1997704	16.8054247	2.30792243	0	0	0	0	0	0	3
13	25	0	0.181367755	13.3081551	14.4060141	13.1997704	16.8054247	2.39941068	0	0	0	0	0	0	3
14	26	0	0.195319121	13.3240152	14.3287284	13.1997704	16.8054247	2.47669632	0	0	0	0	0	0	3
15	27	0	0.209270486	13.3039505	14.2604099	13.1997704	16.8054247	2.54501484	0	0	0	0	0	0	3
16	29	0	0.223221852	13.2397973	14.1966216	13.1997704	16.8054247	2.60880313	0	0	0	0	0	0	3
17	30	0	0.237173218	13.1489486	14.1349938	13.1489486	16.8054247	2.67043096	0	0	0	0	0	0	3
18	32	0	0.251124584	13.0339934	14.0738271	13.0339934	16.8054247	2.73159764	0	0	0	0	0	0	3
19	33	0	0.265075949	12.9285055	14.013547	12.9285055	16.8054247	2.79187773	0	0	0	0	0	0	3
20	34	0	0.279027315	12.800411	13.9528902	12.800411	16.8054247	2.85253453	0	0	0	0	0	0	3
21	36	0	0.292978681	12.7510599	13.8956602	12.7510599	16.8054247	2.90976454	0	0	0	0	0	0	3
22	37	0	0.306930047	12.6425998	13.8387029	12.6425998	16.8054247	2.96672183	0	0	0	0	0	0	3
23	38	0	0.320881412	12.6341713	13.786332	12.6341713	16.8054247	3.01909277	0	0	0	0	0	0	3
