Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	7.48165719	7.48165719	7.48165719	7.48165719	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	6.92827211	7.20496465	6.92827211	7.48165719	0.276692541	0	0	0	0	0	0	3
3	11	0	0.0418540973	9.35730133	7.92241021	6.92827211	9.35730133	0.717445561	0	0	0	0	0	0	3
4	13	0	0.055805463	10.7351318	8.6255906	6.92827211	10.7351318	1.42062595	0	0	0	0	0	0	3
5	14	0	0.0697568288	10.148481	8.93016868	6.92827211	10.7351318	1.72520403	0	0	0	0	0	0	3
6	16	0	0.0837081945	9.55121299	9.03367606	6.92827211	10.7351318	1.82871141	0	0	0	0	0	0	3
7	17	0	0.0976595603	9.74693765	9.13557057	6.92827211	10.7351318	1.93060593	0	0	0	0	0	0	3
8	18	0	0.111610926	9.32468056	9.15920932	6.92827211	10.7351318	1.95424467	0	0	0	0	0	0	3
9	20	0	0.125562292	9.69633972	9.21889048	6.92827211	10.7351318	2.01392583	0	0	0	0	0	0	3
10	21	0	0.139513658	9.68995332	9.26599676	6.92827211	10.7351318	2.06103211	0	0	0	0	0	0	3
11	22	0	0.153465023	9.77496221	9.31226635	6.92827211	10.7351318	2.1073017	0	0	0	0	0	0	3
12	23	0	0.167416389	9.80281022	9.353145	6.92827211	10.7351318	2.14818036	0	0	0	0	0	0	3
13	25	0	0.181367755	9.7983619	9.38739246	6.92827211	10.7351318	2.18242781	0	0	0	0	0	0	3
14	26	0	0.195319121	9.76841784	9.41460856	6.92827211	10.7351318	2.20964391	0	0	0	0	0	0	3
15	27	0	0.209270486	9.73114199	9.43571078	6.92827211	10.7351318	2.23074614	0	0	0	0	0	0	3
16	29	0	0.223221852	9.79826381	9.45837035	6.92827211	10.7351318	2.2534057	0	0	0	0	0	0	3
17	30	0	0.237173218	9.99499701	9.48993662	6.92827211	10.7351318	2.28497198	0	0	0	0	0	0	3
18	32	0	0.251124584	10.1675582	9.52758227	6.92827211	10.7351318	2.32261762	0	0	0	0	0	0	3
19	33	0	0.265075949	10.2919537	9.56781234	6.92827211	10.7351318	2.36284769	0	0	0	0	0	0	3
20	34	0	0.279027315	10.381182	9.60848082	6.92827211	10.7351318	2.40351617	0	0	0	0	0	0	3
