Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	7.01501152	7.01501152	7.01501152	7.01501152	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	6.56495722	6.78998437	6.56495722	7.01501152	0.225027149	0	0	0	0	0	0	3
3	11	0	0.0418540973	8.59798279	7.39265051	6.56495722	8.59798279	0.602666141	0	0	0	0	0	0	3
4	13	0	0.055805463	9.58175699	7.93992713	6.56495722	9.58175699	1.14994276	0	0	0	0	0	0	3
5	14	0	0.0697568288	10.0536773	8.36267717	6.56495722	10.0536773	1.5726928	0	0	0	0	0	0	3
6	16	0	0.0837081945	10.4335527	8.7078231	6.56495722	10.4335527	1.91783873	0	0	0	0	0	0	3
7	17	0	0.0976595603	9.47855334	8.81792742	6.56495722	10.4335527	2.02794305	0	0	0	0	0	0	3
8	18	0	0.111610926	9.70763455	8.92914081	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
9	20	0	0.125562292	8.53274193	8.88509649	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
10	21	0	0.139513658	8.47953511	8.84454035	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
11	22	0	0.153465023	7.35521002	8.70914669	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
12	23	0	0.167416389	7.35508949	8.59630859	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
13	25	0	0.181367755	7.18343115	8.48762571	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
14	26	0	0.195319121	7.23238401	8.39796559	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
15	27	0	0.209270486	7.26419299	8.32238075	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
16	29	0	0.223221852	7.2814974	8.25732554	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
17	30	0	0.237173218	7.28077028	8.19988111	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
18	32	0	0.251124584	7.26877544	8.14815302	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
19	33	0	0.265075949	7.25060741	8.10091378	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
20	34	0	0.279027315	7.22655324	8.05719575	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
21	36	0	0.292978681	7.18984276	8.01589323	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
22	37	0	0.306930047	7.16613213	7.97726772	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
23	38	0	0.320881412	7.13876893	7.94081125	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
24	40	0	0.334832778	7.1088888	7.90614782	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
25	41	0	0.348784144	7.07975605	7.87309215	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
26	43	0	0.36273551	7.04454052	7.84122478	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
27	44	0	0.376686875	7.01509591	7.81062741	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
28	45	0	0.390638241	6.98068633	7.78098666	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
29	47	0	0.404589607	6.95501935	7.75250503	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
30	48	0	0.418540973	6.96017447	7.72609401	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
31	50	0	0.432492338	6.89796662	7.69938022	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
32	51	0	0.446443704	6.97668266	7.67679592	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
33	52	0	0.46039507	6.87260581	7.65242652	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
34	54	0	0.474346436	6.87057721	7.62943096	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
35	55	0	0.488297801	6.86505471	7.60759164	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
36	57	0	0.502249167	6.88437248	7.58750221	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
37	58	0	0.516200533	6.86695629	7.58338957	6.56495722	10.4335527	2.13915644	0	0	0	0	0	0	3
38	60	0	0.530151899	6.91578136	7.59313468	6.86505471	10.4335527	1.5364903	0	0	0	0	0	0	3
39	61	0	0.544103264	6.89167801	7.54573733	6.86505471	10.4335527	1.38340348	0	0	0	0	0	0	3
40	63	0	0.55805463	6.93170913	7.47212489	6.86505471	10.4335527	1.45701592	0	0	0	0	0	0	3
41	64	0	0.572005996	6.89778577	7.38446123	6.86505471	10.4335527	1.54467958	0	0	0	0	0	0	3
42	65	0	0.585957362	6.94208432	7.287476	6.86505471	9.70763455	1.64166481	0	0	0	0	0	0	3
43	67	0	0.599908727	6.89380934	7.21567756	6.86505471	9.70763455	1.71346326	0	0	0	0	0	0	3
44	68	0	0.613860093	6.95414967	7.13919186	6.86505471	8.53274193	1.66768722	0	0	0	0	0	0	3
45	70	0	0.627811459	6.90165823	7.09388398	6.86505471	8.47953511	1.6144804	0	0	0	0	0	0	3
46	71	0	0.641762825	6.93867106	7.0510822	6.86505471	7.35521002	0.490155313	0	0	0	0	0	0	3
47	72	0	0.65571419	6.90317178	7.03852559	6.86505471	7.35508949	0.490034774	0	0	0	0	0	0	3
48	74	0	0.669665556	6.92724852	7.02664112	6.86505471	7.2814974	0.416442693	0	0	0	0	0	0	3
49	75	0	0.683616922	6.89746322	7.01869756	6.86505471	7.2814974	0.416442693	0	0	0	0	0	0	3
50	77	0	0.697568288	6.91743428	7.00994896	6.86505471	7.2814974	0.416442693	0	0	0	0	0	0	3
51	78	0	0.711519653	6.90362748	6.99993325	6.86505471	7.2814974	0.416442693	0	0	0	0	0	0	3
