Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	97342.8996	97342.8996	97342.8996	97342.8996	0	0	0	0	7912.82	0	0	3
2	10	0	0.0279027315	100413.997	98878.4482	97342.8996	100413.997	1535.54861	0	0	0	1901.4	0	0	3
3	11	0	0.0418540973	100668.628	99475.1748	97342.8996	100668.628	2132.27515	0	0	0	1048.3	0	0	3
4	13	0	0.055805463	100650.953	99769.1194	97342.8996	100668.628	2426.21976	0	0	0	975.984	0	0	3
5	14	0	0.0697568288	100730.754	99961.4463	97342.8996	100730.754	2618.54667	0	0	0	846.185	0	0	3
6	16	0	0.0837081945	100806.99	100102.37	97342.8996	100806.99	2759.47069	0	0	0	741.972	0	0	3
7	17	0	0.0976595603	100873.52	100212.535	97342.8996	100873.52	2869.6349	0	0	0	645.245	0	0	3
8	18	0	0.111610926	100912.337	100300.01	97342.8996	100912.337	2957.11022	0	0	0	583.486	0	0	3
9	20	0	0.125562292	100913.287	100368.152	97342.8996	100913.287	3025.25213	0	0	0	550.346	0	0	3
10	21	0	0.139513658	100894.923	100420.829	97342.8996	100913.287	3077.92929	0	0	0	568.714	0	0	3
11	22	0	0.153465023	100879.755	100462.549	97342.8996	100913.287	3119.6498	0	0	0	583.901	0	0	3
12	23	0	0.167416389	100863.133	100495.931	97342.8996	100913.287	3153.03177	0	0	0	600.535	0	0	3
13	25	0	0.181367755	100846.877	100522.927	97342.8996	100913.287	3180.02756	0	0	0	616.795	0	0	3
14	26	0	0.195319121	100831.102	100544.94	97342.8996	100913.287	3202.04006	0	0	0	632.58	0	0	3
15	27	0	0.209270486	100815.517	100562.978	97342.8996	100913.287	3220.07856	0	0	0	648.179	0	0	3
16	29	0	0.223221852	100804.19	100578.054	97342.8996	100913.287	3235.15431	0	0	0	659.511	0	0	3
17	30	0	0.237173218	100793.611	100590.734	97342.8996	100913.287	3247.83416	0	0	0	670.105	0	0	3
18	32	0	0.251124584	100783.19	100601.426	97342.8996	100913.287	3258.52619	0	0	0	680.537	0	0	3
19	33	0	0.265075949	100772.872	100610.449	97342.8996	100913.287	3267.54966	0	0	0	690.868	0	0	3
20	34	0	0.279027315	100762.755	100618.065	97342.8996	100913.287	3275.16495	0	0	0	700.996	0	0	3
21	36	0	0.292978681	100756.012	100624.634	97342.8996	100913.287	3281.73388	0	0	0	707.747	0	0	3
22	37	0	0.306930047	100749.416	100630.305	97342.8996	100913.287	3287.40579	0	0	0	714.352	0	0	3
23	38	0	0.320881412	100742.606	100635.188	97342.8996	100913.287	3292.28844	0	0	0	721.169	0	0	3
24	40	0	0.334832778	100735.807	100639.381	97342.8996	100913.287	3296.48091	0	0	0	727.975	0	0	3
