Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	-4.23300696	-4.23300696	-4.23300696	-4.23300696	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	-5.65365776	-4.94333236	-5.65365776	-4.23300696	0.710325401	0	0	0	0	0	0	3
3	11	0	0.0418540973	-6.9034768	-5.59671384	-6.9034768	-4.23300696	1.36370688	0	0	0	0	0	0	3
4	13	0	0.055805463	-6.8087353	-5.89971921	-6.9034768	-4.23300696	1.66671225	0	0	0	0	0	0	3
5	14	0	0.0697568288	-5.76333302	-5.87244197	-6.9034768	-4.23300696	1.66671225	0	0	0	0	0	0	3
6	16	0	0.0837081945	-4.80085384	-5.69384395	-6.9034768	-4.23300696	1.66671225	0	0	0	0	0	0	3
7	17	0	0.0976595603	-2.88636608	-5.29277568	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
8	18	0	0.111610926	-3.45901041	-5.06355502	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
9	20	0	0.125562292	-3.70103479	-4.91216389	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
10	21	0	0.139513658	-3.31112228	-4.75205972	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
11	22	0	0.153465023	-3.25057836	-4.61556142	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
12	23	0	0.167416389	-3.68292039	-4.53784133	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
13	25	0	0.181367755	-4.21300374	-4.51285383	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
14	26	0	0.195319121	-4.6642372	-4.52366692	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
15	27	0	0.209270486	-4.87773553	-4.5472715	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
16	29	0	0.223221852	-5.24778197	-4.5910534	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
17	30	0	0.237173218	-5.56891193	-4.64857449	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
18	32	0	0.251124584	-5.59604605	-4.7012118	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
19	33	0	0.265075949	-5.56668441	-4.74676299	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
20	34	0	0.279027315	-5.51942487	-4.78539609	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
21	36	0	0.292978681	-5.44514283	-4.8168126	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
22	37	0	0.306930047	-5.31512033	-4.83946295	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
23	38	0	0.320881412	-5.07127804	-4.84954187	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
24	40	0	0.334832778	-4.76628826	-4.84607297	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
25	41	0	0.348784144	-4.91778713	-4.84894153	-6.9034768	-2.88636608	1.66671225	0	0	0	0	0	0	3
