Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	-6.80821911	-6.80821911	-6.80821911	-6.80821911	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	-8.37023915	-7.58922913	-8.37023915	-6.80821911	0.781010018	0	0	0	0	0	0	3
3	11	0	0.0418540973	-10.557242	-8.57856675	-10.557242	-6.80821911	1.77034764	0	0	0	0	0	0	3
4	13	0	0.055805463	-12.2450996	-9.49519996	-12.2450996	-6.80821911	2.68698085	0	0	0	0	0	0	3
5	14	0	0.0697568288	-12.9723755	-10.1906351	-12.9723755	-6.80821911	3.38241595	0	0	0	0	0	0	3
6	16	0	0.0837081945	-13.3777433	-10.7218198	-13.3777433	-6.80821911	3.91360065	0	0	0	0	0	0	3
7	17	0	0.0976595603	-13.2468122	-11.082533	-13.3777433	-6.80821911	4.27431386	0	0	0	0	0	0	3
8	18	0	0.111610926	-12.776169	-11.2942375	-13.3777433	-6.80821911	4.48601836	0	0	0	0	0	0	3
9	20	0	0.125562292	-12.2927727	-11.4051858	-13.3777433	-6.80821911	4.59696672	0	0	0	0	0	0	3
10	21	0	0.139513658	-11.9378694	-11.4584542	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
11	22	0	0.153465023	-11.3595704	-11.4494648	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
12	23	0	0.167416389	-11.221677	-11.4304824	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
13	25	0	0.181367755	-10.7829579	-11.3806729	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
14	26	0	0.195319121	-10.6440216	-11.3280549	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
15	27	0	0.209270486	-10.4162877	-11.2672704	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
16	29	0	0.223221852	-10.2763323	-11.2053368	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
17	30	0	0.237173218	-10.0072459	-11.1348609	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
18	32	0	0.251124584	-10.174269	-11.0814947	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
19	33	0	0.265075949	-10.2923159	-11.0399589	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
20	34	0	0.279027315	-10.3735603	-11.006639	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
21	36	0	0.292978681	-10.452696	-10.9802608	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
22	37	0	0.306930047	-10.4972364	-10.9583051	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
23	38	0	0.320881412	-10.5249654	-10.9394643	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
24	40	0	0.334832778	-10.5411964	-10.9228698	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
25	41	0	0.348784144	-10.5482752	-10.907886	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
26	43	0	0.36273551	-10.5393876	-10.893713	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
27	44	0	0.376686875	-10.5274703	-10.8801484	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
28	45	0	0.390638241	-10.5255222	-10.8674832	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
29	47	0	0.404589607	-10.516322	-10.8553742	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
30	48	0	0.418540973	-10.5141379	-10.8439997	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
31	50	0	0.432492338	-10.4988142	-10.8328646	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
32	51	0	0.446443704	-10.5012564	-10.8225019	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
33	52	0	0.46039507	-10.4744484	-10.8119548	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
34	54	0	0.474346436	-10.4711075	-10.8019299	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
35	55	0	0.488297801	-10.4658717	-10.7923282	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
36	57	0	0.502249167	-10.4714626	-10.7834153	-13.3777433	-6.80821911	4.65023508	0	0	0	0	0	0	3
37	58	0	0.516200533	-10.4620132	-10.8849096	-13.3777433	-8.37023915	3.86922506	0	0	0	0	0	0	3
38	60	0	0.530151899	-10.4444106	-10.9425254	-13.3777433	-10.0072459	2.87988744	0	0	0	0	0	0	3
39	61	0	0.544103264	-10.4437349	-10.9393725	-13.3777433	-10.0072459	1.96325423	0	0	0	0	0	0	3
