Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	-6.58213472	-6.58213472	-6.58213472	-6.58213472	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	-5.93175795	-6.25694634	-6.58213472	-5.93175795	0.325188389	0	0	0	0	0	0	3
3	11	0	0.0418540973	-7.27813987	-6.59734418	-7.27813987	-5.93175795	0.340397844	0	0	0	0	0	0	3
4	13	0	0.055805463	-7.89927373	-6.92282657	-7.89927373	-5.93175795	0.665880231	0	0	0	0	0	0	3
5	14	0	0.0697568288	-8.62280046	-7.26282134	-8.62280046	-5.93175795	1.00587501	0	0	0	0	0	0	3
6	16	0	0.0837081945	-9.3924567	-7.61776057	-9.3924567	-5.93175795	1.36081423	0	0	0	0	0	0	3
7	17	0	0.0976595603	-10.1889789	-7.98507748	-10.1889789	-5.93175795	1.72813114	0	0	0	0	0	0	3
8	18	0	0.111610926	-10.4997752	-8.29941469	-10.4997752	-5.93175795	2.04246836	0	0	0	0	0	0	3
9	20	0	0.125562292	-10.6034128	-8.55541448	-10.6034128	-5.93175795	2.29846815	0	0	0	0	0	0	3
10	21	0	0.139513658	-10.5576242	-8.75563546	-10.6034128	-5.93175795	2.49868912	0	0	0	0	0	0	3
11	22	0	0.153465023	-10.516015	-8.91566996	-10.6034128	-5.93175795	2.65872362	0	0	0	0	0	0	3
12	23	0	0.167416389	-10.4191448	-9.04095953	-10.6034128	-5.93175795	2.78401319	0	0	0	0	0	0	3
13	25	0	0.181367755	-10.3507418	-9.14171201	-10.6034128	-5.93175795	2.88476568	0	0	0	0	0	0	3
14	26	0	0.195319121	-10.2412602	-9.22025117	-10.6034128	-5.93175795	2.96330483	0	0	0	0	0	0	3
15	27	0	0.209270486	-10.1532951	-9.2824541	-10.6034128	-5.93175795	3.02550776	0	0	0	0	0	0	3
16	29	0	0.223221852	-10.0189003	-9.32848198	-10.6034128	-5.93175795	3.07153565	0	0	0	0	0	0	3
17	30	0	0.237173218	-9.94120872	-9.36452473	-10.6034128	-5.93175795	3.1075784	0	0	0	0	0	0	3
18	32	0	0.251124584	-9.8751341	-9.39289192	-10.6034128	-5.93175795	3.13594558	0	0	0	0	0	0	3
19	33	0	0.265075949	-9.83149648	-9.41597637	-10.6034128	-5.93175795	3.15903004	0	0	0	0	0	0	3
20	34	0	0.279027315	-9.77145142	-9.43375012	-10.6034128	-5.93175795	3.17680379	0	0	0	0	0	0	3
21	36	0	0.292978681	-9.76747703	-9.44964188	-10.6034128	-5.93175795	3.19269555	0	0	0	0	0	0	3
22	37	0	0.306930047	-9.73756191	-9.46272915	-10.6034128	-5.93175795	3.20578282	0	0	0	0	0	0	3
23	38	0	0.320881412	-9.72942759	-9.47432474	-10.6034128	-5.93175795	3.2173784	0	0	0	0	0	0	3
24	40	0	0.334832778	-9.75161031	-9.4858783	-10.6034128	-5.93175795	3.22893197	0	0	0	0	0	0	3
25	41	0	0.348784144	-9.75828948	-9.49677475	-10.6034128	-5.93175795	3.23982842	0	0	0	0	0	0	3
26	43	0	0.36273551	-9.76932908	-9.50725761	-10.6034128	-5.93175795	3.25031127	0	0	0	0	0	0	3
27	44	0	0.376686875	-9.79369905	-9.51786655	-10.6034128	-5.93175795	3.26092022	0	0	0	0	0	0	3
28	45	0	0.390638241	-9.78743395	-9.52749396	-10.6034128	-5.93175795	3.27054762	0	0	0	0	0	0	3
29	47	0	0.404589607	-9.81193421	-9.53730224	-10.6034128	-5.93175795	3.28035591	0	0	0	0	0	0	3
30	48	0	0.418540973	-9.82345781	-9.54684076	-10.6034128	-5.93175795	3.28989443	0	0	0	0	0	0	3
31	50	0	0.432492338	-9.85630062	-9.55682334	-10.6034128	-5.93175795	3.299877	0	0	0	0	0	0	3
32	51	0	0.446443704	-9.84330338	-9.56577584	-10.6034128	-5.93175795	3.3088295	0	0	0	0	0	0	3
33	52	0	0.46039507	-9.83729819	-9.57400379	-10.6034128	-5.93175795	3.31705745	0	0	0	0	0	0	3
34	54	0	0.474346436	-9.85662664	-9.58231623	-10.6034128	-5.93175795	3.32536989	0	0	0	0	0	0	3
35	55	0	0.488297801	-9.81590677	-9.58899024	-10.6034128	-5.93175795	3.33204391	0	0	0	0	0	0	3
36	57	0	0.502249167	-9.87344757	-9.59689184	-10.6034128	-5.93175795	3.3399455	0	0	0	0	0	0	3
37	58	0	0.516200533	-9.80809123	-9.68650174	-10.6034128	-5.93175795	3.4295554	0	0	0	0	0	0	3
38	60	0	0.530151899	-9.82801482	-9.7947311	-10.6034128	-7.27813987	3.19738692	0	0	0	0	0	0	3
39	61	0	0.544103264	-9.87812922	-9.86695302	-10.6034128	-7.89927373	2.70413909	0	0	0	0	0	0	3
40	63	0	0.55805463	-9.77548696	-9.91907006	-10.6034128	-8.62280046	1.98061236	0	0	0	0	0	0	3
41	64	0	0.572005996	-9.80994976	-9.95204643	-10.6034128	-9.3924567	1.21095612	0	0	0	0	0	0	3
42	65	0	0.585957362	-9.80830137	-9.96359767	-10.6034128	-9.72942759	0.873985226	0	0	0	0	0	0	3
43	67	0	0.599908727	-9.77683046	-9.9521491	-10.6034128	-9.72942759	0.873985226	0	0	0	0	0	0	3
44	68	0	0.613860093	-9.82528079	-9.93341314	-10.6034128	-9.72942759	0.873985226	0	0	0	0	0	0	3
45	70	0	0.627811459	-9.78221516	-9.9106021	-10.5576242	-9.72942759	0.828196608	0	0	0	0	0	0	3
46	71	0	0.641762825	-9.85290687	-9.89102662	-10.516015	-9.72942759	0.786587382	0	0	0	0	0	0	3
47	72	0	0.65571419	-9.92873677	-9.87471333	-10.4191448	-9.72942759	0.689717191	0	0	0	0	0	0	3
48	74	0	0.669665556	-9.87079653	-9.85948144	-10.3507418	-9.72942759	0.621314256	0	0	0	0	0	0	3
49	75	0	0.683616922	-9.91751194	-9.84744727	-10.2412602	-9.72942759	0.511832619	0	0	0	0	0	0	3
50	77	0	0.697568288	-9.82583185	-9.8359076	-10.1532951	-9.72942759	0.423867526	0	0	0	0	0	0	3
51	78	0	0.711519653	-9.90961044	-9.82913858	-10.0189003	-9.72942759	0.289472665	0	0	0	0	0	0	3
52	79	0	0.725471019	-9.84052909	-9.82418382	-9.94120872	-9.72942759	0.211781129	0	0	0	0	0	0	3
53	81	0	0.739422385	-9.84159575	-9.82141679	-9.92873677	-9.72942759	0.19930918	0	0	0	0	0	0	3
54	82	0	0.753373751	-9.75847979	-9.8181764	-9.92873677	-9.72942759	0.19930918	0	0	0	0	0	0	3
55	83	0	0.767325116	-9.83778647	-9.81835112	-9.92873677	-9.72942759	0.19930918	0	0	0	0	0	0	3
56	85	0	0.781276482	-9.74496155	-9.81761529	-9.92873677	-9.72942759	0.19930918	0	0	0	0	0	0	3
57	86	0	0.795227848	-9.80656446	-9.81870105	-9.92873677	-9.72942759	0.19930918	0	0	0	0	0	0	3
58	88	0	0.809179214	-9.80980767	-9.82070788	-9.92873677	-9.72942759	0.19930918	0	0	0	0	0	0	3
59	89	0	0.823130579	-9.81423397	-9.82306361	-9.92873677	-9.74496155	0.183775221	0	0	0	0	0	0	3
60	90	0	0.837081945	-9.78960461	-9.82411901	-9.92873677	-9.74496155	0.183775221	0	0	0	0	0	0	3
61	92	0	0.851033311	-9.81272476	-9.8256311	-9.92873677	-9.74496155	0.183775221	0	0	0	0	0	0	3
62	93	0	0.864984677	-9.83023373	-9.82732289	-9.92873677	-9.74496155	0.183775221	0	0	0	0	0	0	3
63	95	0	0.878936042	-9.84681887	-9.82879844	-9.92873677	-9.74496155	0.183775221	0	0	0	0	0	0	3
64	96	0	0.892887408	-9.72396216	-9.82703534	-9.92873677	-9.72396216	0.20477461	0	0	0	0	0	0	3
65	97	0	0.906838774	-9.88587147	-9.82908915	-9.92873677	-9.72396216	0.20477461	0	0	0	0	0	0	3
66	99	0	0.92079014	-9.73702335	-9.8266882	-9.92873677	-9.72396216	0.20477461	0	0	0	0	0	0	3
67	100	0	0.934741505	-9.90644936	-9.82808122	-9.92873677	-9.72396216	0.20477461	0	0	0	0	0	0	3
68	101	0	0.948692871	-9.76458641	-9.82589463	-9.92873677	-9.72396216	0.20477461	0	0	0	0	0	0	3
69	103	0	0.962644237	-9.90962419	-9.82790369	-9.92873677	-9.72396216	0.20477461	0	0	0	0	0	0	3
70	104	0	0.976595603	-9.84325591	-9.82753228	-9.92873677	-9.72396216	0.20477461	0	0	0	0	0	0	3
71	106	0	0.990546968	-9.91547349	-9.83029802	-9.92873677	-9.72396216	0.20477461	0	0	0	0	0	0	3
72	107	0	1.00449833	-9.8209605	-9.82884005	-9.92873677	-9.72396216	0.20477461	0.0997581885	0	48.7	0	0	0	3
73	108	0	1.0184497	-9.92746939	-9.83215611	-9.92873677	-9.72396216	0.168866571	0.0997581885	0	59	0	0	0	3
74	110	0	1.03240107	-9.77134239	-9.83058187	-9.92873677	-9.72396216	0.145982378	0.0997581885	0	68.3	0	0	0	3
75	111	0	1.04635243	-9.94163827	-9.83234601	-9.94163827	-9.72396216	0.145982378	0.0997581885	0	68.3	0	0	0	3
76	112	0	1.0603038	-9.7608463	-9.83193933	-9.94163827	-9.72396216	0.145982378	0.0997581885	0	68.3	0	0	0	3
77	114	0	1.07425516	-9.86840711	-9.83356314	-9.94163827	-9.72396216	0.145982378	0.0997581885	0	68.3	0	0	0	3
78	115	0	1.08820653	-9.73677829	-9.83157639	-9.94163827	-9.72396216	0.134533809	0.0997581885	0	74.1	0	0	0	3
79	117	0	1.10215789	-9.80812793	-9.83244577	-9.94163827	-9.72396216	0.115797853	0.0997581885	0	86.1	0	0	0	3
80	118	0	1.11610926	-9.73388337	-9.82990695	-9.94163827	-9.72396216	0.0929868072	0.0997581885	0	100	0	0	0	3
81	119	0	1.13006063	-9.81241387	-9.8307458	-9.94163827	-9.72396216	0.0734113257	0.0997581885	0	100	0	0	0	3
82	121	0	1.14401199	-9.71853486	-9.82701325	-9.94163827	-9.71853486	0.0570980423	0.0997581885	0	100	0	0	0	3
83	122	0	1.15796336	-9.83072432	-9.82429068	-9.94163827	-9.71853486	0.0418661464	0.0997581885	0	100	0	0	0	3
84	123	0	1.17191472	-9.72432975	-9.82022216	-9.94163827	-9.71853486	0.0298319824	0.0997581885	0	100	0	0	0	3
85	125	0	1.18586609	-9.84835439	-9.81830111	-9.94163827	-9.71853486	0.0182923058	0.0997581885	0	100	0	0	0	3
86	126	0	1.19981745	-9.6963043	-9.81470313	-9.94163827	-9.6963043	0.0188600178	0.0997581885	0	100	0	0	0	3
87	128	0	1.21376882	-9.82828005	-9.81244395	-9.94163827	-9.6963043	0.0211191952	0.0997581885	0	100	0	0	0	3
88	129	0	1.22772019	-9.69007765	-9.80826474	-9.94163827	-9.69007765	0.0252984019	0.0997581885	0	100	0	0	0	3
89	130	0	1.24167155	-9.84886983	-9.8084668	-9.94163827	-9.69007765	0.0252984019	0.0997581885	0	100	0	0	0	3
90	132	0	1.25562292	-9.68368322	-9.80638912	-9.94163827	-9.68368322	0.0271740265	0.0997581885	0	100	0	0	0	3
91	133	0	1.26957428	-9.84394157	-9.80656009	-9.94163827	-9.68368322	0.0271740265	0.0997581885	0	100	0	0	0	3
92	134	0	1.28352565	-9.68331688	-9.80484774	-9.94163827	-9.68331688	0.0287154033	0.0997581885	0	100	0	0	0	3
93	136	0	1.29747701	-9.84845161	-9.80601127	-9.94163827	-9.68331688	0.0287154033	0.0997581885	0	100	0	0	0	3
94	137	0	1.31142838	-9.68556673	-9.80256013	-9.94163827	-9.68331688	0.0310030086	0.0997581885	0	100	0	0	0	3
95	138	0	1.32537975	-9.83646765	-9.80317774	-9.94163827	-9.68331688	0.0310030086	0.0997581885	0	100	0	0	0	3
96	140	0	1.33933111	-9.69133401	-9.800448	-9.94163827	-9.68331688	0.033115145	0.0997581885	0	100	0	0	0	3
97	141	0	1.35328248	-9.8309054	-9.80095302	-9.94163827	-9.68331688	0.033115145	0.0997581885	0	100	0	0	0	3
98	143	0	1.36723384	-9.68652871	-9.79696121	-9.94163827	-9.68331688	0.0366019332	0.0997581885	0	100	0	0	0	3
99	144	0	1.38118521	-9.83200427	-9.79654969	-9.94163827	-9.68331688	0.0370134499	0.0997581885	0	100	0	0	0	3
100	145	0	1.39513658	-9.69326063	-9.79569687	-9.94163827	-9.68331688	0.03786627	0.0997581885	0	100	0	0	0	3
101	147	0	1.40908794	-9.82365742	-9.79396871	-9.94163827	-9.68331688	0.0395944381	0.0997581885	0	100	0	0	0	3
102	148	0	1.42303931	-9.68632625	-9.79256045	-9.94163827	-9.68331688	0.0410026908	0.0997581885	0	100	0	0	0	3
103	150	0	1.43699067	-9.82382043	-9.7902652	-9.94163827	-9.68331688	0.0432979386	0.0997581885	0	100	0	0	0	3
104	151	0	1.45094204	-9.69821409	-9.78842153	-9.94163827	-9.68331688	0.0451416144	0.0997581885	0	100	0	0	0	3
105	153	0	1.4648934	-9.81552872	-9.78580777	-9.94163827	-9.68331688	0.0477553774	0.0997581885	0	100	0	0	0	3
106	154	0	1.47884477	-9.69031048	-9.78155928	-9.94163827	-9.68331688	0.0520038615	0.0997581885	0	100	0	0	0	3
