Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	0	0	0	0	0	0	0	0	0	0	0	3
2	10	0	0.0279027315	0	0	0	0	0	0	0	0	0	0	0	3
3	11	0	0.0418540973	0	0	0	0	0	0	0	0	0	0	0	3
4	13	0	0.055805463	0	0	0	0	0	0	0	0	0	0	0	3
5	14	0	0.0697568288	0	0	0	0	0	0	0	0	0	0	0	3
6	16	0	0.0837081945	0	0	0	0	0	0	0	0	0	0	0	3
7	17	0	0.0976595603	0	0	0	0	0	0	0	0	0	0	0	3
8	18	0	0.111610926	0	0	0	0	0	0	0	0	0	0	0	3
9	20	0	0.125562292	0	0	0	0	0	0	0	0	0	0	0	3
10	21	0	0.139513658	0	0	0	0	0	0	0	0	0	0	0	3
11	22	0	0.153465023	0	0	0	0	0	0	0	0	0	0	0	3
12	23	0	0.167416389	0	0	0	0	0	0	0	0	0	0	0	3
13	25	0	0.181367755	0	0	0	0	0	0	0	0	0	0	0	3
14	26	0	0.195319121	0	0	0	0	0	0	0	0	0	0	0	3
15	27	0	0.209270486	0	0	0	0	0	0	0	0	0	0	0	3
16	29	0	0.223221852	0	0	0	0	0	0	0	0	0	0	0	3
17	30	0	0.237173218	0	0	0	0	0	0	0	0	0	0	0	3
18	32	0	0.251124584	0	0	0	0	0	0	0	0	0	0	0	3
19	33	0	0.265075949	0	0	0	0	0	0	0	0	0	0	0	3
20	34	0	0.279027315	0	0	0	0	0	0	0	0	0	0	0	3
21	36	0	0.292978681	0	0	0	0	0	0	0	0	0	0	0	3
22	37	0	0.306930047	0	0	0	0	0	0	0	0	0	0	0	3
23	38	0	0.320881412	0	0	0	0	0	0	0	0	0	0	0	3
24	40	0	0.334832778	0	0	0	0	0	0	0	0	0	0	0	3
25	41	0	0.348784144	0	0	0	0	0	0	0	0	0	0	0	3
26	43	0	0.36273551	0	0	0	0	0	0	0	0	0	0	0	3
27	44	0	0.376686875	0	0	0	0	0	0	0	0	0	0	0	3
28	45	0	0.390638241	0	0	0	0	0	0	0	0	0	0	0	3
29	47	0	0.404589607	0	0	0	0	0	0	0	0	0	0	0	3
30	48	0	0.418540973	0	0	0	0	0	0	0	0	0	0	0	3
31	50	0	0.432492338	0	0	0	0	0	0	0	0	0	0	0	3
32	51	0	0.446443704	0	0	0	0	0	0	0	0	0	0	0	3
33	52	0	0.46039507	0	0	0	0	0	0	0	0	0	0	0	3
34	54	0	0.474346436	0	0	0	0	0	0	0	0	0	0	0	3
35	55	0	0.488297801	0	0	0	0	0	0	0	0	0	0	0	3
36	57	0	0.502249167	0	0	0	0	0	0	0	0	0	0	0	3
37	58	0	0.516200533	0	0	0	0	0	0	0	0	0	0	0	3
38	60	0	0.530151899	0	0	0	0	0	0	0	0	0	0	0	3
39	61	0	0.544103264	0	0	0	0	0	0	0	0	0	0	0	3
40	63	0	0.55805463	0	0	0	0	0	0	0	0	0	0	0	3
41	64	0	0.572005996	0	0	0	0	0	0	0	0	0	0	0	3
42	65	0	0.585957362	0	0	0	0	0	0	0	0	0	0	0	3
43	67	0	0.599908727	0	0	0	0	0	0	0	0	0	0	0	3
44	68	0	0.613860093	0	0	0	0	0	0	0	0	0	0	0	3
45	70	0	0.627811459	0	0	0	0	0	0	0	0	0	0	0	3
46	71	0	0.641762825	0	0	0	0	0	0	0	0	0	0	0	3
47	72	0	0.65571419	0	0	0	0	0	0	0	0	0	0	0	3
48	74	0	0.669665556	0	0	0	0	0	0	0	0	0	0	0	3
49	75	0	0.683616922	0	0	0	0	0	0	0	0	0	0	0	3
50	77	0	0.697568288	0	0	0	0	0	0	0	0	0	0	0	3
51	78	0	0.711519653	0	0	0	0	0	0	0	0	0	0	0	3
52	79	0	0.725471019	0	0	0	0	0	0	0	0	0	0	0	3
53	81	0	0.739422385	0	0	0	0	0	0	0	0	0	0	0	3
54	82	0	0.753373751	0	0	0	0	0	0	0	0	0	0	0	3
55	83	0	0.767325116	0	0	0	0	0	0	0	0	0	0	0	3
56	85	0	0.781276482	0	0	0	0	0	0	0	0	0	0	0	3
57	86	0	0.795227848	0	0	0	0	0	0	0	0	0	0	0	3
58	88	0	0.809179214	0	0	0	0	0	0	0	0	0	0	0	3
59	89	0	0.823130579	0	0	0	0	0	0	0	0	0	0	0	3
60	90	0	0.837081945	0	0	0	0	0	0	0	0	0	0	0	3
61	92	0	0.851033311	0	0	0	0	0	0	0	0	0	0	0	3
62	93	0	0.864984677	0	0	0	0	0	0	0	0	0	0	0	3
63	95	0	0.878936042	0	0	0	0	0	0	0	0	0	0	0	3
64	96	0	0.892887408	0	0	0	0	0	0	0	0	0	0	0	3
65	97	0	0.906838774	0	0	0	0	0	0	0	0	0	0	0	3
66	99	0	0.92079014	0	0	0	0	0	0	0	0	0	0	0	3
67	100	0	0.934741505	0	0	0	0	0	0	0	0	0	0	0	3
68	101	0	0.948692871	0	0	0	0	0	0	0	0	0	0	0	3
69	103	0	0.962644237	0	0	0	0	0	0	0	0	0	0	0	3
70	104	0	0.976595603	0	0	0	0	0	0	0	0	0	0	0	3
71	106	0	0.990546968	0	0	0	0	0	0	0	0	0	0	0	3
72	107	0	1.00449833	0	0	0	0	0	5e-06	0	0	0	0	0	3
73	108	0	1.0184497	0	0	0	0	0	5e-06	0	0	0	0	0	3
74	110	0	1.03240107	0	0	0	0	0	5e-06	0	0	0	0	0	3
75	111	0	1.04635243	0	0	0	0	0	5e-06	0	0	0	0	0	3
76	112	0	1.0603038	0	0	0	0	0	5e-06	0	0	0	0	0	3
77	114	0	1.07425516	0	0	0	0	0	5e-06	0	0	0	0	0	3
78	115	0	1.08820653	0	0	0	0	0	5e-06	0	0	0	0	0	3
79	117	0	1.10215789	0	0	0	0	0	5e-06	0	0	0	0	0	3
80	118	0	1.11610926	0	0	0	0	0	5e-06	0	0	0	0	0	3
81	119	0	1.13006063	0	0	0	0	0	5e-06	0	0	0	0	0	3
82	121	0	1.14401199	0	0	0	0	0	5e-06	0	0	0	0	0	3
83	122	0	1.15796336	0	0	0	0	0	5e-06	0	0	0	0	0	3
84	123	0	1.17191472	0	0	0	0	0	5e-06	0	0	0	0	0	3
85	125	0	1.18586609	0	0	0	0	0	5e-06	0	0	0	0	0	3
86	126	0	1.19981745	0	0	0	0	0	5e-06	0	0	0	0	0	3
87	128	0	1.21376882	0	0	0	0	0	5e-06	0	0	0	0	0	3
88	129	0	1.22772019	0	0	0	0	0	5e-06	0	0	0	0	0	3
89	130	0	1.24167155	0	0	0	0	0	5e-06	0	0	0	0	0	3
90	132	0	1.25562292	0	0	0	0	0	5e-06	0	0	0	0	0	3
91	133	0	1.26957428	0	0	0	0	0	5e-06	0	0	0	0	0	3
92	134	0	1.28352565	0	0	0	0	0	5e-06	0	0	0	0	0	3
