Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	101184.829	101184.829	101184.829	101184.829	0	0	0	0	7886.8	0	0	3
2	10	0	0.0279027315	101183.811	101184.32	101183.811	101184.829	0.509013256	0	0	0	1841.45	0	0	3
3	11	0	0.0418540973	101183.809	101184.15	101183.809	101184.829	0.679358803	0	0	0	943.536	0	0	3
4	13	0	0.055805463	101183.799	101184.062	101183.799	101184.829	0.767037582	0	0	0	846.367	0	0	3
5	14	0	0.0697568288	101183.781	101184.006	101183.781	101184.829	0.823144608	0	0	0	719.539	0	0	3
6	16	0	0.0837081945	101183.776	101183.967	101183.776	101184.829	0.861448884	0	0	0	618.604	0	0	3
7	17	0	0.0976595603	101183.753	101183.937	101183.753	101184.829	0.892090015	0	0	0	531.523	0	0	3
8	18	0	0.111610926	101183.737	101183.912	101183.737	101184.829	0.917024517	0	0	0	491.005	0	0	3
9	20	0	0.125562292	101183.712	101183.89	101183.712	101184.829	0.939250901	0	0	0	490.075	0	0	3
10	21	0	0.139513658	101183.69	101183.87	101183.69	101184.829	0.959258959	0	0	0	508.443	0	0	3
11	22	0	0.153465023	101183.67	101183.852	101183.67	101184.829	0.977403755	0	0	0	523.629	0	0	3
12	23	0	0.167416389	101183.649	101183.835	101183.649	101184.829	0.99425963	0	0	0	540.264	0	0	3
13	25	0	0.181367755	101183.628	101183.819	101183.628	101184.829	1.01012612	0	0	0	556.524	0	0	3
14	26	0	0.195319121	101183.609	101183.804	101183.609	101184.829	1.02511121	0	0	0	572.309	0	0	3
15	27	0	0.209270486	101183.59	101183.79	101183.59	101184.829	1.03933958	0	0	0	587.907	0	0	3
16	29	0	0.223221852	101183.574	101183.776	101183.574	101184.829	1.05278898	0	0	0	599.24	0	0	3
17	30	0	0.237173218	101183.56	101183.763	101183.56	101184.829	1.06549963	0	0	0	609.834	0	0	3
18	32	0	0.251124584	101183.544	101183.751	101183.544	101184.829	1.07767985	0	0	0	620.266	0	0	3
19	33	0	0.265075949	101183.529	101183.74	101183.529	101184.829	1.0893591	0	0	0	630.597	0	0	3
20	34	0	0.279027315	101183.514	101183.728	101183.514	101184.829	1.10065103	0	0	0	640.725	0	0	3
21	36	0	0.292978681	101183.501	101183.717	101183.501	101184.829	1.11149331	0	0	0	647.476	0	0	3
22	37	0	0.306930047	101183.485	101183.707	101183.485	101184.829	1.12203602	0	0	0	654.081	0	0	3
23	38	0	0.320881412	101183.47	101183.697	101183.47	101184.829	1.13235358	0	0	0	660.897	0	0	3
24	40	0	0.334832778	101183.454	101183.686	101183.454	101184.829	1.14246347	0	0	0	667.703	0	0	3
25	41	0	0.348784144	101183.438	101183.677	101183.438	101184.829	1.1523945	0	0	0	674.431	0	0	3
26	43	0	0.36273551	101183.422	101183.667	101183.422	101184.829	1.16218995	0	0	0	679.408	0	0	3
27	44	0	0.376686875	101183.405	101183.657	101183.405	101184.829	1.17186589	0	0	0	684.333	0	0	3
28	45	0	0.390638241	101183.39	101183.648	101183.39	101184.829	1.18139432	0	0	0	689.303	0	0	3
29	47	0	0.404589607	101183.376	101183.638	101183.376	101184.829	1.19076854	0	0	0	694.302	0	0	3
30	48	0	0.418540973	101183.362	101183.629	101183.362	101184.829	1.1999872	0	0	0	699.383	0	0	3
31	50	0	0.432492338	101183.349	101183.62	101183.349	101184.829	1.20901098	0	0	0	702.607	0	0	3
32	51	0	0.446443704	101183.336	101183.611	101183.336	101184.829	1.21787805	0	0	0	705.807	0	0	3
33	52	0	0.46039507	101183.327	101183.602	101183.327	101184.829	1.22648336	0	0	0	708.933	0	0	3
34	54	0	0.474346436	101183.319	101183.594	101183.319	101184.829	1.2348283	0	0	0	712.25	0	0	3
35	55	0	0.488297801	101183.31	101183.586	101183.31	101184.829	1.24294021	0	0	0	715.556	0	0	3
