Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0139513658	293.200062	293.200062	293.200062	293.200062	0	0	0	0	0.146531	0	0	3
2	10	0	0.0279027315	293.200064	293.200063	293.200062	293.200064	1.22400394e-06	0	0	0	0.145593	0	0	3
3	11	0	0.0418540973	293.200066	293.200064	293.200062	293.200066	2.30136004e-06	0	0	0	0.131673	0	0	3
4	13	0	0.055805463	293.200068	293.200065	293.200062	293.200068	3.28375768e-06	0	0	0	0.118669	0	0	3
5	14	0	0.0697568288	293.20007	293.200066	293.200062	293.20007	4.27806975e-06	0	0	0	0.110888	0	0	3
6	16	0	0.0837081945	293.200073	293.200067	293.200062	293.200073	5.40467687e-06	0	0	0	0.10176	0	0	3
7	17	0	0.0976595603	293.200076	293.200069	293.200062	293.200076	6.6415659e-06	0	0	0	0.096111	0	0	3
8	18	0	0.111610926	293.200079	293.20007	293.200062	293.200079	7.94813917e-06	0	0	0	0.0978934	0	0	3
9	20	0	0.125562292	293.200082	293.200071	293.200062	293.200082	9.28967933e-06	0	0	0	0.0978523	0	0	3
10	21	0	0.139513658	293.200085	293.200073	293.200062	293.200085	1.06479642e-05	0	0	0	0.0959659	0	0	3
11	22	0	0.153465023	293.200089	293.200074	293.200062	293.200089	1.21647075e-05	0	0	0	0.0909478	0	0	3
12	23	0	0.167416389	293.200094	293.200076	293.200062	293.200094	1.37802234e-05	0	0	0	0.0902445	0	0	3
13	25	0	0.181367755	293.200098	293.200077	293.200062	293.200098	1.54605245e-05	0	0	0	0.0906244	0	0	3
14	26	0	0.195319121	293.200101	293.200079	293.200062	293.200101	1.71714041e-05	0	0	0	0.0890168	0	0	3
15	27	0	0.209270486	293.200105	293.200081	293.200062	293.200105	1.88935931e-05	0	0	0	0.0901348	0	0	3
16	29	0	0.223221852	293.20011	293.200083	293.200062	293.20011	2.07127525e-05	0	0	0	0.0879467	0	0	3
17	30	0	0.237173218	293.200114	293.200085	293.200062	293.200114	2.25785859e-05	0	0	0	0.0870626	0	0	3
18	32	0	0.251124584	293.200118	293.200086	293.200062	293.200118	2.44489353e-05	0	0	0	0.0853045	0	0	3
