Iteration	CPUTime	PhysTime	Travels
1	8	0	0.0139513658
2	10	0	0.0279027315
3	11	0	0.0418540973
4	13	0	0.055805463
5	14	0	0.0697568288
6	16	0	0.0837081945
7	17	0	0.0976595603
8	18	0	0.111610926
9	20	0	0.125562292
10	21	0	0.139513658
11	22	0	0.153465023
12	23	0	0.167416389
13	25	0	0.181367755
14	26	0	0.195319121
15	27	0	0.209270486
16	29	0	0.223221852
17	30	0	0.237173218
18	32	0	0.251124584
19	33	0	0.265075949
20	34	0	0.279027315
21	36	0	0.292978681
22	37	0	0.306930047
23	38	0	0.320881412
24	40	0	0.334832778
25	41	0	0.348784144
26	43	0	0.36273551
27	44	0	0.376686875
28	45	0	0.390638241
29	47	0	0.404589607
30	48	0	0.418540973
31	50	0	0.432492338
32	51	0	0.446443704
33	52	0	0.46039507
34	54	0	0.474346436
35	55	0	0.488297801
36	57	0	0.502249167
37	58	0	0.516200533
38	60	0	0.530151899
39	61	0	0.544103264
40	63	0	0.55805463
41	64	0	0.572005996
42	65	0	0.585957362
43	67	0	0.599908727
44	68	0	0.613860093
45	70	0	0.627811459
46	71	0	0.641762825
47	72	0	0.65571419
48	74	0	0.669665556
49	75	0	0.683616922
50	77	0	0.697568288
51	78	0	0.711519653
52	79	0	0.725471019
53	81	0	0.739422385
54	82	0	0.753373751
55	83	0	0.767325116
56	85	0	0.781276482
57	86	0	0.795227848
58	88	0	0.809179214
59	89	0	0.823130579
60	90	0	0.837081945
61	92	0	0.851033311
62	93	0	0.864984677
63	95	0	0.878936042
64	96	0	0.892887408
65	97	0	0.906838774
66	99	0	0.92079014
67	100	0	0.934741505
68	101	0	0.948692871
69	103	0	0.962644237
70	104	0	0.976595603
71	106	0	0.990546968
72	107	0	1.00449833
73	108	0	1.0184497
74	110	0	1.03240107
75	111	0	1.04635243
76	112	0	1.0603038
77	114	0	1.07425516
78	115	0	1.08820653
79	117	0	1.10215789
80	118	0	1.11610926
81	119	0	1.13006063
82	121	0	1.14401199
83	122	0	1.15796336
84	123	0	1.17191472
85	125	0	1.18586609
86	126	0	1.19981745
87	128	0	1.21376882
88	129	0	1.22772019
89	130	0	1.24167155
90	132	0	1.25562292
91	133	0	1.26957428
92	134	0	1.28352565
93	136	0	1.29747701
94	137	0	1.31142838
95	138	0	1.32537975
96	140	0	1.33933111
97	141	0	1.35328248
98	143	0	1.36723384
99	144	0	1.38118521
100	145	0	1.39513658
101	147	0	1.40908794
102	148	0	1.42303931
103	150	0	1.43699067
104	151	0	1.45094204
105	153	0	1.4648934
106	154	0	1.47884477
107	155	0	1.49279614
108	157	0	1.5067475
109	158	0	1.52069887
