Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	101425.565	101425.565	101425.565	101425.565	0	0	0	0	15392.5	0	0	3
2	15	0	0.0224064263	101423.94	101424.753	101423.94	101425.565	0.81265163	0	0	0	7427.49	0	0	3
3	19	0	0.0336096395	101423.958	101424.488	101423.94	101425.565	1.07746882	0	0	0	4819.6	0	0	3
4	22	0	0.0448128527	101423.926	101424.347	101423.926	101425.565	1.21781638	0	0	0	4172.52	0	0	3
5	25	0	0.0560160658	101423.863	101424.25	101423.863	101425.565	1.31473597	0	0	0	2979.85	0	0	3
6	28	0	0.067219279	101423.852	101424.184	101423.852	101425.565	1.3811433	0	0	0	2489.93	0	0	3
7	32	0	0.0784224922	101423.778	101424.126	101423.778	101425.565	1.43916182	0	0	0	2328.58	0	0	3
8	35	0	0.0896257053	101423.735	101424.077	101423.735	101425.565	1.48799089	0	0	0	2268.64	0	0	3
9	38	0	0.100828918	101423.671	101424.032	101423.671	101425.565	1.5331267	0	0	0	2144.77	0	0	3
10	41	0	0.112032132	101423.622	101423.991	101423.622	101425.565	1.57410099	0	0	0	2014.02	0	0	3
11	44	0	0.123235345	101423.54	101423.95	101423.54	101425.565	1.61508901	0	0	0	1927.13	0	0	3
12	48	0	0.134438558	101423.473	101423.91	101423.473	101425.565	1.65485273	0	0	0	1867.36	0	0	3
13	51	0	0.145641771	101423.39	101423.87	101423.39	101425.565	1.69489768	0	0	0	1812.07	0	0	3
14	54	0	0.156844984	101423.325	101423.831	101423.325	101425.565	1.7338193	0	0	0	1833.77	0	0	3
15	57	0	0.168048197	101423.244	101423.792	101423.244	101425.565	1.7729792	0	0	0	1832.72	0	0	3
16	60	0	0.179251411	101423.163	101423.753	101423.163	101425.565	1.81231099	0	0	0	1809.66	0	0	3
17	64	0	0.190454624	101423.064	101423.712	101423.064	101425.565	1.85281603	0	0	0	1768.94	0	0	3
18	67	0	0.201657837	101422.983	101423.672	101422.983	101425.565	1.89334967	0	0	0	1734.05	0	0	3
19	70	0	0.21286105	101422.892	101423.631	101422.892	101425.565	1.93437541	0	0	0	1693.03	0	0	3
20	74	0	0.224064263	101422.81	101423.59	101422.81	101425.565	1.9753968	0	0	0	1654.07	0	0	3
21	78	0	0.235267476	101422.7	101423.547	101422.7	101425.565	2.01777049	0	0	0	1617.44	0	0	3
22	82	0	0.24647069	101422.592	101423.504	101422.592	101425.565	2.06120096	0	0	0	1578.17	0	0	3
23	86	0	0.257673903	101422.482	101423.46	101422.482	101425.565	2.10563628	0	0	0	1536.22	0	0	3
24	89	0	0.268877116	101422.374	101423.414	101422.374	101425.565	2.15086603	0	0	0	1465.87	0	0	3
25	92	0	0.280080329	101422.265	101423.368	101422.265	101425.565	2.19682561	0	0	0	1391.73	0	0	3
26	96	0	0.291283542	101422.124	101423.321	101422.124	101425.565	2.24469946	0	0	0	1327.71	0	0	3
27	100	0	0.302486755	101421.977	101423.271	101421.977	101425.565	2.29447575	0	0	0	1286.83	0	0	3
28	103	0	0.313689969	101421.832	101423.219	101421.832	101425.565	2.34584408	0	0	0	1239.62	0	0	3
29	106	0	0.324893182	101421.693	101423.167	101421.693	101425.565	2.39846297	0	0	0	1209.12	0	0	3
30	110	0	0.336096395	101421.561	101423.113	101421.561	101425.565	2.45199077	0	0	0	1171.97	0	0	3
31	113	0	0.347299608	101421.392	101423.058	101421.392	101425.565	2.50752674	0	0	0	1154.06	0	0	3
32	116	0	0.358502821	101421.236	101423.001	101421.236	101425.565	2.56445577	0	0	0	1132.83	0	0	3
33	120	0	0.369706034	101421.1	101422.943	101421.1	101425.565	2.62204959	0	0	0	1117.55	0	0	3
34	124	0	0.380909248	101420.984	101422.886	101420.984	101425.565	2.67968229	0	0	0	1100.57	0	0	3
35	127	0	0.392112461	101420.882	101422.828	101420.882	101425.565	2.73691989	0	0	0	1086.18	0	0	3
36	131	0	0.403315674	101420.767	101422.771	101420.767	101425.565	2.79417835	0	0	0	1074.96	0	0	3
37	134	0	0.414518887	101420.665	101422.714	101420.665	101425.565	2.85109266	0	0	0	1063.95	0	0	3
38	137	0	0.4257221	101420.576	101422.658	101420.576	101425.565	2.90735808	0	0	0	1053.38	0	0	3
39	140	0	0.436925313	101420.493	101422.602	101420.493	101425.565	2.96286141	0	0	0	1042.91	0	0	3
40	143	0	0.448128527	101420.42	101422.548	101420.42	101425.565	3.01743012	0	0	0	1032.78	0	0	3
41	147	0	0.45933174	101420.329	101422.494	101420.329	101425.565	3.07155353	0	0	0	1024.94	0	0	3
42	150	0	0.470534953	101420.242	101422.44	101420.242	101425.565	3.12515362	0	0	0	1017.56	0	0	3
43	153	0	0.481738166	101420.167	101422.387	101420.167	101425.565	3.17802352	0	0	0	1012.46	0	0	3
44	156	0	0.492941379	101420.104	101422.335	101420.104	101425.565	3.22991555	0	0	0	1007.14	0	0	3
