Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	19.9770487	19.9770487	19.9770487	19.9770487	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	19.9750503	19.9760495	19.9750503	19.9770487	0.000999181212	0	0	0	0	0	0	3
3	19	0	0.0336096395	19.9739179	19.975339	19.9739179	19.9770487	0.00170969774	0	0	0	0	0	0	3
4	22	0	0.0448128527	19.9729718	19.9747472	19.9729718	19.9770487	0.00230148726	0	0	0	0	0	0	3
5	25	0	0.0560160658	19.971917	19.9741811	19.971917	19.9770487	0.00286753082	0	0	0	0	0	0	3
6	28	0	0.067219279	19.9702383	19.973524	19.9702383	19.9770487	0.00352467613	0	0	0	0	0	0	3
7	32	0	0.0784224922	19.9681163	19.9727515	19.9681163	19.9770487	0.00429720296	0	0	0	0	0	0	3
8	35	0	0.0896257053	19.9660069	19.9719084	19.9660069	19.9770487	0.00514027357	0	0	0	0	0	0	3
9	38	0	0.100828918	19.9639055	19.9710192	19.9639055	19.9770487	0.00602948576	0	0	0	0	0	0	3
10	41	0	0.112032132	19.9618609	19.9701034	19.9618609	19.9770487	0.00694531607	0	0	0	0	0	0	3
11	44	0	0.123235345	19.9588014	19.9690759	19.9588014	19.9770487	0.00797277054	0	0	0	0	0	0	3
12	48	0	0.134438558	19.9557657	19.9679667	19.9557657	19.9770487	0.00908195415	0	0	0	0	0	0	3
13	51	0	0.145641771	19.9527532	19.9667965	19.9527532	19.9770487	0.0102522241	0	0	0	0	0	0	3
14	54	0	0.156844984	19.9497526	19.965579	19.9497526	19.9770487	0.011469643	0	0	0	0	0	0	3
15	57	0	0.168048197	19.9467791	19.9643257	19.9467791	19.9770487	0.0127229694	0	0	0	0	0	0	3
16	60	0	0.179251411	19.9423852	19.9629544	19.9423852	19.9770487	0.0140942505	0	0	0	0	0	0	3
17	64	0	0.190454624	19.9380754	19.961491	19.9380754	19.9770487	0.015557722	0	0	0	0	0	0	3
18	67	0	0.201657837	19.9338066	19.9599529	19.9338066	19.9770487	0.0170957397	0	0	0	0	0	0	3
19	70	0	0.21286105	19.9295627	19.9583535	19.9295627	19.9770487	0.0186952247	0	0	0	0	0	0	3
20	74	0	0.224064263	19.9253341	19.9567025	19.9253341	19.9770487	0.0203461919	0	0	0	0	0	0	3
21	78	0	0.235267476	19.9190734	19.9549106	19.9190734	19.9770487	0.0221380519	0	0	0	0	0	0	3
22	82	0	0.24647069	19.9128425	19.9529984	19.9128425	19.9770487	0.02405024	0	0	0	0	0	0	3
23	86	0	0.257673903	19.9066049	19.9509813	19.9066049	19.9770487	0.0260673521	0	0	0	0	0	0	3
24	89	0	0.268877116	19.9003374	19.9488712	19.9003374	19.9770487	0.0281775168	0	0	0	0	0	0	3
25	92	0	0.280080329	19.8940566	19.9466786	19.8940566	19.9770487	0.0303700972	0	0	0	0	0	0	3
26	96	0	0.291283542	19.884934	19.9443038	19.884934	19.9770487	0.0327448888	0	0	0	0	0	0	3
27	100	0	0.302486755	19.8761171	19.9417784	19.8761171	19.9770487	0.0352703234	0	0	0	0	0	0	3
28	103	0	0.313689969	19.8676352	19.9391304	19.8676352	19.9770487	0.0379182916	0	0	0	0	0	0	3
