Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	3.13775205e-05	3.13775205e-05	3.13775205e-05	3.13775205e-05	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	3.9250567e-05	3.53140437e-05	3.13775205e-05	3.9250567e-05	3.93652329e-06	0	0	0	0	0	0	3
3	19	0	0.0336096395	5.65637723e-05	4.23972866e-05	3.13775205e-05	5.65637723e-05	1.10197661e-05	0	0	0	0	0	0	3
4	22	0	0.0448128527	6.08522645e-05	4.70110311e-05	3.13775205e-05	6.08522645e-05	1.56335106e-05	0	0	0	0	0	0	3
5	25	0	0.0560160658	7.38342826e-05	5.23756814e-05	3.13775205e-05	7.38342826e-05	2.09981609e-05	0	0	0	0	0	0	3
6	28	0	0.067219279	9.08339063e-05	5.87853855e-05	3.13775205e-05	9.08339063e-05	2.74078651e-05	0	0	0	0	0	0	3
7	32	0	0.0784224922	0.000108192706	6.58435741e-05	3.13775205e-05	0.000108192706	3.44660536e-05	0	0	0	0	0	0	3
8	35	0	0.0896257053	0.000128156694	7.3632714e-05	3.13775205e-05	0.000128156694	4.22551936e-05	0	0	0	0	0	0	3
9	38	0	0.100828918	0.000156549254	8.28456629e-05	3.13775205e-05	0.000156549254	5.14681425e-05	0	0	0	0	0	0	3
10	41	0	0.112032132	0.000183899856	9.29510823e-05	3.13775205e-05	0.000183899856	6.15735618e-05	0	0	0	0	0	0	3
11	44	0	0.123235345	0.00020617787	0.000103244427	3.13775205e-05	0.00020617787	7.18669062e-05	0	0	0	0	0	0	3
12	48	0	0.134438558	0.000250146526	0.000115486268	3.13775205e-05	0.000250146526	8.41087478e-05	0	0	0	0	0	0	3
13	51	0	0.145641771	0.00028443931	0.000128482656	3.13775205e-05	0.00028443931	9.71051357e-05	0	0	0	0	0	0	3
14	54	0	0.156844984	0.000312334862	0.000141614957	3.13775205e-05	0.000312334862	0.000110237436	0	0	0	0	0	0	3
15	57	0	0.168048197	0.000357461654	0.000156004736	3.13775205e-05	0.000357461654	0.000124627216	0	0	0	0	0	0	3
16	60	0	0.179251411	0.000408434985	0.000171781627	3.13775205e-05	0.000408434985	0.000140404106	0	0	0	0	0	0	3
17	64	0	0.190454624	0.000476945511	0.000189732444	3.13775205e-05	0.000476945511	0.000158354923	0	0	0	0	0	0	3
18	67	0	0.201657837	0.000536562951	0.000209000805	3.13775205e-05	0.000536562951	0.000177623285	0	0	0	0	0	0	3
19	70	0	0.21286105	0.000611312135	0.000230175086	3.13775205e-05	0.000611312135	0.000198797565	0	0	0	0	0	0	3
20	74	0	0.224064263	0.000685128763	0.00025292277	3.13775205e-05	0.000685128763	0.000221545249	0	0	0	0	0	0	3
21	78	0	0.235267476	0.000799560091	0.000278953118	3.13775205e-05	0.000799560091	0.000247575598	0	0	0	0	0	0	3
22	82	0	0.24647069	0.000930097222	0.000308550577	3.13775205e-05	0.000930097222	0.000277173057	0	0	0	0	0	0	3
23	86	0	0.257673903	0.0010542084	0.000340970483	3.13775205e-05	0.0010542084	0.000309592963	0	0	0	0	0	0	3
24	89	0	0.268877116	0.00119772643	0.000376668647	3.13775205e-05	0.00119772643	0.000345291127	0	0	0	0	0	0	3
25	92	0	0.280080329	0.00132193938	0.000414479477	3.13775205e-05	0.00132193938	0.000383101956	0	0	0	0	0	0	3
26	96	0	0.291283542	0.0015195973	0.000456984009	3.13775205e-05	0.0015195973	0.000425606488	0	0	0	0	0	0	3
27	100	0	0.302486755	0.00171494812	0.000503575272	3.13775205e-05	0.00171494812	0.000472197752	0	0	0	0	0	0	3
28	103	0	0.313689969	0.00189992957	0.000553445068	3.13775205e-05	0.00189992957	0.000522067548	0	0	0	0	0	0	3
