Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	1.99982148	1.99982148	1.99982148	1.99982148	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	1.99969392	1.9997577	1.99969392	1.99982148	6.37811775e-05	0	0	0	0	0	0	3
3	19	0	0.0336096395	1.99977649	1.99976397	1.99969392	1.99982148	6.37811775e-05	0	0	0	0	0	0	3
4	22	0	0.0448128527	1.99972412	1.999754	1.99969392	1.99982148	6.74807441e-05	0	0	0	0	0	0	3
5	25	0	0.0560160658	1.99973098	1.9997494	1.99969392	1.99982148	7.20860941e-05	0	0	0	0	0	0	3
6	28	0	0.067219279	1.99969817	1.99974086	1.99969392	1.99982148	8.06245313e-05	0	0	0	0	0	0	3
7	32	0	0.0784224922	1.99970974	1.99973641	1.99969392	1.99982148	8.50702701e-05	0	0	0	0	0	0	3
8	35	0	0.0896257053	1.99971221	1.99973339	1.99969392	1.99982148	8.8095615e-05	0	0	0	0	0	0	3
9	38	0	0.100828918	1.99971609	1.99973147	1.99969392	1.99982148	9.00179257e-05	0	0	0	0	0	0	3
10	41	0	0.112032132	1.99974473	1.99973279	1.99969392	1.99982148	9.00179257e-05	0	0	0	0	0	0	3
11	44	0	0.123235345	1.99980083	1.99973898	1.99969392	1.99982148	9.00179257e-05	0	0	0	0	0	0	3
12	48	0	0.134438558	1.99992247	1.99975427	1.99969392	1.99992247	9.00179257e-05	0	0	0	0	0	0	3
13	51	0	0.145641771	2.00001971	1.99977469	1.99969392	2.00001971	9.00179257e-05	0	0	0	0	0	0	3
14	54	0	0.156844984	2.00018738	1.99980417	1.99969392	2.00018738	9.00179257e-05	0	0	0	0	0	0	3
15	57	0	0.168048197	2.00036203	1.99984136	1.99969392	2.00036203	0.000109889771	0	0	0	0	0	0	3
16	60	0	0.179251411	2.00075295	1.99989833	1.99969392	2.00075295	0.000166864685	0	0	0	0	0	0	3
17	64	0	0.190454624	2.00113815	1.99997126	1.99969392	2.00113815	0.000239794961	0	0	0	0	0	0	3
18	67	0	0.201657837	2.00162975	2.0000634	1.99969392	2.00162975	0.000331933473	0	0	0	0	0	0	3
19	70	0	0.21286105	2.00217912	2.00017475	1.99969392	2.00217912	0.000443287284	0	0	0	0	0	0	3
20	74	0	0.224064263	2.00284298	2.00030816	1.99969392	2.00284298	0.000576698385	0	0	0	0	0	0	3
21	78	0	0.235267476	2.00393461	2.00048085	1.99969392	2.00393461	0.000749386474	0	0	0	0	0	0	3
22	82	0	0.24647069	2.00520566	2.00069562	1.99969392	2.00520566	0.00096415065	0	0	0	0	0	0	3
23	86	0	0.257673903	2.00663684	2.00095393	1.99969392	2.00663684	0.00122246466	0	0	0	0	0	0	3
24	89	0	0.268877116	2.0082285	2.00125704	1.99969392	2.0082285	0.00152557172	0	0	0	0	0	0	3
25	92	0	0.280080329	2.00994993	2.00160475	1.99969392	2.00994993	0.00187328754	0	0	0	0	0	0	3
26	96	0	0.291283542	2.01269935	2.00203147	1.99969392	2.01269935	0.00230000278	0	0	0	0	0	0	3
27	100	0	0.302486755	2.01557145	2.00253295	1.99969392	2.01557145	0.00280148373	0	0	0	0	0	0	3
28	103	0	0.313689969	2.01849588	2.00310305	1.99969392	2.01849588	0.00337158829	0	0	0	0	0	0	3
29	106	0	0.324893182	2.02132365	2.00373135	1.99969392	2.02132365	0.0039998847	0	0	0	0	0	0	3
30	110	0	0.336096395	2.0239707	2.004406	1.99969392	2.0239707	0.00467452978	0	0	0	0	0	0	3
31	113	0	0.347299608	2.02749179	2.0051507	1.99969392	2.02749179	0.00541923294	0	0	0	0	0	0	3
32	116	0	0.358502821	2.0303599	2.00593849	1.99969392	2.0303599	0.00620702054	0	0	0	0	0	0	3
33	120	0	0.369706034	2.0324151	2.00674081	1.99969392	2.0324151	0.00700934205	0	0	0	0	0	0	3
34	124	0	0.380909248	2.03359841	2.00753074	1.99969392	2.03359841	0.00779927166	0	0	0	0	0	0	3
35	127	0	0.392112461	2.03388296	2.00828366	1.99969392	2.03388296	0.00855219223	0	0	0	0	0	0	3
36	131	0	0.403315674	2.03284238	2.00896584	1.99969392	2.03388296	0.00923437884	0	0	0	0	0	0	3
37	134	0	0.414518887	2.03083677	2.00955695	1.99969392	2.03388296	0.00982548488	0	0	0	0	0	0	3
38	137	0	0.4257221	2.0285585	2.01005699	1.99969392	2.03388296	0.0103255256	0	0	0	0	0	0	3
39	140	0	0.436925313	2.02665774	2.01048265	1.99969392	2.03388296	0.0107511857	0	0	0	0	0	0	3
40	143	0	0.448128527	2.02544488	2.01085671	1.99969392	2.03388296	0.0111252413	0	0	0	0	0	0	3
41	147	0	0.45933174	2.02514	2.01120508	1.99969392	2.03388296	0.0114736144	0	0	0	0	0	0	3
42	150	0	0.470534953	2.02582875	2.01155326	1.99969392	2.03388296	0.011821797	0	0	0	0	0	0	3
43	153	0	0.481738166	2.02687287	2.01190953	1.99969392	2.03388296	0.012178067	0	0	0	0	0	0	3
44	156	0	0.492941379	2.02771958	2.01226885	1.99969392	2.03388296	0.0125373863	0	0	0	0	0	0	3
45	159	0	0.504144592	2.02828724	2.01262482	1.99969392	2.03388296	0.0128933504	0	0	0	0	0	0	3
46	162	0	0.515347806	2.02859488	2.01326423	1.99969392	2.03388296	0.0135327593	0	0	0	0	0	0	3
47	165	0	0.526551019	2.02879319	2.01391088	1.99969817	2.03388296	0.0141794096	0	0	0	0	0	0	3
48	169	0	0.537754232	2.02894279	2.01455902	1.99969817	2.03388296	0.0148275495	0	0	0	0	0	0	3
49	172	0	0.548957445	2.0290683	2.01521111	1.99969817	2.03388296	0.0154796424	0	0	0	0	0	0	3
50	175	0	0.560160658	2.02902945	2.01586219	1.99969817	2.03388296	0.0161307197	0	0	0	0	0	0	3
51	178	0	0.571363871	2.02892065	2.01651157	1.99970974	2.03388296	0.0167801082	0	0	0	0	0	0	3
52	181	0	0.582567085	2.02876692	2.01715729	1.99971221	2.03388296	0.0174258233	0	0	0	0	0	0	3
53	184	0	0.593770298	2.02861098	2.01779948	1.99971609	2.03388296	0.0180680182	0	0	0	0	0	0	3
54	187	0	0.604973511	2.02848034	2.01843869	1.99974473	2.03388296	0.0187058973	0	0	0	0	0	0	3
55	189	0	0.616176724	2.02833205	2.01907396	1.99980083	2.03388296	0.0193349859	0	0	0	0	0	0	3
56	192	0	0.627379937	2.02818394	2.0197047	1.99992247	2.03388296	0.0199504311	0	0	0	0	0	0	3
57	196	0	0.63858315	2.02807286	2.02033026	2.00001971	2.03388296	0.0205555769	0	0	0	0	0	0	3
58	199	0	0.649786364	2.02800233	2.0209521	2.00018738	2.03388296	0.0211479347	0	0	0	0	0	0	3
59	202	0	0.660989577	2.02799658	2.02157008	2.00036203	2.03388296	0.0217287262	0	0	0	0	0	0	3
60	205	0	0.67219279	2.02801355	2.02218456	2.00075295	2.03388296	0.0222862296	0	0	0	0	0	0	3
61	208	0	0.683396003	2.02809494	2.02279216	2.00113815	2.03388296	0.0228208989	0	0	0	0	0	0	3
62	211	0	0.694599216	2.02815235	2.02339248	2.00162975	2.03388296	0.0233290761	0	0	0	0	0	0	3
63	214	0	0.705802429	2.02821931	2.02398335	2.00217912	2.03388296	0.0238086013	0	0	0	0	0	0	3
64	217	0	0.717005643	2.02825719	2.02456287	2.00284298	2.03388296	0.0242547028	0	0	0	0	0	0	3
65	220	0	0.728208856	2.02827419	2.02512801	2.00393461	2.03388296	0.0246471528	0	0	0	0	0	0	3
66	223	0	0.739412069	2.02829901	2.02566944	2.00520566	2.03388296	0.0249738196	0	0	0	0	0	0	3
67	226	0	0.750615282	2.02833589	2.02618344	2.00663684	2.03388296	0.0252295105	0	0	0	0	0	0	3
68	229	0	0.761818495	2.02839208	2.02666689	2.0082285	2.03388296	0.0254098532	0	0	0	0	0	0	3
69	232	0	0.773021708	2.02845726	2.02711642	2.00994993	2.03388296	0.023933024	0	0	0	0	0	0	3
70	235	0	0.784224922	2.02854783	2.02752971	2.01269935	2.03388296	0.0211836077	0	0	0	0	0	0	3
71	238	0	0.795428135	2.02864643	2.02788409	2.01557145	2.03388296	0.0183115028	0	0	0	0	0	0	3
72	241	0	0.806631348	2.02874317	2.02817679	2.01849588	2.03388296	0.0153870797	0	0	0	0	0	0	3
73	244	0	0.817834561	2.02883295	2.0284065	2.02132365	2.03388296	0.0125593074	0	0	0	0	0	0	3
74	247	0	0.829037774	2.02894026	2.02857576	2.0239707	2.03388296	0.00991225399	0	0	0	0	0	0	3
75	250	0	0.840240987	2.02904953	2.02868862	2.02514	2.03388296	0.00874295263	0	0	0	0	0	0	3
76	253	0	0.851444201	2.02916332	2.02872577	2.02514	2.03388296	0.00874295263	0	0	0	0	0	0	3
77	256	0	0.862647414	2.02924464	2.02870098	2.02514	2.03388296	0.00874295263	0	0	0	0	0	0	3
78	259	0	0.873850627	2.02933299	2.02863249	2.02514	2.03388296	0.00874295263	0	0	0	0	0	0	3
79	262	0	0.88505384	2.0293838	2.02853884	2.02514	2.03388296	0.00874295263	0	0	0	0	0	0	3
80	265	0	0.896257053	2.0294304	2.02843989	2.02514	2.03284238	0.00770237179	0	0	0	0	0	0	3
81	268	0	0.907460266	2.02944394	2.02836437	2.02514	2.03083677	0.00569676369	0	0	0	0	0	0	3
82	271	0	0.918663479	2.0294603	2.02833378	2.02514	2.0294603	0.00432029059	0	0	0	0	0	0	3
83	274	0	0.929866693	2.0294529	2.02835366	2.02514	2.0294603	0.00432029059	0	0	0	0	0	0	3
84	277	0	0.941069906	2.02944346	2.02841556	2.02514	2.0294603	0.00432029059	0	0	0	0	0	0	3
85	280	0	0.952273119	2.02941058	2.02850369	2.02514	2.0294603	0.00432029059	0	0	0	0	0	0	3
86	283	0	0.963476332	2.02938637	2.02859805	2.02582875	2.0294603	0.00363154373	0	0	0	0	0	0	3
87	286	0	0.974679545	2.02935898	2.0286765	2.02687287	2.0294603	0.00258742478	0	0	0	0	0	0	3
88	289	0	0.985882758	2.02933505	2.02873122	2.02771958	2.0294603	0.0017407127	0	0	0	0	0	0	3
89	292	0	0.997085972	2.02929322	2.02876619	2.02799658	2.0294603	0.00146371128	0	0	0	0	0	0	3
90	294	0	1.00828918	2.02926883	2.028788	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
91	297	0	1.0194924	2.02924396	2.02880242	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
92	300	0	1.03069561	2.02922183	2.02881195	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
93	303	0	1.04189882	2.02918486	2.02881733	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
94	306	0	1.05310204	2.02917302	2.02881965	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
95	309	0	1.06430525	2.02916738	2.02882272	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
96	312	0	1.07550846	2.02917568	2.02882839	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
97	315	0	1.08671168	2.02915753	2.02883707	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
98	318	0	1.09791489	2.02916348	2.02884935	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
99	321	0	1.1091181	2.02915489	2.02886434	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
100	324	0	1.12032132	2.02917307	2.02888302	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
101	327	0	1.13152453	2.02915932	2.0289047	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
102	330	0	1.14272774	2.02918449	2.0289294	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
103	333	0	1.15393096	2.02918106	2.0289556	2.02799658	2.0294603	0.00146371128	0.0010255437	0	70	0	0	0	3
104	336	0	1.16513417	2.02921667	2.02898271	2.02801355	2.0294603	0.00144674353	0.0010255437	0	70.8	0	0	0	3
105	339	0	1.17633738	2.02922062	2.02900953	2.02809494	2.0294603	0.00136535886	0.0010255437	0	75.1	0	0	0	3
106	342	0	1.1875406	2.0292467	2.02903513	2.02815235	2.0294603	0.00130794221	0.0010255437	0	78.4	0	0	0	3
107	345	0	1.19874381	2.02923815	2.02905926	2.02821931	2.0294603	0.00124098601	0.0010255437	0	82.6	0	0	0	3
108	348	0	1.20994702	2.02926224	2.02908243	2.02825719	2.0294603	0.00120310668	0.0010255437	0	85.2	0	0	0	3
109	351	0	1.22115023	2.02925784	2.02910467	2.02827419	2.0294603	0.00118610472	0.0010255437	0	86.4	0	0	0	3
110	354	0	1.23235345	2.02928185	2.02912706	2.02829901	2.0294603	0.00116128924	0.0010255437	0	88.3	0	0	0	3
111	356	0	1.24355666	2.02928029	2.02914887	2.02833589	2.0294603	0.00112440737	0.0010255437	0	91.2	0	0	0	3
112	359	0	1.25475987	2.02930646	2.02917044	2.02839208	2.0294603	0.00106821708	0.0010255437	0	96	0	0	0	3
113	362	0	1.26596309	2.02930621	2.02919075	2.02845726	2.0294603	0.00100303898	0.0010255437	0	100	0	0	0	3
114	365	0	1.2771663	2.02933713	2.0292103	2.02854783	2.0294603	0.000912462124	0.0010255437	0	100	0	0	0	3
115	368	0	1.28836951	2.02933784	2.02922786	2.02864643	2.0294603	0.00081386956	0.0010255437	0	100	0	0	0	3
116	371	0	1.29957273	2.02936285	2.02924378	2.02874317	2.0294603	0.000717124436	0.0010255437	0	100	0	0	0	3
117	374	0	1.31077594	2.02935884	2.02925746	2.02883295	2.0294603	0.000627346575	0.0010255437	0	100	0	0	0	3
118	377	0	1.32197915	2.02937738	2.02926956	2.02894026	2.0294603	0.000520034894	0.0010255437	0	100	0	0	0	3
119	380	0	1.33318237	2.02935664	2.02927881	2.02904953	2.0294603	0.000410762898	0.0010255437	0	100	0	0	0	3
120	383	0	1.34438558	2.02936589	2.02928584	2.02915489	2.0294603	0.000305406313	0.0010255437	0	100	0	0	0	3
121	385	0	1.35558879	2.02934525	2.02928989	2.02915489	2.0294603	0.000305406313	0.0010255437	0	100	0	0	0	3
122	388	0	1.36679201	2.02934863	2.0292922	2.02915489	2.0294603	0.000305406313	0.0010255437	0	100	0	0	0	3
123	391	0	1.37799522	2.02932909	2.02929211	2.02915489	2.0294603	0.000305406313	0.0010255437	0	100	0	0	0	3
124	394	0	1.38919843	2.02934373	2.02929122	2.02915489	2.0294603	0.000305406313	0.0010255437	0	100	0	0	0	3
125	397	0	1.40040165	2.02932615	2.0292889	2.02915489	2.0294603	0.000305406313	0.0010255437	0	100	0	0	0	3
126	400	0	1.41160486	2.02935277	2.02928688	2.02915489	2.0294603	0.000305406313	0.0010255437	0	100	0	0	0	3
127	403	0	1.42280807	2.02935136	2.02928446	2.02915489	2.0294529	0.000298012294	0.0010255437	0	100	0	0	0	3
128	406	0	1.43401129	2.02936836	2.02928258	2.02915489	2.02944346	0.000288574246	0.0010255437	0	100	0	0	0	3
129	409	0	1.4452145	2.02935294	2.02928057	2.02915489	2.02941058	0.000255689718	0.0010255437	0	100	0	0	0	3
130	412	0	1.45641771	2.02935775	2.02927939	2.02915489	2.02938637	0.000231476412	0.0010255437	0	100	0	0	0	3
131	415	0	1.46762092	2.02934418	2.02927846	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
132	418	0	1.47882414	2.02934773	2.02927821	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
133	421	0	1.49002735	2.02933762	2.02927826	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
134	424	0	1.50123056	2.02934351	2.02927938	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
135	427	0	1.51243378	2.02933766	2.02928091	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
136	430	0	1.52363699	2.02934522	2.02928316	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
137	432	0	1.5348402	2.02933745	2.02928573	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
138	435	0	1.54604342	2.02934848	2.02928937	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
139	438	0	1.55724663	2.02934091	2.0292931	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
140	441	0	1.56844984	2.02933877	2.0292969	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
141	444	0	1.57965306	2.02932989	2.02930033	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
142	447	0	1.59085627	2.0293328	2.02930423	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
143	450	0	1.60205948	2.0293257	2.02930783	2.02915489	2.02937738	0.000222494842	0.0010255437	0	100	0	0	0	3
144	453	0	1.6132627	2.02933814	2.0293119	2.02915932	2.02937738	0.000218064457	0.0010255437	0	100	0	0	0	3
145	456	0	1.62446591	2.02933572	2.02931552	2.02915932	2.02937738	0.000218064457	0.0010255437	0	100	0	0	0	3
146	459	0	1.63566912	2.02934445	2.02931963	2.02918106	2.02937738	0.000196323814	0.0010255437	0	100	0	0	0	3
147	462	0	1.64687234	2.02934872	2.02932328	2.02918106	2.02937738	0.000196323814	0.0010255437	0	100	0	0	0	3
148	465	0	1.65807555	2.02936667	2.02932741	2.02921667	2.02937738	0.000160713416	0.0010255437	0	100	0	0	0	3
149	468	0	1.66927876	2.02936712	2.02933075	2.02922062	2.02937738	0.000156759511	0.0010255437	0	100	0	0	0	3
150	471	0	1.68048197	2.02937472	2.02933417	2.02923815	2.02937738	0.000139238119	0.0010255437	0	100	0	0	0	3
151	474	0	1.69168519	2.02936383	2.02933678	2.02923815	2.02937738	0.000139238119	0.0010255437	0	100	0	0	0	3
152	481	0	1.7028884	2.0293617	2.02933952	2.02925784	2.02937738	0.000119540897	0.0010255437	0	100	0	0	0	3
153	485	0	1.71409161	2.02935348	2.02934155	2.02925784	2.02937738	0.000119540897	0.0010255437	0	100	0	0	0	3
154	489	0	1.72529483	2.02935598	2.02934373	2.02928029	2.02937738	9.7098647e-05	0.0010255437	0	100	0	0	0	3
155	493	0	1.73649804	2.02934124	2.02934505	2.02928029	2.02937738	9.7098647e-05	0.0010255437	0	100	0	0	0	3
156	497	0	1.74770125	2.02934901	2.02934658	2.02930621	2.02937738	7.11730868e-05	0.0010255437	0	100	0	0	0	3
157	501	0	1.75890447	2.02934928	2.02934753	2.02930621	2.02937738	7.11730868e-05	0.0010255437	0	100	0	0	0	3
158	505	0	1.77010768	2.02936597	2.02934886	2.0293257	2.02937738	5.16871427e-05	0.0010255437	0	100	0	0	0	3
159	508	0	1.78131089	2.02937481	2.02934969	2.0293257	2.02937738	5.16871427e-05	0.0010255437	0	100	0	0	0	3
160	512	0	1.79251411	2.02938387	2.02935072	2.0293257	2.02938387	5.81710225e-05	0.0010255437	0	100	0	0	0	3
161	517	0	1.80371732	2.02937336	2.02935095	2.0293257	2.02938387	5.81710225e-05	0.0010255437	0	100	0	0	0	3
162	521	0	1.81492053	2.02937706	2.02935136	2.0293257	2.02938387	5.81710225e-05	0.0010255437	0	100	0	0	0	3
163	526	0	1.82612375	2.02937112	2.02935122	2.0293257	2.02938387	5.81710225e-05	0.0010255437	0	100	0	0	0	3
164	530	0	1.83732696	2.02937029	2.02935152	2.0293257	2.02938387	5.81710225e-05	0.0010255437	0	100	0	0	0	3
165	533	0	1.84853017	2.02936627	2.02935153	2.0293257	2.02938387	5.81710225e-05	0.0010255437	0	100	0	0	0	3
