Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	298207.725	298207.725	298207.725	298207.725	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	79931.5347	189069.63	79931.5347	298207.725	109138.095	0	0	0	0	0	0	3
3	19	0	0.0336096395	15946.9937	131362.084	15946.9937	298207.725	166845.641	0	0	0	0	0	0	3
4	22	0	0.0448128527	11351.6099	101359.466	11351.6099	298207.725	196848.259	0	0	0	0	0	0	3
5	25	0	0.0560160658	10679.296	83223.4319	10679.296	298207.725	214984.293	0	0	0	0	0	0	3
6	28	0	0.067219279	10274.2974	71065.2428	10274.2974	298207.725	227142.482	0	0	0	0	0	0	3
7	32	0	0.0784224922	10391.9859	62397.6347	10274.2974	298207.725	235810.091	0	0	0	0	0	0	3
8	35	0	0.0896257053	9648.59371	55804.0045	9648.59371	298207.725	242403.721	0	0	0	0	0	0	3
9	38	0	0.100828918	9205.24884	50626.365	9205.24884	298207.725	247581.36	0	0	0	0	0	0	3
10	41	0	0.112032132	8667.84374	46430.5129	8667.84374	298207.725	251777.212	0	0	0	0	0	0	3
11	44	0	0.123235345	8230.61866	42957.7952	8230.61866	298207.725	255249.93	0	0	0	0	0	0	3
12	48	0	0.134438558	7920.77574	40038.0436	7920.77574	298207.725	258169.682	0	0	0	0	0	0	3
13	51	0	0.145641771	7627.5049	37544.9252	7627.5049	298207.725	260662.8	0	0	0	0	0	0	3
14	54	0	0.156844984	7432.5558	35394.0417	7432.5558	298207.725	262813.683	0	0	0	0	0	0	3
15	57	0	0.168048197	7203.6573	33514.6828	7203.6573	298207.725	264693.042	0	0	0	0	0	0	3
16	60	0	0.179251411	7075.12448	31862.2104	7075.12448	298207.725	266345.515	0	0	0	0	0	0	3
17	64	0	0.190454624	6894.55047	30393.5245	6894.55047	298207.725	267814.201	0	0	0	0	0	0	3
18	67	0	0.201657837	6731.3498	29078.9592	6731.3498	298207.725	269128.766	0	0	0	0	0	0	3
19	70	0	0.21286105	6612.48316	27896.5131	6612.48316	298207.725	270311.212	0	0	0	0	0	0	3
20	74	0	0.224064263	6542.18802	26828.7969	6542.18802	298207.725	271378.928	0	0	0	0	0	0	3
21	78	0	0.235267476	6480.41845	25859.8265	6480.41845	298207.725	272347.899	0	0	0	0	0	0	3
22	82	0	0.24647069	6467.32302	24978.349	6467.32302	298207.725	273229.376	0	0	0	0	0	0	3
23	86	0	0.257673903	6459.76022	24173.193	6459.76022	298207.725	274034.532	0	0	0	0	0	0	3
24	89	0	0.268877116	6481.38252	23436.0342	6459.76022	298207.725	274771.691	0	0	0	0	0	0	3
25	92	0	0.280080329	6496.31514	22758.4455	6459.76022	298207.725	275449.28	0	0	0	0	0	0	3
26	96	0	0.291283542	6521.69863	22133.9552	6459.76022	298207.725	276073.77	0	0	0	0	0	0	3
27	100	0	0.302486755	6519.78348	21555.6525	6459.76022	298207.725	276652.073	0	0	0	0	0	0	3
28	103	0	0.313689969	6502.5787	21018.0428	6459.76022	298207.725	277189.682	0	0	0	0	0	0	3
29	106	0	0.324893182	6432.93236	20515.1079	6432.93236	298207.725	277692.617	0	0	0	0	0	0	3
30	110	0	0.336096395	6316.16055	20041.8097	6316.16055	298207.725	278165.915	0	0	0	0	0	0	3
31	113	0	0.347299608	6194.96077	19595.1371	6194.96077	298207.725	278612.588	0	0	0	0	0	0	3
32	116	0	0.358502821	6039.82316	19171.5336	6039.82316	298207.725	279036.192	0	0	0	0	0	0	3
33	120	0	0.369706034	5881.70658	18768.8115	5881.70658	298207.725	279438.914	0	0	0	0	0	0	3
34	124	0	0.380909248	5749.10753	18385.8791	5749.10753	298207.725	279821.846	0	0	0	0	0	0	3
35	127	0	0.392112461	5675.57712	18022.7276	5675.57712	298207.725	280184.998	0	0	0	0	0	0	3
36	131	0	0.403315674	5639.38698	17678.7459	5639.38698	298207.725	280528.979	0	0	0	0	0	0	3
37	134	0	0.414518887	5607.06517	17352.4843	5607.06517	298207.725	280855.241	0	0	0	0	0	0	3
38	137	0	0.4257221	5593.83885	17043.0462	5593.83885	298207.725	281164.679	0	0	0	0	0	0	3
39	140	0	0.436925313	5608.24628	16749.8462	5593.83885	298207.725	281457.879	0	0	0	0	0	0	3
40	143	0	0.448128527	5619.66572	16471.5917	5593.83885	298207.725	281736.133	0	0	0	0	0	0	3
41	147	0	0.45933174	5622.33127	16206.9756	5593.83885	298207.725	282000.75	0	0	0	0	0	0	3
42	150	0	0.470534953	5617.41322	15954.8432	5593.83885	298207.725	282252.882	0	0	0	0	0	0	3
43	153	0	0.481738166	5620.11881	15714.5007	5593.83885	298207.725	282493.224	0	0	0	0	0	0	3
44	156	0	0.492941379	5614.40687	15484.9532	5593.83885	298207.725	282722.772	0	0	0	0	0	0	3
45	159	0	0.504144592	5604.31782	15265.3835	5593.83885	298207.725	282942.342	0	0	0	0	0	0	3
46	162	0	0.515347806	5586.04846	8762.67955	5586.04846	79931.5347	74345.4862	0	0	0	0	0	0	3
47	165	0	0.526551019	5564.95512	7110.08889	5564.95512	15946.9937	10382.0385	0	0	0	0	0	0	3
48	169	0	0.537754232	5537.41127	6878.76484	5537.41127	11351.6099	5814.19863	0	0	0	0	0	0	3
49	172	0	0.548957445	5518.20046	6749.13352	5518.20046	10679.296	5161.09555	0	0	0	0	0	0	3
50	175	0	0.560160658	5502.54805	6634.09468	5502.54805	10391.9859	4889.43785	0	0	0	0	0	0	3
51	178	0	0.571363871	5486.99103	6527.71009	5486.99103	10391.9859	4904.99486	0	0	0	0	0	0	3
52	181	0	0.582567085	5473.60899	6418.41283	5473.60899	9648.59371	4174.98473	0	0	0	0	0	0	3
53	184	0	0.593770298	5464.78878	6325.43938	5464.78878	9205.24884	3740.46006	0	0	0	0	0	0	3
54	187	0	0.604973511	5456.27251	6242.1288	5456.27251	8667.84374	3211.57123	0	0	0	0	0	0	3
55	189	0	0.616176724	5452.66274	6170.68033	5452.66274	8230.61866	2777.95592	0	0	0	0	0	0	3
56	192	0	0.627379937	5450.41619	6108.89806	5450.41619	7920.77574	2470.35955	0	0	0	0	0	0	3
57	196	0	0.63858315	5450.77888	6054.00924	5450.41619	7627.5049	2177.08871	0	0	0	0	0	0	3
58	199	0	0.649786364	5454.93115	6005.72982	5450.41619	7432.5558	1982.1396	0	0	0	0	0	0	3
59	202	0	0.660989577	5466.08016	5962.03036	5450.41619	7203.6573	1753.24111	0	0	0	0	0	0	3
60	205	0	0.67219279	5475.82772	5923.63415	5450.41619	7075.12448	1624.70829	0	0	0	0	0	0	3
61	208	0	0.683396003	5488.43668	5888.37442	5450.41619	6894.55047	1444.13428	0	0	0	0	0	0	3
62	211	0	0.694599216	5500.39381	5857.39316	5450.41619	6731.3498	1280.93361	0	0	0	0	0	0	3
63	214	0	0.705802429	5509.36645	5830.23797	5450.41619	6612.48316	1162.06697	0	0	0	0	0	0	3
64	217	0	0.717005643	5514.53586	5805.83915	5450.41619	6542.18802	1091.77183	0	0	0	0	0	0	3
