Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	-63.1975874	-63.1975874	-63.1975874	-63.1975874	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	-77.6374669	-70.4175272	-77.6374669	-63.1975874	7.21993974	0	0	0	0	0	0	3
3	19	0	0.0336096395	-257.189723	-132.674926	-257.189723	-63.1975874	69.4773385	0	0	0	0	0	0	3
4	22	0	0.0448128527	9.99226277	-97.0081287	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
5	25	0	0.0560160658	-94.9755883	-96.6016206	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
6	28	0	0.067219279	-99.8431118	-97.1418692	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
7	32	0	0.0784224922	-78.7245237	-94.5108198	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
8	35	0	0.0896257053	-138.004164	-99.9474878	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
9	38	0	0.100828918	-117.843994	-101.935989	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
10	41	0	0.112032132	-136.679162	-105.410306	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
11	44	0	0.123235345	-113.935535	-106.185327	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
12	48	0	0.134438558	-106.860261	-106.241571	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
13	51	0	0.145641771	-111.19998	-106.622987	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
14	54	0	0.156844984	-123.219306	-107.808439	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
15	57	0	0.168048197	-104.292526	-107.574044	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
16	60	0	0.179251411	-115.023678	-108.039647	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
17	64	0	0.190454624	-122.839855	-108.910247	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
18	67	0	0.201657837	-119.951194	-109.523633	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
19	70	0	0.21286105	-123.356235	-110.251665	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
20	74	0	0.224064263	-119.585386	-110.718351	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
21	78	0	0.235267476	-124.792739	-111.38856	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
22	82	0	0.24647069	-121.314771	-111.839751	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
23	86	0	0.257673903	-132.572617	-112.74118	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
24	89	0	0.268877116	-128.451477	-113.395776	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
25	92	0	0.280080329	-125.971802	-113.898817	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
26	96	0	0.291283542	-122.558665	-114.231888	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
27	100	0	0.302486755	-125.463052	-114.647857	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
28	103	0	0.313689969	-123.975563	-114.980989	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
29	106	0	0.324893182	-120.052668	-115.155875	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
30	110	0	0.336096395	-115.189184	-115.156985	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
31	113	0	0.347299608	-109.647002	-114.979244	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
32	116	0	0.358502821	-99.5948042	-114.49848	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
33	120	0	0.369706034	-86.115809	-113.638399	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
34	124	0	0.380909248	-65.6475274	-112.226903	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
35	127	0	0.392112461	-44.9404631	-110.304433	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
36	131	0	0.403315674	-29.2829813	-108.053837	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
37	134	0	0.414518887	-16.2309432	-105.572137	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
38	137	0	0.4257221	-16.290612	-103.222624	-257.189723	9.99226277	69.4773385	0	0	0	0	0	0	3
