Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	15930.3929	15930.3929	15930.3929	15930.3929	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	5560.04816	10745.2205	5560.04816	15930.3929	5185.17235	0	0	0	0	0	0	3
3	19	0	0.0336096395	-336.970347	7051.15689	-336.970347	15930.3929	8879.23597	0	0	0	0	0	0	3
4	22	0	0.0448128527	433.171847	5396.66063	-336.970347	15930.3929	10533.7322	0	0	0	0	0	0	3
5	25	0	0.0560160658	-93.0755507	4298.7134	-336.970347	15930.3929	11631.6795	0	0	0	0	0	0	3
6	28	0	0.067219279	153.578791	3607.85763	-336.970347	15930.3929	12322.5352	0	0	0	0	0	0	3
7	32	0	0.0784224922	-409.340075	3033.97224	-409.340075	15930.3929	12896.4206	0	0	0	0	0	0	3
8	35	0	0.0896257053	-171.400738	2633.30062	-409.340075	15930.3929	13297.0922	0	0	0	0	0	0	3
9	38	0	0.100828918	-281.376681	2309.44759	-409.340075	15930.3929	13620.9453	0	0	0	0	0	0	3
10	41	0	0.112032132	-189.358445	2059.56698	-409.340075	15930.3929	13870.8259	0	0	0	0	0	0	3
11	44	0	0.123235345	-268.093458	1847.96149	-409.340075	15930.3929	14082.4314	0	0	0	0	0	0	3
12	48	0	0.134438558	-310.770306	1668.06717	-409.340075	15930.3929	14262.3257	0	0	0	0	0	0	3
13	51	0	0.145641771	-310.422843	1515.87563	-409.340075	15930.3929	14414.5172	0	0	0	0	0	0	3
14	54	0	0.156844984	-368.369988	1381.28666	-409.340075	15930.3929	14549.1062	0	0	0	0	0	0	3
15	57	0	0.168048197	-458.494068	1258.63461	-458.494068	15930.3929	14671.7583	0	0	0	0	0	0	3
16	60	0	0.179251411	-579.050923	1143.77927	-579.050923	15930.3929	14786.6136	0	0	0	0	0	0	3
17	64	0	0.190454624	-690.961786	1035.85332	-690.961786	15930.3929	14894.5395	0	0	0	0	0	0	3
18	67	0	0.201657837	-817.060152	932.913684	-817.060152	15930.3929	14997.4792	0	0	0	0	0	0	3
19	70	0	0.21286105	-1005.80609	830.875801	-1005.80609	15930.3929	15099.5171	0	0	0	0	0	0	3
20	74	0	0.224064263	-1180.20694	730.321664	-1180.20694	15930.3929	15200.0712	0	0	0	0	0	0	3
21	78	0	0.235267476	-1357.10305	630.920487	-1357.10305	15930.3929	15299.4724	0	0	0	0	0	0	3
22	82	0	0.24647069	-1598.15069	529.599069	-1598.15069	15930.3929	15400.7938	0	0	0	0	0	0	3
23	86	0	0.257673903	-1828.17045	427.087351	-1828.17045	15930.3929	15503.3055	0	0	0	0	0	0	3
24	89	0	0.268877116	-2047.52795	323.97838	-2047.52795	15930.3929	15606.4145	0	0	0	0	0	0	3
25	92	0	0.280080329	-2238.72435	221.470271	-2238.72435	15930.3929	15708.9226	0	0	0	0	0	0	3
26	96	0	0.291283542	-2399.89389	120.648573	-2399.89389	15930.3929	15809.7443	0	0	0	0	0	0	3
27	100	0	0.302486755	-2535.48597	22.2732194	-2535.48597	15930.3929	15908.1196	0	0	0	0	0	0	3
28	103	0	0.313689969	-2606.71079	-71.6190669	-2606.71079	15930.3929	16002.0119	0	0	0	0	0	0	3
29	106	0	0.324893182	-2581.65113	-158.171897	-2606.71079	15930.3929	16088.5648	0	0	0	0	0	0	3
30	110	0	0.336096395	-2489.66513	-235.888338	-2606.71079	15930.3929	16166.2812	0	0	0	0	0	0	3
31	113	0	0.347299608	-2374.5496	-304.877411	-2606.71079	15930.3929	16235.2703	0	0	0	0	0	0	3
32	116	0	0.358502821	-2207.81868	-364.344326	-2606.71079	15930.3929	16294.7372	0	0	0	0	0	0	3
33	120	0	0.369706034	-2017.14751	-414.42927	-2606.71079	15930.3929	16344.8221	0	0	0	0	0	0	3
34	124	0	0.380909248	-1832.70483	-456.143258	-2606.71079	15930.3929	16386.5361	0	0	0	0	0	0	3
35	127	0	0.392112461	-1678.51494	-491.068163	-2606.71079	15930.3929	16421.461	0	0	0	0	0	0	3
36	131	0	0.403315674	-1600.72031	-521.891833	-2606.71079	15930.3929	16452.2847	0	0	0	0	0	0	3
37	134	0	0.414518887	-1571.64395	-550.263512	-2606.71079	15930.3929	16480.6564	0	0	0	0	0	0	3
38	137	0	0.4257221	-1598.58641	-577.850957	-2606.71079	15930.3929	16508.2438	0	0	0	0	0	0	3
39	140	0	0.436925313	-1652.17095	-605.397623	-2606.71079	15930.3929	16535.7905	0	0	0	0	0	0	3
40	143	0	0.448128527	-1713.93172	-633.110976	-2606.71079	15930.3929	16563.5038	0	0	0	0	0	0	3
41	147	0	0.45933174	-1768.56456	-660.804966	-2606.71079	15930.3929	16591.1978	0	0	0	0	0	0	3
42	150	0	0.470534953	-1829.00907	-688.619349	-2606.71079	15930.3929	16619.0122	0	0	0	0	0	0	3
43	153	0	0.481738166	-1891.48018	-716.592857	-2606.71079	15930.3929	16646.9857	0	0	0	0	0	0	3
44	156	0	0.492941379	-1949.51267	-744.613762	-2606.71079	15930.3929	16675.0066	0	0	0	0	0	0	3
45	159	0	0.504144592	-1995.02002	-772.400567	-2606.71079	15930.3929	16702.7934	0	0	0	0	0	0	3
46	162	0	0.515347806	-2029.4237	-1171.5076	-2606.71079	5560.04816	8166.75896	0	0	0	0	0	0	3
47	165	0	0.526551019	-2049.5528	-1340.60985	-2606.71079	433.171847	3039.88264	0	0	0	0	0	0	3
48	169	0	0.537754232	-2056.40273	-1378.81945	-2606.71079	433.171847	3039.88264	0	0	0	0	0	0	3
49	172	0	0.548957445	-2047.61234	-1433.94799	-2606.71079	153.578791	2760.28959	0	0	0	0	0	0	3
50	175	0	0.560160658	-2035.78905	-1477.1194	-2606.71079	153.578791	2760.28959	0	0	0	0	0	0	3
51	178	0	0.571363871	-2024.01511	-1525.51038	-2606.71079	-171.400738	2435.31006	0	0	0	0	0	0	3
52	181	0	0.582567085	-2008.74504	-1561.05271	-2606.71079	-171.400738	2435.31006	0	0	0	0	0	0	3
53	184	0	0.593770298	-1993.22722	-1601.53774	-2606.71079	-189.358445	2417.35235	0	0	0	0	0	0	3
54	187	0	0.604973511	-1979.37342	-1639.271	-2606.71079	-189.358445	2417.35235	0	0	0	0	0	0	3
55	189	0	0.616176724	-1966.3317	-1678.7593	-2606.71079	-268.093458	2338.61734	0	0	0	0	0	0	3
56	192	0	0.627379937	-1956.77353	-1716.28552	-2606.71079	-310.422843	2296.28795	0	0	0	0	0	0	3
57	196	0	0.63858315	-1950.62692	-1752.72678	-2606.71079	-310.422843	2296.28795	0	0	0	0	0	0	3
58	199	0	0.649786364	-1946.97356	-1789.09457	-2606.71079	-368.369988	2238.34081	0	0	0	0	0	0	3
59	202	0	0.660989577	-1941.51105	-1824.05327	-2606.71079	-458.494068	2148.21673	0	0	0	0	0	0	3
60	205	0	0.67219279	-1940.89119	-1856.99542	-2606.71079	-579.050923	2027.65987	0	0	0	0	0	0	3
61	208	0	0.683396003	-1939.00705	-1887.21667	-2606.71079	-690.961786	1915.74901	0	0	0	0	0	0	3
62	211	0	0.694599216	-1941.59647	-1915.00855	-2606.71079	-817.060152	1789.65064	0	0	0	0	0	0	3
63	214	0	0.705802429	-1944.73748	-1940.06805	-2606.71079	-1005.80609	1600.9047	0	0	0	0	0	0	3
64	217	0	0.717005643	-1948.77437	-1961.0229	-2606.71079	-1180.20694	1426.50385	0	0	0	0	0	0	3
65	220	0	0.728208856	-1943.67571	-1977.98887	-2606.71079	-1357.10305	1249.60774	0	0	0	0	0	0	3
66	223	0	0.739412069	-1943.87048	-1991.02815	-2606.71079	-1571.64395	1035.06684	0	0	0	0	0	0	3
67	226	0	0.750615282	-1944.67744	-1998.72874	-2606.71079	-1571.64395	1035.06684	0	0	0	0	0	0	3
68	229	0	0.761818495	-1947.67414	-2001.38438	-2606.71079	-1571.64395	1035.06684	0	0	0	0	0	0	3
69	232	0	0.773021708	-1950.08318	-1999.21894	-2606.71079	-1571.64395	1035.06684	0	0	0	0	0	0	3
70	235	0	0.784224922	-1954.19581	-1992.89608	-2606.71079	-1571.64395	1035.06684	0	0	0	0	0	0	3
71	238	0	0.795428135	-1957.1058	-1983.05635	-2606.71079	-1571.64395	1035.06684	0	0	0	0	0	0	3
72	241	0	0.806631348	-1961.4922	-1970.30093	-2606.71079	-1571.64395	1035.06684	0	0	0	0	0	0	3
73	244	0	0.817834561	-1964.92258	-1956.03897	-2581.65113	-1571.64395	1010.00718	0	0	0	0	0	0	3
74	247	0	0.829037774	-1969.64779	-1942.4389	-2489.66513	-1571.64395	918.021181	0	0	0	0	0	0	3
75	250	0	0.840240987	-1974.20709	-1930.98427	-2374.5496	-1571.64395	802.905652	0	0	0	0	0	0	3
76	253	0	0.851444201	-1977.39762	-1922.15867	-2207.81868	-1571.64395	636.174731	0	0	0	0	0	0	3
77	256	0	0.862647414	-1976.79588	-1917.02483	-2056.40273	-1571.64395	484.758781	0	0	0	0	0	0	3
78	259	0	0.873850627	-1978.65036	-1916.16934	-2056.40273	-1571.64395	484.758781	0	0	0	0	0	0	3
79	262	0	0.88505384	-1975.61735	-1919.34518	-2056.40273	-1571.64395	484.758781	0	0	0	0	0	0	3
80	265	0	0.896257053	-1975.57381	-1925.94648	-2056.40273	-1571.64395	484.758781	0	0	0	0	0	0	3
81	268	0	0.907460266	-1975.51338	-1934.27522	-2056.40273	-1571.64395	484.758781	0	0	0	0	0	0	3
82	271	0	0.918663479	-1973.31152	-1943.20117	-2056.40273	-1598.58641	457.816324	0	0	0	0	0	0	3
83	274	0	0.929866693	-1967.31728	-1951.39519	-2056.40273	-1652.17095	404.231783	0	0	0	0	0	0	3
84	277	0	0.941069906	-1964.89998	-1958.34472	-2056.40273	-1713.93172	342.471015	0	0	0	0	0	0	3
85	280	0	0.952273119	-1960.93338	-1963.83364	-2056.40273	-1768.56456	287.83817	0	0	0	0	0	0	3
86	283	0	0.963476332	-1956.58593	-1968.0119	-2056.40273	-1829.00907	227.39366	0	0	0	0	0	0	3
87	286	0	0.974679545	-1953.18745	-1970.77142	-2056.40273	-1891.48018	164.922557	0	0	0	0	0	0	3
88	289	0	0.985882758	-1949.77166	-1972.06678	-2056.40273	-1939.00705	117.395686	0	0	0	0	0	0	3
89	292	0	0.997085972	-1946.27377	-1971.99481	-2056.40273	-1939.00705	117.395686	0	0	0	0	0	0	3
90	294	0	1.00828918	-1944.35639	-1970.86895	-2056.40273	-1939.00705	117.395686	91.1964793	0	77.6	0	0	0	3
91	297	0	1.0194924	-1940.49179	-1968.89268	-2056.40273	-1939.00705	117.395686	91.1964793	0	77.6	0	0	0	3
92	300	0	1.03069561	-1937.53733	-1966.40345	-2056.40273	-1937.53733	118.865402	91.1964793	0	76.7	0	0	0	3
93	303	0	1.04189882	-1933.76803	-1963.67824	-2047.61234	-1933.76803	113.844311	91.1964793	0	80.1	0	0	0	3
94	306	0	1.05310204	-1934.37451	-1961.16184	-2035.78905	-1933.76803	102.021021	91.1964793	0	89.3	0	0	0	3
95	309	0	1.06430525	-1932.07829	-1958.85716	-2024.01511	-1932.07829	91.9368227	91.1964793	0	99.1	0	0	0	3
96	312	0	1.07550846	-1929.87525	-1956.76516	-2008.74504	-1929.87525	78.869785	91.1964793	0	100	0	0	0	3
