Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	111524.264	111524.264	111524.264	111524.264	0	0	0	0	15392.5	0	0	3
2	15	0	0.0224064263	105957.227	108740.745	105957.227	111524.264	2783.5183	0	0	0	7427.49	0	0	3
3	19	0	0.0336096395	103331.977	106937.823	103331.977	111524.264	4586.44116	0	0	0	4819.6	0	0	3
4	22	0	0.0448128527	103440.251	106063.43	103331.977	111524.264	5460.83412	0	0	0	4172.52	0	0	3
5	25	0	0.0560160658	103101.69	105471.082	103101.69	111524.264	6053.18199	0	0	0	2979.85	0	0	3
6	28	0	0.067219279	103051.155	105067.761	103051.155	111524.264	6456.50313	0	0	0	2489.93	0	0	3
7	32	0	0.0784224922	102981.977	104769.791	102981.977	111524.264	6754.47225	0	0	0	2328.58	0	0	3
8	35	0	0.0896257053	102921.667	104538.776	102921.667	111524.264	6985.48778	0	0	0	2268.64	0	0	3
9	38	0	0.100828918	102832.346	104349.173	102832.346	111524.264	7175.09115	0	0	0	2144.77	0	0	3
10	41	0	0.112032132	102760.852	104190.34	102760.852	111524.264	7333.92321	0	0	0	2014.02	0	0	3
11	44	0	0.123235345	102721.549	104056.814	102721.549	111524.264	7467.44967	0	0	0	1927.13	0	0	3
12	48	0	0.134438558	102680.628	103942.132	102680.628	111524.264	7582.13185	0	0	0	1867.36	0	0	3
13	51	0	0.145641771	102636.846	103841.725	102636.846	111524.264	7682.53842	0	0	0	1812.07	0	0	3
14	54	0	0.156844984	102593.456	103752.563	102593.456	111524.264	7771.7005	0	0	0	1833.77	0	0	3
15	57	0	0.168048197	102551.271	103672.477	102551.271	111524.264	7851.78668	0	0	0	1832.72	0	0	3
16	60	0	0.179251411	102512.343	103599.969	102512.343	111524.264	7924.29504	0	0	0	1809.66	0	0	3
17	64	0	0.190454624	102476.515	103533.883	102476.515	111524.264	7990.38056	0	0	0	1768.94	0	0	3
18	67	0	0.201657837	102440.745	103473.153	102440.745	111524.264	8051.11047	0	0	0	1734.05	0	0	3
19	70	0	0.21286105	102404.922	103416.931	102404.922	111524.264	8107.33314	0	0	0	1693.03	0	0	3
20	74	0	0.224064263	102369.185	103364.543	102369.185	111524.264	8159.72042	0	0	0	1654.07	0	0	3
21	78	0	0.235267476	102339.694	103315.741	102339.694	111524.264	8208.52275	0	0	0	1617.44	0	0	3
22	82	0	0.24647069	102309.697	103270.012	102309.697	111524.264	8254.25204	0	0	0	1578.17	0	0	3
23	86	0	0.257673903	102279.81	103226.959	102279.81	111524.264	8297.30429	0	0	0	1536.22	0	0	3
24	89	0	0.268877116	102250.377	103186.268	102250.377	111524.264	8337.99523	0	0	0	1465.87	0	0	3
25	92	0	0.280080329	102221.991	103147.697	102221.991	111524.264	8376.56632	0	0	0	1391.73	0	0	3
26	96	0	0.291283542	102199.64	103111.234	102199.64	111524.264	8413.03005	0	0	0	1327.71	0	0	3
27	100	0	0.302486755	102178.023	103076.67	102178.023	111524.264	8447.59341	0	0	0	1286.83	0	0	3
28	103	0	0.313689969	102157.553	103043.845	102157.553	111524.264	8480.41902	0	0	0	1239.62	0	0	3
29	106	0	0.324893182	102137.934	103012.606	102137.934	111524.264	8511.65733	0	0	0	1209.12	0	0	3
30	110	0	0.336096395	102119.077	102982.822	102119.077	111524.264	8541.44166	0	0	0	1171.97	0	0	3
