Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	36.1861944	36.1861944	36.1861944	36.1861944	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	33.3146735	34.750434	33.3146735	36.1861944	1.43576048	0	0	0	0	0	0	3
3	19	0	0.0336096395	32.7330553	34.0779744	32.7330553	36.1861944	2.10822004	0	0	0	0	0	0	3
4	22	0	0.0448128527	31.7317726	33.4914239	31.7317726	36.1861944	2.6947705	0	0	0	0	0	0	3
5	25	0	0.0560160658	30.9672012	32.9865794	30.9672012	36.1861944	3.19961505	0	0	0	0	0	0	3
6	28	0	0.067219279	31.1194363	32.6753889	30.9672012	36.1861944	3.51080556	0	0	0	0	0	0	3
7	32	0	0.0784224922	31.2222217	32.4677936	30.9672012	36.1861944	3.71840087	0	0	0	0	0	0	3
8	35	0	0.0896257053	30.2665382	32.1926367	30.2665382	36.1861944	3.99355778	0	0	0	0	0	0	3
9	38	0	0.100828918	29.3654774	31.8785078	29.3654774	36.1861944	4.30768659	0	0	0	0	0	0	3
10	41	0	0.112032132	28.1937326	31.5100303	28.1937326	36.1861944	4.67616412	0	0	0	0	0	0	3
11	44	0	0.123235345	27.8399471	31.1763864	27.8399471	36.1861944	5.00980805	0	0	0	0	0	0	3
12	48	0	0.134438558	27.2968863	30.8530947	27.2968863	36.1861944	5.33309972	0	0	0	0	0	0	3
13	51	0	0.145641771	26.5233837	30.52004	26.5233837	36.1861944	5.66615442	0	0	0	0	0	0	3
14	54	0	0.156844984	26.0753237	30.2025603	26.0753237	36.1861944	5.98363416	0	0	0	0	0	0	3
15	57	0	0.168048197	25.5694902	29.8936889	25.5694902	36.1861944	6.2925055	0	0	0	0	0	0	3
16	60	0	0.179251411	24.7631058	29.5730275	24.7631058	36.1861944	6.61316694	0	0	0	0	0	0	3
17	64	0	0.190454624	24.3044919	29.2631136	24.3044919	36.1861944	6.9230808	0	0	0	0	0	0	3
18	67	0	0.201657837	24.0882218	28.9756196	24.0882218	36.1861944	7.21057479	0	0	0	0	0	0	3
19	70	0	0.21286105	23.9083166	28.7089195	23.9083166	36.1861944	7.47727495	0	0	0	0	0	0	3
20	74	0	0.224064263	23.7505206	28.4609995	23.7505206	36.1861944	7.7251949	0	0	0	0	0	0	3
21	78	0	0.235267476	23.596706	28.2293665	23.596706	36.1861944	7.95682793	0	0	0	0	0	0	3
22	82	0	0.24647069	23.4918397	28.0140244	23.4918397	36.1861944	8.17217005	0	0	0	0	0	0	3
23	86	0	0.257673903	23.4448267	27.8153636	23.4448267	36.1861944	8.37083082	0	0	0	0	0	0	3
24	89	0	0.268877116	23.4556513	27.6337089	23.4448267	36.1861944	8.5524855	0	0	0	0	0	0	3
25	92	0	0.280080329	23.4893702	27.4679354	23.4448267	36.1861944	8.71825905	0	0	0	0	0	0	3
26	96	0	0.291283542	23.518616	27.3160385	23.4448267	36.1861944	8.87015595	0	0	0	0	0	0	3
27	100	0	0.302486755	23.5202392	27.1754533	23.4448267	36.1861944	9.01074111	0	0	0	0	0	0	3
28	103	0	0.313689969	23.4662217	27.0429808	23.4448267	36.1861944	9.14321367	0	0	0	0	0	0	3
29	106	0	0.324893182	23.3225731	26.9146909	23.3225731	36.1861944	9.27150359	0	0	0	0	0	0	3
30	110	0	0.336096395	23.064074	26.786337	23.064074	36.1861944	9.39985748	0	0	0	0	0	0	3
31	113	0	0.347299608	22.7661809	26.6566545	22.7661809	36.1861944	9.52953993	0	0	0	0	0	0	3
32	116	0	0.358502821	22.6422158	26.5312033	22.6422158	36.1861944	9.65499114	0	0	0	0	0	0	3
33	120	0	0.369706034	22.5554645	26.4107264	22.5554645	36.1861944	9.77546808	0	0	0	0	0	0	3
34	124	0	0.380909248	22.4356108	26.2938112	22.4356108	36.1861944	9.89238324	0	0	0	0	0	0	3
35	127	0	0.392112461	22.2785899	26.1790906	22.2785899	36.1861944	10.0071038	0	0	0	0	0	0	3
36	131	0	0.403315674	22.2004387	26.0685725	22.2004387	36.1861944	10.117622	0	0	0	0	0	0	3
37	134	0	0.414518887	22.1898206	25.9637414	22.1898206	36.1861944	10.2224531	0	0	0	0	0	0	3
38	137	0	0.4257221	22.2639541	25.8663785	22.1898206	36.1861944	10.3198159	0	0	0	0	0	0	3
39	140	0	0.436925313	22.2742808	25.7742735	22.1898206	36.1861944	10.411921	0	0	0	0	0	0	3
40	143	0	0.448128527	22.3296764	25.6881585	22.1898206	36.1861944	10.4980359	0	0	0	0	0	0	3
41	147	0	0.45933174	22.3356822	25.6063908	22.1898206	36.1861944	10.5798036	0	0	0	0	0	0	3
42	150	0	0.470534953	22.3435411	25.5287039	22.1898206	36.1861944	10.6574905	0	0	0	0	0	0	3
43	153	0	0.481738166	22.3548747	25.4548939	22.1898206	36.1861944	10.7313005	0	0	0	0	0	0	3
44	156	0	0.492941379	22.3542818	25.3844255	22.1898206	36.1861944	10.801769	0	0	0	0	0	0	3
45	159	0	0.504144592	22.3322409	25.3165992	22.1898206	36.1861944	10.8695953	0	0	0	0	0	0	3
