Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	12.8167556	12.8167556	12.8167556	12.8167556	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	12.3007788	12.5587672	12.3007788	12.8167556	0.257988379	0	0	0	0	0	0	3
3	19	0	0.0336096395	13.5588887	12.8921411	12.3007788	13.5588887	0.333373847	0	0	0	0	0	0	3
4	22	0	0.0448128527	13.8057545	13.1205444	12.3007788	13.8057545	0.561777217	0	0	0	0	0	0	3
5	25	0	0.0560160658	14.8862649	13.4736885	12.3007788	14.8862649	0.914921313	0	0	0	0	0	0	3
6	28	0	0.067219279	15.567412	13.8226424	12.3007788	15.567412	1.26387523	0	0	0	0	0	0	3
7	32	0	0.0784224922	16.557619	14.2133534	12.3007788	16.557619	1.65458617	0	0	0	0	0	0	3
8	35	0	0.0896257053	17.1386081	14.5790102	12.3007788	17.1386081	2.02024301	0	0	0	0	0	0	3
9	38	0	0.100828918	17.6016874	14.9148632	12.3007788	17.6016874	2.35609603	0	0	0	0	0	0	3
10	41	0	0.112032132	17.8957353	15.2129504	12.3007788	17.8957353	2.65418324	0	0	0	0	0	0	3
11	44	0	0.123235345	18.7453929	15.5340816	12.3007788	18.7453929	2.97531437	0	0	0	0	0	0	3
12	48	0	0.134438558	19.5688184	15.8703096	12.3007788	19.5688184	3.31154244	0	0	0	0	0	0	3
13	51	0	0.145641771	20.1627798	16.2004997	12.3007788	20.1627798	3.64173245	0	0	0	0	0	0	3
14	54	0	0.156844984	20.6059222	16.5151727	12.3007788	20.6059222	3.95640549	0	0	0	0	0	0	3
15	57	0	0.168048197	20.9562902	16.8112472	12.3007788	20.9562902	4.25247999	0	0	0	0	0	0	3
16	60	0	0.179251411	21.3259101	17.0934136	12.3007788	21.3259101	4.53464643	0	0	0	0	0	0	3
17	64	0	0.190454624	21.6002588	17.3585222	12.3007788	21.6002588	4.79975497	0	0	0	0	0	0	3
18	67	0	0.201657837	21.7754461	17.6039068	12.3007788	21.7754461	5.04513963	0	0	0	0	0	0	3
19	70	0	0.21286105	21.9177463	17.830951	12.3007788	21.9177463	5.27218381	0	0	0	0	0	0	3
20	74	0	0.224064263	21.9717395	18.0379904	12.3007788	21.9717395	5.47922324	0	0	0	0	0	0	3
21	78	0	0.235267476	22.0170504	18.2274695	12.3007788	22.0170504	5.66870228	0	0	0	0	0	0	3
22	82	0	0.24647069	22.0000671	18.3989512	12.3007788	22.0170504	5.84018399	0	0	0	0	0	0	3
23	86	0	0.257673903	22.0143026	18.5561404	12.3007788	22.0170504	5.99737318	0	0	0	0	0	0	3
24	89	0	0.268877116	21.9565517	18.6978242	12.3007788	22.0170504	6.13905699	0	0	0	0	0	0	3
25	92	0	0.280080329	21.9408647	18.8275458	12.3007788	22.0170504	6.26877861	0	0	0	0	0	0	3
26	96	0	0.291283542	21.8759285	18.9447913	12.3007788	22.0170504	6.3860241	0	0	0	0	0	0	3
27	100	0	0.302486755	21.8782475	19.0534378	12.3007788	22.0170504	6.49467062	0	0	0	0	0	0	3
28	103	0	0.313689969	21.8389247	19.1529195	12.3007788	22.0170504	6.5941523	0	0	0	0	0	0	3
29	106	0	0.324893182	21.834167	19.2453763	12.3007788	22.0170504	6.68660911	0	0	0	0	0	0	3
30	110	0	0.336096395	21.7739411	19.3296618	12.3007788	22.0170504	6.7708946	0	0	0	0	0	0	3
31	113	0	0.347299608	21.7697856	19.4083755	12.3007788	22.0170504	6.84960827	0	0	0	0	0	0	3
32	116	0	0.358502821	21.6821852	19.479432	12.3007788	22.0170504	6.92066483	0	0	0	0	0	0	3
