Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	15.2735853	15.2735853	15.2735853	15.2735853	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	15.1882846	15.2309349	15.1882846	15.2735853	0.0426503667	0	0	0	0	0	0	3
3	19	0	0.0336096395	15.082485	15.1814516	15.082485	15.2735853	0.0921336713	0	0	0	0	0	0	3
4	22	0	0.0448128527	15.3428373	15.2217981	15.082485	15.3428373	0.0921336713	0	0	0	0	0	0	3
5	25	0	0.0560160658	16.5776662	15.4929717	15.082485	16.5776662	0.311520039	0	0	0	0	0	0	3
6	28	0	0.067219279	17.9901465	15.9091675	15.082485	17.9901465	0.727715845	0	0	0	0	0	0	3
7	32	0	0.0784224922	19.4209688	16.4108534	15.082485	19.4209688	1.22940174	0	0	0	0	0	0	3
8	35	0	0.0896257053	20.3941164	16.9087613	15.082485	20.3941164	1.72730962	0	0	0	0	0	0	3
9	38	0	0.100828918	21.1418752	17.3791073	15.082485	21.1418752	2.19765561	0	0	0	0	0	0	3
10	41	0	0.112032132	21.6462	17.8058165	15.082485	21.6462	2.62436488	0	0	0	0	0	0	3
11	44	0	0.123235345	22.1144203	18.1975078	15.082485	22.1144203	3.01605613	0	0	0	0	0	0	3
12	48	0	0.134438558	22.2904723	18.5385881	15.082485	22.2904723	3.3571365	0	0	0	0	0	0	3
13	51	0	0.145641771	22.2599381	18.8248458	15.082485	22.2904723	3.64339419	0	0	0	0	0	0	3
14	54	0	0.156844984	22.105225	19.0591586	15.082485	22.2904723	3.87770699	0	0	0	0	0	0	3
15	57	0	0.168048197	21.8822992	19.247368	15.082485	22.2904723	4.06591636	0	0	0	0	0	0	3
16	60	0	0.179251411	21.5592373	19.3918598	15.082485	22.2904723	4.21040819	0	0	0	0	0	0	3
17	64	0	0.190454624	21.270006	19.502339	15.082485	22.2904723	4.32088738	0	0	0	0	0	0	3
18	67	0	0.201657837	21.0126732	19.5862465	15.082485	22.2904723	4.40479483	0	0	0	0	0	0	3
19	70	0	0.21286105	20.7871813	19.6494536	15.082485	22.2904723	4.46800193	0	0	0	0	0	0	3
