Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	96131.7834	96131.7834	96131.7834	96131.7834	0	0	0	0	15392.5	0	0	3
2	15	0	0.0224064263	98529.733	97330.7582	96131.7834	98529.733	1198.97478	0	0	0	7427.49	0	0	3
3	19	0	0.0336096395	98512.3795	97724.6319	96131.7834	98529.733	1592.84855	0	0	0	4819.6	0	0	3
4	22	0	0.0448128527	99267.7327	98110.4071	96131.7834	99267.7327	1978.62373	0	0	0	4172.52	0	0	3
5	25	0	0.0560160658	100121.84	98512.6937	96131.7834	100121.84	2380.91033	0	0	0	2979.85	0	0	3
6	28	0	0.067219279	100561.225	98854.1156	96131.7834	100561.225	2722.33215	0	0	0	2489.93	0	0	3
7	32	0	0.0784224922	100653.396	99111.1557	96131.7834	100653.396	2979.37226	0	0	0	2328.58	0	0	3
8	35	0	0.0896257053	100653.03	99303.8899	96131.7834	100653.396	3172.10651	0	0	0	2268.64	0	0	3
9	38	0	0.100828918	100687.575	99457.6327	96131.7834	100687.575	3325.84928	0	0	0	2144.77	0	0	3
10	41	0	0.112032132	100746.828	99586.5522	96131.7834	100746.828	3454.76878	0	0	0	2014.02	0	0	3
11	44	0	0.123235345	100794.421	99696.3584	96131.7834	100794.421	3564.57499	0	0	0	1927.13	0	0	3
12	48	0	0.134438558	100813.268	99789.4342	96131.7834	100813.268	3657.65081	0	0	0	1867.36	0	0	3
13	51	0	0.145641771	100824.774	99869.0757	96131.7834	100824.774	3737.29232	0	0	0	1812.07	0	0	3
14	54	0	0.156844984	100759.685	99932.6906	96131.7834	100824.774	3800.90724	0	0	0	1833.77	0	0	3
15	57	0	0.168048197	100718.551	99985.0813	96131.7834	100824.774	3853.29791	0	0	0	1832.72	0	0	3
16	60	0	0.179251411	100702.679	100029.931	96131.7834	100824.774	3898.14778	0	0	0	1809.66	0	0	3
17	64	0	0.190454624	100707.574	100069.793	96131.7834	100824.774	3938.00915	0	0	0	1768.94	0	0	3
18	67	0	0.201657837	100706.696	100105.176	96131.7834	100824.774	3973.39268	0	0	0	1734.05	0	0	3
19	70	0	0.21286105	100711.893	100137.109	96131.7834	100824.774	4005.32516	0	0	0	1693.03	0	0	3
20	74	0	0.224064263	100715.112	100166.009	96131.7834	100824.774	4034.22533	0	0	0	1654.07	0	0	3
21	78	0	0.235267476	100722.254	100192.497	96131.7834	100824.774	4060.71322	0	0	0	1617.44	0	0	3
22	82	0	0.24647069	100731.522	100216.998	96131.7834	100824.774	4085.21439	0	0	0	1578.17	0	0	3
23	86	0	0.257673903	100743.59	100239.893	96131.7834	100824.774	4108.1097	0	0	0	1536.22	0	0	3
24	89	0	0.268877116	100784.504	100262.585	96131.7834	100824.774	4130.8018	0	0	0	1465.87	0	0	3
25	92	0	0.280080329	100830.258	100285.292	96131.7834	100830.258	4153.50871	0	0	0	1391.73	0	0	3
26	96	0	0.291283542	100871.932	100307.855	96131.7834	100871.932	4176.07179	0	0	0	1327.71	0	0	3
27	100	0	0.302486755	100891.192	100329.46	96131.7834	100891.192	4197.67684	0	0	0	1286.83	0	0	3
28	103	0	0.313689969	100917.935	100350.477	96131.7834	100917.935	4218.69381	0	0	0	1239.62	0	0	3
29	106	0	0.324893182	100928.813	100370.42	96131.7834	100928.813	4238.63643	0	0	0	1209.12	0	0	3
30	110	0	0.336096395	100947.104	100389.643	96131.7834	100947.104	4257.85925	0	0	0	1171.97	0	0	3
31	113	0	0.347299608	100950.722	100407.742	96131.7834	100950.722	4275.95857	0	0	0	1154.06	0	0	3
32	116	0	0.358502821	100958.675	100424.959	96131.7834	100958.675	4293.17523	0	0	0	1132.83	0	0	3
33	120	0	0.369706034	100961.816	100441.227	96131.7834	100961.816	4309.44364	0	0	0	1117.55	0	0	3
34	124	0	0.380909248	100965.746	100456.654	96131.7834	100965.746	4324.87066	0	0	0	1100.57	0	0	3
35	127	0	0.392112461	100968.447	100471.277	96131.7834	100968.447	4339.49332	0	0	0	1086.18	0	0	3
36	131	0	0.403315674	100970.601	100485.147	96131.7834	100970.601	4353.36345	0	0	0	1074.96	0	0	3
37	134	0	0.414518887	100973.098	100498.335	96131.7834	100973.098	4366.55131	0	0	0	1063.95	0	0	3
38	137	0	0.4257221	100976.354	100510.914	96131.7834	100976.354	4379.13077	0	0	0	1053.38	0	0	3
39	140	0	0.436925313	100979.563	100522.931	96131.7834	100979.563	4391.14739	0	0	0	1042.91	0	0	3
40	143	0	0.448128527	100982.984	100534.432	96131.7834	100982.984	4402.64872	0	0	0	1032.78	0	0	3
41	147	0	0.45933174	100986.147	100545.45	96131.7834	100986.147	4413.66616	0	0	0	1024.94	0	0	3
42	150	0	0.470534953	100988.657	100556.002	96131.7834	100988.657	4424.21871	0	0	0	1017.56	0	0	3
43	153	0	0.481738166	100989.27	100566.078	96131.7834	100989.27	4434.29471	0	0	0	1012.46	0	0	3
44	156	0	0.492941379	100989.769	100575.707	96131.7834	100989.769	4443.92404	0	0	0	1007.14	0	0	3
45	159	0	0.504144592	100990.07	100584.915	96131.7834	100990.07	4453.13209	0	0	0	1001.77	0	0	3
46	162	0	0.515347806	100990.551	100692.888	98512.3795	100990.551	2478.17141	0	0	0	996.459	0	0	3
47	165	0	0.526551019	100991.12	100747.586	98512.3795	100991.12	2478.74024	0	0	0	990.804	0	0	3
48	169	0	0.537754232	100991.858	100802.685	99267.7327	100991.858	1724.12549	0	0	0	984.983	0	0	3
49	172	0	0.548957445	100991.784	100840.997	100121.84	100991.858	870.018022	0	0	0	979.557	0	0	3
50	175	0	0.560160658	100991.973	100860.334	100561.225	100991.973	430.74838	0	0	0	973.8	0	0	3
51	178	0	0.571363871	100992.445	100869.916	100653.03	100992.445	339.415285	0	0	0	967.525	0	0	3
52	181	0	0.582567085	100992.711	100877.457	100653.03	100992.711	339.680878	0	0	0	961.353	0	0	3
53	184	0	0.593770298	100992.979	100885.011	100687.575	100992.979	305.404182	0	0	0	954.94	0	0	3
54	187	0	0.604973511	100993.344	100891.806	100702.679	100993.344	290.664829	0	0	0	948.921	0	0	3
55	189	0	0.616176724	100993.644	100897.291	100702.679	100993.644	290.96492	0	0	0	942.551	0	0	3
56	192	0	0.627379937	100993.288	100901.71	100702.679	100993.644	290.96492	0	0	0	937.246	0	0	3
57	196	0	0.63858315	100993.384	100905.713	100702.679	100993.644	290.96492	0	0	0	930.939	0	0	3
58	199	0	0.649786364	100993.687	100909.466	100702.679	100993.687	291.007645	0	0	0	925.368	0	0	3
59	202	0	0.660989577	100993.95	100914.672	100702.679	100993.95	291.270615	0	0	0	919.017	0	0	3
60	205	0	0.67219279	100993.558	100920.783	100702.679	100993.95	291.270615	0	0	0	914.024	0	0	3
61	208	0	0.683396003	100993.727	100927.251	100706.696	100993.95	287.253704	0	0	0	907.791	0	0	3
62	211	0	0.694599216	100993.367	100933.602	100706.696	100993.95	287.253704	0	0	0	902.821	0	0	3
63	214	0	0.705802429	100992.977	100939.964	100711.893	100993.95	282.056693	0	0	0	897.214	0	0	3
64	217	0	0.717005643	100992.638	100946.203	100715.112	100993.95	278.837855	0	0	0	891.636	0	0	3
65	220	0	0.728208856	100992.586	100952.369	100722.254	100993.95	271.695457	0	0	0	885.594	0	0	3
66	223	0	0.739412069	100992.286	100958.369	100731.522	100993.95	262.427532	0	0	0	879.93	0	0	3
67	226	0	0.750615282	100991.84	100964.154	100743.59	100993.95	250.35998	0	0	0	874.217	0	0	3
68	229	0	0.761818495	100991.512	100969.664	100784.504	100993.95	209.446332	0	0	0	868.547	0	0	3
69	232	0	0.773021708	100991.167	100974.256	100830.258	100993.95	163.69189	0	0	0	862.7	0	0	3
70	235	0	0.784224922	100990.945	100977.827	100871.932	100993.95	122.017855	0	0	0	856.896	0	0	3
71	238	0	0.795428135	100990.88	100980.47	100891.192	100993.95	102.758204	0	0	0	850.716	0	0	3
72	241	0	0.806631348	100989.822	100982.662	100917.935	100993.95	76.0145453	0	0	0	845.873	0	0	3
73	244	0	0.817834561	100989.242	100984.247	100928.813	100993.95	65.1365587	0	0	0	840.415	0	0	3
74	247	0	0.829037774	100989.253	100985.59	100947.104	100993.95	46.8454801	0	0	0	834.529	0	0	3
75	250	0	0.840240987	100989.085	100986.523	100950.722	100993.95	43.228299	0	0	0	828.652	0	0	3
76	253	0	0.851444201	100988.716	100987.367	100958.675	100993.95	35.2747808	0	0	0	823.779	0	0	3
77	256	0	0.862647414	100988.715	100988.035	100961.816	100993.95	32.1339374	0	0	0	817.767	0	0	3
78	259	0	0.873850627	100988.48	100988.627	100965.746	100993.95	28.2041482	0	0	0	812.364	0	0	3
79	262	0	0.88505384	100988.343	100989.129	100968.447	100993.95	25.5025002	0	0	0	806.515	0	0	3
80	265	0	0.896257053	100987.991	100989.564	100970.601	100993.95	23.3486963	0	0	0	801.423	0	0	3
81	268	0	0.907460266	100987.659	100989.943	100973.098	100993.95	20.8518881	0	0	0	795.614	0	0	3
82	271	0	0.918663479	100987.402	100990.26	100976.354	100993.95	17.5959269	0	0	0	790.788	0	0	3
83	274	0	0.929866693	100987.232	100990.502	100979.563	100993.95	14.387344	0	0	0	785.163	0	0	3
84	277	0	0.941069906	100987.056	100990.669	100982.984	100993.95	10.9660728	0	0	0	779.868	0	0	3
85	280	0	0.952273119	100987.013	100990.758	100986.147	100993.95	7.80270895	0	0	0	774.333	0	0	3
86	283	0	0.963476332	100986.807	100990.773	100986.807	100993.95	7.1430429	0	0	0	769.486	0	0	3
87	286	0	0.974679545	100986.619	100990.728	100986.619	100993.95	7.33073227	0	0	0	764.792	0	0	3
88	289	0	0.985882758	100986.235	100990.66	100986.235	100993.95	7.71533077	0	0	0	759.718	0	0	3
89	292	0	0.997085972	100985.908	100990.574	100985.908	100993.95	8.04149653	0	0	0	754.808	0	0	3
90	294	0	1.00828918	100985.758	100990.479	100985.758	100993.95	8.19204111	74.4471112	0	100	748.977	0	0	3
91	297	0	1.0194924	100985.959	100990.377	100985.758	100993.95	8.19204111	74.4471112	0	100	743.414	0	0	3
92	300	0	1.03069561	100985.32	100990.248	100985.32	100993.95	8.63030807	74.4471112	0	100	738.089	0	0	3
93	303	0	1.04189882	100985.026	100990.096	100985.026	100993.95	8.92380185	74.4471112	0	100	733.129	0	0	3
94	306	0	1.05310204	100985.21	100989.95	100985.026	100993.95	8.92380185	74.4471112	0	100	727.789	0	0	3
95	309	0	1.06430525	100985.202	100989.799	100985.026	100993.95	8.92380185	74.4471112	0	100	728.407	0	0	3
96	312	0	1.07550846	100984.971	100989.633	100984.971	100993.95	8.97901952	74.4471112	0	100	728.346	0	0	3
97	315	0	1.08671168	100984.786	100989.457	100984.786	100993.95	9.16420287	74.4471112	0	100	729.548	0	0	3
98	318	0	1.09791489	100984.715	100989.273	100984.715	100993.95	9.23515281	74.4471112	0	100	728.977	0	0	3
99	321	0	1.1091181	100984.753	100989.082	100984.715	100993.95	9.23515281	74.4471112	0	100	729.116	0	0	3
100	324	0	1.12032132	100984.541	100988.88	100984.541	100993.95	9.40854546	74.4471112	0	100	727.154	0	0	3
101	327	0	1.13152453	100984.453	100988.684	100984.453	100993.95	9.49643675	74.4471112	0	100	728.396	0	0	3
102	330	0	1.14272774	100984.348	100988.483	100984.348	100993.95	9.60232627	74.4471112	0	100	729.352	0	0	3
103	333	0	1.15393096	100984.363	100988.276	100984.348	100993.95	9.60232627	74.4471112	0	100	728.034	0	0	3
104	336	0	1.16513417	100984.151	100988.058	100984.151	100993.727	9.5766078	74.4471112	0	100	728.631	0	0	3
105	339	0	1.17633738	100984.048	100987.847	100984.048	100993.727	9.67950188	74.4471112	0	100	730.175	0	0	3
106	342	0	1.1875406	100983.854	100987.627	100983.854	100993.367	9.5131939	74.4471112	0	100	728.001	0	0	3
107	345	0	1.19874381	100983.651	100987.411	100983.651	100992.977	9.32533974	74.4471112	0	100	729.248	0	0	3
108	348	0	1.20994702	100983.299	100987.196	100983.299	100992.638	9.33888832	74.4471112	0	100	730.34	0	0	3
109	351	0	1.22115023	100983.168	100986.986	100983.168	100992.586	9.41805291	74.4471112	0	100	729.469	0	0	3
110	354	0	1.23235345	100982.94	100986.772	100982.94	100992.286	9.34662064	74.4471112	0	100	730.492	0	0	3
111	356	0	1.24355666	100982.867	100986.562	100982.867	100991.84	8.97365058	74.4471112	0	100	729.711	0	0	3
112	359	0	1.25475987	100982.702	100986.359	100982.702	100991.512	8.8093889	74.4471112	0	100	730.691	0	0	3
113	362	0	1.26596309	100982.641	100986.162	100982.641	100991.167	8.52599926	74.4471112	0	100	729.919	0	0	3
114	365	0	1.2771663	100982.474	100985.969	100982.474	100990.945	8.47118815	74.4471112	0	100	730.995	0	0	3
115	368	0	1.28836951	100982.514	100985.782	100982.474	100990.88	8.40643251	74.4471112	0	100	729.763	0	0	3
116	371	0	1.29957273	100982.284	100985.591	100982.284	100989.822	7.53795919	74.4471112	0	100	730.514	0	0	3
117	374	0	1.31077594	100982.257	100985.422	100982.257	100989.253	6.52625241	74.4471112	0	100	731.989	0	0	3
118	377	0	1.32197915	100982.129	100985.264	100982.129	100989.253	5.50860654	74.4471112	0	100	731.573	0	0	3
119	380	0	1.33318237	100982.098	100985.105	100982.098	100989.085	5.66761277	74.4471112	0	100	731.949	0	0	3
120	383	0	1.34438558	100981.961	100984.947	100981.961	100988.716	5.82593261	74.4471112	0	100	729.758	0	0	3
121	385	0	1.35558879	100981.899	100984.795	100981.899	100988.715	5.97743379	74.4471112	0	100	731.076	0	0	3
122	388	0	1.36679201	100981.728	100984.64	100981.728	100988.48	6.13270261	74.4471112	0	100	732.026	0	0	3
123	391	0	1.37799522	100981.998	100984.496	100981.728	100988.343	6.27674822	74.4471112	0	100	730.767	0	0	3
124	394	0	1.38919843	100981.364	100984.341	100981.364	100987.991	6.4318348	74.4471112	0	100	732.222	0	0	3
125	397	0	1.40040165	100981.148	100984.189	100981.148	100987.659	6.51033172	74.4471112	0	100	731.219	0	0	3
126	400	0	1.41160486	100981.266	100984.047	100981.148	100987.402	6.25349952	74.4471112	0	100	731.524	0	0	3
127	403	0	1.42280807	100981.306	100983.912	100981.148	100987.232	6.08371654	74.4471112	0	100	733.095	0	0	3
128	406	0	1.43401129	100981.261	100983.779	100981.148	100987.056	5.90739553	74.4471112	0	100	730.818	0	0	3
129	409	0	1.4452145	100981.479	100983.655	100981.148	100987.013	5.86499115	74.4471112	0	100	731.382	0	0	3
130	412	0	1.45641771	100981.616	100983.535	100981.148	100986.807	5.65848926	74.4471112	0	100	732.246	0	0	3
131	415	0	1.46762092	100981.628	100983.42	100981.148	100986.619	5.47079989	74.4471112	0	100	730.967	0	0	3
132	418	0	1.47882414	100981.662	100983.31	100981.148	100986.235	5.0862014	74.4471112	0	100	732.025	0	0	3
133	421	0	1.49002735	100981.81	100983.211	100981.148	100985.959	4.81021306	74.4471112	0	100	730.724	0	0	3
134	424	0	1.50123056	100981.909	100983.123	100981.148	100985.959	4.81021306	74.4471112	0	100	731.744	0	0	3
135	427	0	1.51243378	100981.929	100983.037	100981.148	100985.959	4.81021306	74.4471112	0	100	730.608	0	0	3
136	430	0	1.52363699	100981.876	100982.947	100981.148	100985.32	4.17122409	74.4471112	0	100	731.498	0	0	3
137	432	0	1.5348402	100982.021	100982.873	100981.148	100985.21	4.06155303	74.4471112	0	100	731.862	0	0	3
138	435	0	1.54604342	100982.148	100982.81	100981.148	100985.21	4.06155303	74.4471112	0	100	731.159	0	0	3
139	438	0	1.55724663	100982.168	100982.742	100981.148	100985.202	4.05346594	74.4471112	0	100	732.515	0	0	3
140	441	0	1.56844984	100982.072	100982.672	100981.148	100984.971	3.82251265	74.4471112	0	100	730.22	0	0	3
141	444	0	1.57965306	100982.178	100982.61	100981.148	100984.786	3.63732929	74.4471112	0	100	730.629	0	0	3
142	447	0	1.59085627	100982.212	100982.553	100981.148	100984.753	3.60417127	74.4471112	0	100	731.935	0	0	3
143	450	0	1.60205948	100982.289	100982.499	100981.148	100984.753	3.60417127	74.4471112	0	100	730.343	0	0	3
144	453	0	1.6132627	100982.384	100982.447	100981.148	100984.541	3.3929867	74.4471112	0	100	731.529	0	0	3
