Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	-7.36527967	-7.36527967	-7.36527967	-7.36527967	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	-11.7947979	-9.58003877	-11.7947979	-7.36527967	2.2147591	0	0	0	0	0	0	3
3	19	0	0.0336096395	-14.3652634	-11.1751137	-14.3652634	-7.36527967	3.80983399	0	0	0	0	0	0	3
4	22	0	0.0448128527	-10.9295348	-11.113719	-14.3652634	-7.36527967	3.80983399	0	0	0	0	0	0	3
5	25	0	0.0560160658	-6.21023901	-10.133023	-14.3652634	-6.21023901	3.80983399	0	0	0	0	0	0	3
6	28	0	0.067219279	-6.37430646	-9.50657021	-14.3652634	-6.21023901	3.80983399	0	0	0	0	0	0	3
7	32	0	0.0784224922	-4.79531458	-8.8335337	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
8	35	0	0.0896257053	-5.01330966	-8.35600569	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
9	38	0	0.100828918	-6.80036328	-8.18315653	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
10	41	0	0.112032132	-8.36207518	-8.2010484	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
11	44	0	0.123235345	-10.3438938	-8.39585253	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
12	48	0	0.134438558	-11.1644579	-8.62656964	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
13	51	0	0.145641771	-11.0445384	-8.81256724	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
14	54	0	0.156844984	-10.6590099	-8.944456	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
15	57	0	0.168048197	-10.4800093	-9.04682622	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
16	60	0	0.179251411	-10.947375	-9.16561052	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
17	64	0	0.190454624	-11.2604965	-9.28883911	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
18	67	0	0.201657837	-11.458281	-9.40936366	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
19	70	0	0.21286105	-11.3839261	-9.51328799	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
20	74	0	0.224064263	-11.2329672	-9.59927195	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
21	78	0	0.235267476	-11.9616751	-9.71176734	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
22	82	0	0.24647069	-11.9397766	-9.81304049	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
23	86	0	0.257673903	-11.6920992	-9.8947387	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
24	89	0	0.268877116	-11.0025963	-9.94089943	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
25	92	0	0.280080329	-9.92929175	-9.94043512	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
26	96	0	0.291283542	-9.23290198	-9.91322231	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
27	100	0	0.302486755	-8.58140692	-9.86389582	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
28	103	0	0.313689969	-7.53910641	-9.78086762	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
29	106	0	0.324893182	-6.5382329	-9.66905263	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
30	110	0	0.336096395	-6.60436898	-9.56689651	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
31	113	0	0.347299608	-6.78513701	-9.47716233	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
32	116	0	0.358502821	-6.88003698	-9.39600217	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
33	120	0	0.369706034	-7.01876627	-9.32396471	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
34	124	0	0.380909248	-7.14398964	-9.2598478	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
35	127	0	0.392112461	-7.2769128	-9.20319251	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
36	131	0	0.403315674	-7.36624278	-9.15216613	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
37	134	0	0.414518887	-7.46117508	-9.10646367	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
38	137	0	0.4257221	-7.49644604	-9.06409479	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
39	140	0	0.436925313	-7.55822277	-9.02548268	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
40	143	0	0.448128527	-7.6212268	-8.99037629	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
41	147	0	0.45933174	-7.62044645	-8.95696336	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
42	150	0	0.470534953	-7.48833681	-8.92199607	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
43	153	0	0.481738166	-7.47274229	-8.88829249	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
44	156	0	0.492941379	-7.40132138	-8.85449769	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
45	159	0	0.504144592	-7.34675984	-8.82099241	-14.3652634	-4.79531458	3.80983399	0	0	0	0	0	0	3
46	162	0	0.515347806	-7.3143956	-8.81986165	-14.3652634	-4.79531458	2.99195712	0	0	0	0	0	0	3
47	165	0	0.526551019	-7.25591711	-8.71899763	-14.3652634	-4.79531458	2.99195712	0	0	0	0	0	0	3
48	169	0	0.537754232	-7.25306198	-8.56094871	-11.9616751	-4.79531458	2.93056242	0	0	0	0	0	0	3
49	172	0	0.548957445	-7.29025643	-8.48007586	-11.9616751	-4.79531458	1.94986643	0	0	0	0	0	0	3
50	175	0	0.560160658	-7.14986495	-8.50095643	-11.9616751	-4.79531458	1.7577429	0	0	0	0	0	0	3
51	178	0	0.571363871	-7.23258571	-8.52002931	-11.9616751	-4.79531458	1.7577429	0	0	0	0	0	0	3
52	181	0	0.582567085	-7.08023886	-8.5708054	-11.9616751	-5.01330966	1.7577429	0	0	0	0	0	0	3
53	184	0	0.593770298	-7.17980778	-8.6189498	-11.9616751	-6.5382329	1.7577429	0	0	0	0	0	0	3
54	187	0	0.604973511	-6.98188858	-8.6229837	-11.9616751	-6.5382329	1.73985103	0	0	0	0	0	0	3
55	189	0	0.616176724	-7.04647509	-8.59374814	-11.9616751	-6.5382329	1.5450469	0	0	0	0	0	0	3
56	192	0	0.627379937	-7.00886225	-8.51963633	-11.9616751	-6.5382329	1.46082357	0	0	0	0	0	0	3
57	196	0	0.63858315	-7.05385369	-8.42828957	-11.9616751	-6.5382329	1.51260986	0	0	0	0	0	0	3
58	199	0	0.649786364	-6.97895704	-8.33794331	-11.9616751	-6.5382329	1.60295612	0	0	0	0	0	0	3
59	202	0	0.660989577	-7.03565126	-8.25742423	-11.9616751	-6.5382329	1.6834752	0	0	0	0	0	0	3
60	205	0	0.67219279	-7.02669884	-8.180684	-11.9616751	-6.5382329	1.76021543	0	0	0	0	0	0	3
61	208	0	0.683396003	-7.1248733	-8.09573952	-11.9616751	-6.5382329	1.84515991	0	0	0	0	0	0	3
62	211	0	0.694599216	-7.10443532	-8.0033826	-11.9616751	-6.5382329	1.93751683	0	0	0	0	0	0	3
63	214	0	0.705802429	-7.10801697	-7.90671007	-11.9616751	-6.5382329	2.03418936	0	0	0	0	0	0	3
