Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	-14.2691013	-14.2691013	-14.2691013	-14.2691013	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	-11.578416	-12.9237587	-14.2691013	-11.578416	1.34534266	0	0	0	0	0	0	3
3	19	0	0.0336096395	-13.5590124	-13.1355099	-14.2691013	-11.578416	1.34534266	0	0	0	0	0	0	3
4	22	0	0.0448128527	-13.8111239	-13.3044134	-14.2691013	-11.578416	1.34534266	0	0	0	0	0	0	3
5	25	0	0.0560160658	-14.8829871	-13.6201282	-14.8829871	-11.578416	1.34534266	0	0	0	0	0	0	3
6	28	0	0.067219279	-15.5669233	-13.944594	-15.5669233	-11.578416	1.34534266	0	0	0	0	0	0	3
7	32	0	0.0784224922	-16.5670251	-14.319227	-16.5670251	-11.578416	1.39546835	0	0	0	0	0	0	3
8	35	0	0.0896257053	-17.1537788	-14.673546	-17.1537788	-11.578416	1.74978732	0	0	0	0	0	0	3
9	38	0	0.100828918	-17.6256802	-15.0015609	-17.6256802	-11.578416	2.07780224	0	0	0	0	0	0	3
10	41	0	0.112032132	-17.9119538	-15.2926002	-17.9119538	-11.578416	2.36884152	0	0	0	0	0	0	3
11	44	0	0.123235345	-18.7500469	-15.6069135	-18.7500469	-11.578416	2.68315486	0	0	0	0	0	0	3
12	48	0	0.134438558	-19.5807299	-15.9380649	-19.5807299	-11.578416	3.01430622	0	0	0	0	0	0	3
13	51	0	0.145641771	-20.1919536	-16.2652871	-20.1919536	-11.578416	3.34152843	0	0	0	0	0	0	3
14	54	0	0.156844984	-20.6392091	-16.5777101	-20.6392091	-11.578416	3.65395143	0	0	0	0	0	0	3
15	57	0	0.168048197	-20.9810681	-16.8712673	-20.9810681	-11.578416	3.94750863	0	0	0	0	0	0	3
16	60	0	0.179251411	-21.3739287	-17.1526836	-21.3739287	-11.578416	4.22892496	0	0	0	0	0	0	3
17	64	0	0.190454624	-21.6420892	-17.4167663	-21.6420892	-11.578416	4.49300764	0	0	0	0	0	0	3
18	67	0	0.201657837	-21.8503624	-17.6630772	-21.8503624	-11.578416	4.73931854	0	0	0	0	0	0	3
19	70	0	0.21286105	-21.9672824	-17.8896143	-21.9672824	-11.578416	4.96585565	0	0	0	0	0	0	3
20	74	0	0.224064263	-22.0642731	-18.0983473	-22.0642731	-11.578416	5.17458859	0	0	0	0	0	0	3
21	78	0	0.235267476	-22.1071473	-18.2892425	-22.1071473	-11.578416	5.36548383	0	0	0	0	0	0	3
22	82	0	0.24647069	-22.130527	-18.4638464	-22.130527	-11.578416	5.54008767	0	0	0	0	0	0	3
23	86	0	0.257673903	-22.1098949	-18.6223702	-22.130527	-11.578416	5.69861151	0	0	0	0	0	0	3
24	89	0	0.268877116	-22.0903341	-18.7668687	-22.130527	-11.578416	5.84311001	0	0	0	0	0	0	3
25	92	0	0.280080329	-22.0366717	-18.8976608	-22.130527	-11.578416	5.97390213	0	0	0	0	0	0	3
26	96	0	0.291283542	-22.0205896	-19.0177735	-22.130527	-11.578416	6.09401478	0	0	0	0	0	0	3
27	100	0	0.302486755	-21.9713942	-19.1271668	-22.130527	-11.578416	6.20340814	0	0	0	0	0	0	3
