Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	-11.0457398	-11.0457398	-11.0457398	-11.0457398	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	-7.95951389	-9.50262683	-11.0457398	-7.95951389	1.54311294	0	0	0	0	0	0	3
3	19	0	0.0336096395	-7.82665234	-8.94396866	-11.0457398	-7.82665234	2.1017711	0	0	0	0	0	0	3
4	22	0	0.0448128527	-7.4818682	-8.57844355	-11.0457398	-7.4818682	2.46729622	0	0	0	0	0	0	3
5	25	0	0.0560160658	-7.649417	-8.39263824	-11.0457398	-7.4818682	2.65310153	0	0	0	0	0	0	3
6	28	0	0.067219279	-7.99786671	-8.32684298	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
7	32	0	0.0784224922	-8.40461585	-8.33795339	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
8	35	0	0.0896257053	-9.18709029	-8.44409551	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
9	38	0	0.100828918	-9.84219266	-8.59943963	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
10	41	0	0.112032132	-10.219365	-8.76143217	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
11	44	0	0.123235345	-10.3904102	-8.90952108	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
12	48	0	0.134438558	-10.4389967	-9.03697738	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
13	51	0	0.145641771	-10.4785481	-9.14786743	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
14	54	0	0.156844984	-10.5907928	-9.25093353	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
15	57	0	0.168048197	-10.6598934	-9.34486419	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
16	60	0	0.179251411	-10.7093687	-9.43014572	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
17	64	0	0.190454624	-10.7468128	-9.50759673	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
18	67	0	0.201657837	-10.767509	-9.57759185	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
19	70	0	0.21286105	-10.7873671	-9.64126424	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
20	74	0	0.224064263	-10.8157169	-9.69998687	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
21	78	0	0.235267476	-10.83959	-9.75425368	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
22	82	0	0.24647069	-10.865142	-9.80474861	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
23	86	0	0.257673903	-10.8834415	-9.8516483	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
24	89	0	0.268877116	-10.9279101	-9.89649254	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
25	92	0	0.280080329	-10.9495092	-9.93861321	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
26	96	0	0.291283542	-10.9919126	-9.97912472	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
27	100	0	0.302486755	-10.9902762	-10.0165748	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
28	103	0	0.313689969	-11.0112457	-10.0520987	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
29	106	0	0.324893182	-10.9979497	-10.0847143	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
30	110	0	0.336096395	-11.0004452	-10.1152387	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
31	113	0	0.347299608	-10.9743517	-10.142952	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
32	116	0	0.358502821	-10.9520565	-10.1682365	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
33	120	0	0.369706034	-10.9212232	-10.1910543	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
34	124	0	0.380909248	-10.9040629	-10.2120251	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
35	127	0	0.392112461	-10.874626	-10.2309566	-11.0457398	-7.4818682	2.71889678	0	0	0	0	0	0	3
