Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	0	0	0	0	0	0	0	0	0	0	0	3
2	15	0	0.0224064263	0	0	0	0	0	0	0	0	0	0	0	3
3	19	0	0.0336096395	0	0	0	0	0	0	0	0	0	0	0	3
4	22	0	0.0448128527	0	0	0	0	0	0	0	0	0	0	0	3
5	25	0	0.0560160658	0	0	0	0	0	0	0	0	0	0	0	3
6	28	0	0.067219279	0	0	0	0	0	0	0	0	0	0	0	3
7	32	0	0.0784224922	0	0	0	0	0	0	0	0	0	0	0	3
8	35	0	0.0896257053	0	0	0	0	0	0	0	0	0	0	0	3
9	38	0	0.100828918	0	0	0	0	0	0	0	0	0	0	0	3
10	41	0	0.112032132	0	0	0	0	0	0	0	0	0	0	0	3
11	44	0	0.123235345	0	0	0	0	0	0	0	0	0	0	0	3
12	48	0	0.134438558	0	0	0	0	0	0	0	0	0	0	0	3
13	51	0	0.145641771	0	0	0	0	0	0	0	0	0	0	0	3
14	54	0	0.156844984	0	0	0	0	0	0	0	0	0	0	0	3
15	57	0	0.168048197	0	0	0	0	0	0	0	0	0	0	0	3
16	60	0	0.179251411	0	0	0	0	0	0	0	0	0	0	0	3
17	64	0	0.190454624	0	0	0	0	0	0	0	0	0	0	0	3
18	67	0	0.201657837	0	0	0	0	0	0	0	0	0	0	0	3
19	70	0	0.21286105	0	0	0	0	0	0	0	0	0	0	0	3
20	74	0	0.224064263	0	0	0	0	0	0	0	0	0	0	0	3
21	78	0	0.235267476	0	0	0	0	0	0	0	0	0	0	0	3
22	82	0	0.24647069	0	0	0	0	0	0	0	0	0	0	0	3
23	86	0	0.257673903	0	0	0	0	0	0	0	0	0	0	0	3
24	89	0	0.268877116	0	0	0	0	0	0	0	0	0	0	0	3
25	92	0	0.280080329	0	0	0	0	0	0	0	0	0	0	0	3
26	96	0	0.291283542	0	0	0	0	0	0	0	0	0	0	0	3
27	100	0	0.302486755	0	0	0	0	0	0	0	0	0	0	0	3
28	103	0	0.313689969	0	0	0	0	0	0	0	0	0	0	0	3
29	106	0	0.324893182	0	0	0	0	0	0	0	0	0	0	0	3
30	110	0	0.336096395	0	0	0	0	0	0	0	0	0	0	0	3
31	113	0	0.347299608	0	0	0	0	0	0	0	0	0	0	0	3
32	116	0	0.358502821	0	0	0	0	0	0	0	0	0	0	0	3
33	120	0	0.369706034	0	0	0	0	0	0	0	0	0	0	0	3
34	124	0	0.380909248	0	0	0	0	0	0	0	0	0	0	0	3
35	127	0	0.392112461	0	0	0	0	0	0	0	0	0	0	0	3
36	131	0	0.403315674	0	0	0	0	0	0	0	0	0	0	0	3
37	134	0	0.414518887	0	0	0	0	0	0	0	0	0	0	0	3
38	137	0	0.4257221	0	0	0	0	0	0	0	0	0	0	0	3
39	140	0	0.436925313	0	0	0	0	0	0	0	0	0	0	0	3
40	143	0	0.448128527	0	0	0	0	0	0	0	0	0	0	0	3
41	147	0	0.45933174	0	0	0	0	0	0	0	0	0	0	0	3
42	150	0	0.470534953	0	0	0	0	0	0	0	0	0	0	0	3
43	153	0	0.481738166	0	0	0	0	0	0	0	0	0	0	0	3
44	156	0	0.492941379	0	0	0	0	0	0	0	0	0	0	0	3
45	159	0	0.504144592	0	0	0	0	0	0	0	0	0	0	0	3
46	162	0	0.515347806	0	0	0	0	0	0	0	0	0	0	0	3
47	165	0	0.526551019	0	0	0	0	0	0	0	0	0	0	0	3
48	169	0	0.537754232	0	0	0	0	0	0	0	0	0	0	0	3
49	172	0	0.548957445	0	0	0	0	0	0	0	0	0	0	0	3
50	175	0	0.560160658	0	0	0	0	0	0	0	0	0	0	0	3
51	178	0	0.571363871	0	0	0	0	0	0	0	0	0	0	0	3
52	181	0	0.582567085	0	0	0	0	0	0	0	0	0	0	0	3
53	184	0	0.593770298	0	0	0	0	0	0	0	0	0	0	0	3
54	187	0	0.604973511	0	0	0	0	0	0	0	0	0	0	0	3
55	189	0	0.616176724	0	0	0	0	0	0	0	0	0	0	0	3
56	192	0	0.627379937	0	0	0	0	0	0	0	0	0	0	0	3
57	196	0	0.63858315	0	0	0	0	0	0	0	0	0	0	0	3
58	199	0	0.649786364	0	0	0	0	0	0	0	0	0	0	0	3
59	202	0	0.660989577	0	0	0	0	0	0	0	0	0	0	0	3
60	205	0	0.67219279	0	0	0	0	0	0	0	0	0	0	0	3
61	208	0	0.683396003	0	0	0	0	0	0	0	0	0	0	0	3
62	211	0	0.694599216	0	0	0	0	0	0	0	0	0	0	0	3
63	214	0	0.705802429	0	0	0	0	0	0	0	0	0	0	0	3
64	217	0	0.717005643	0	0	0	0	0	0	0	0	0	0	0	3
65	220	0	0.728208856	0	0	0	0	0	0	0	0	0	0	0	3
66	223	0	0.739412069	0	0	0	0	0	0	0	0	0	0	0	3
67	226	0	0.750615282	0	0	0	0	0	0	0	0	0	0	0	3
68	229	0	0.761818495	0	0	0	0	0	0	0	0	0	0	0	3
69	232	0	0.773021708	0	0	0	0	0	0	0	0	0	0	0	3
70	235	0	0.784224922	0	0	0	0	0	0	0	0	0	0	0	3
71	238	0	0.795428135	0	0	0	0	0	0	0	0	0	0	0	3
72	241	0	0.806631348	0	0	0	0	0	0	0	0	0	0	0	3
73	244	0	0.817834561	0	0	0	0	0	0	0	0	0	0	0	3
74	247	0	0.829037774	0	0	0	0	0	0	0	0	0	0	0	3
75	250	0	0.840240987	0	0	0	0	0	0	0	0	0	0	0	3
76	253	0	0.851444201	0	0	0	0	0	0	0	0	0	0	0	3
77	256	0	0.862647414	0	0	0	0	0	0	0	0	0	0	0	3
78	259	0	0.873850627	0	0	0	0	0	0	0	0	0	0	0	3
79	262	0	0.88505384	0	0	0	0	0	0	0	0	0	0	0	3
80	265	0	0.896257053	0	0	0	0	0	0	0	0	0	0	0	3
81	268	0	0.907460266	0	0	0	0	0	0	0	0	0	0	0	3
82	271	0	0.918663479	0	0	0	0	0	0	0	0	0	0	0	3
83	274	0	0.929866693	0	0	0	0	0	0	0	0	0	0	0	3
84	277	0	0.941069906	0	0	0	0	0	0	0	0	0	0	0	3
85	280	0	0.952273119	0	0	0	0	0	0	0	0	0	0	0	3
86	283	0	0.963476332	0	0	0	0	0	0	0	0	0	0	0	3
87	286	0	0.974679545	0	0	0	0	0	0	0	0	0	0	0	3
88	289	0	0.985882758	0	0	0	0	0	0	0	0	0	0	0	3
89	292	0	0.997085972	0	0	0	0	0	0	0	0	0	0	0	3
90	294	0	1.00828918	0	0	0	0	0	0.001	0	0	0	0	0	3
91	297	0	1.0194924	0	0	0	0	0	0.001	0	0	0	0	0	3
92	300	0	1.03069561	0	0	0	0	0	0.001	0	0	0	0	0	3
93	303	0	1.04189882	0	0	0	0	0	0.001	0	0	0	0	0	3
94	306	0	1.05310204	0	0	0	0	0	0.001	0	0	0	0	0	3
95	309	0	1.06430525	0	0	0	0	0	0.001	0	0	0	0	0	3
96	312	0	1.07550846	0	0	0	0	0	0.001	0	0	0	0	0	3
97	315	0	1.08671168	0	0	0	0	0	0.001	0	0	0	0	0	3
98	318	0	1.09791489	0	0	0	0	0	0.001	0	0	0	0	0	3
99	321	0	1.1091181	0	0	0	0	0	0.001	0	0	0	0	0	3
100	324	0	1.12032132	0	0	0	0	0	0.001	0	0	0	0	0	3
101	327	0	1.13152453	0	0	0	0	0	0.001	0	0	0	0	0	3
102	330	0	1.14272774	0	0	0	0	0	0.001	0	0	0	0	0	3
103	333	0	1.15393096	0	0	0	0	0	0.001	0	0	0	0	0	3
104	336	0	1.16513417	0	0	0	0	0	0.001	0	0	0	0	0	3
105	339	0	1.17633738	0	0	0	0	0	0.001	0	0	0	0	0	3
106	342	0	1.1875406	0	0	0	0	0	0.001	0	0	0	0	0	3
107	345	0	1.19874381	0	0	0	0	0	0.001	0	0	0	0	0	3
108	348	0	1.20994702	0	0	0	0	0	0.001	0	0	0	0	0	3
109	351	0	1.22115023	0	0	0	0	0	0.001	0	0	0	0	0	3
110	354	0	1.23235345	0	0	0	0	0	0.001	0	0	0	0	0	3
111	356	0	1.24355666	0	0	0	0	0	0.001	0	0	0	0	0	3
112	359	0	1.25475987	0	0	0	0	0	0.001	0	0	0	0	0	3
113	362	0	1.26596309	0	0	0	0	0	0.001	0	0	0	0	0	3
114	365	0	1.2771663	0	0	0	0	0	0.001	0	0	0	0	0	3
115	368	0	1.28836951	0	0	0	0	0	0.001	0	0	0	0	0	3
116	371	0	1.29957273	0	0	0	0	0	0.001	0	0	0	0	0	3
117	374	0	1.31077594	0	0	0	0	0	0.001	0	0	0	0	0	3
118	377	0	1.32197915	0	0	0	0	0	0.001	0	0	0	0	0	3
119	380	0	1.33318237	0	0	0	0	0	0.001	0	0	0	0	0	3
120	383	0	1.34438558	0	0	0	0	0	0.001	0	0	0	0	0	3
121	385	0	1.35558879	0	0	0	0	0	0.001	0	0	0	0	0	3
122	388	0	1.36679201	0	0	0	0	0	0.001	0	0	0	0	0	3
123	391	0	1.37799522	0	0	0	0	0	0.001	0	0	0	0	0	3
124	394	0	1.38919843	0	0	0	0	0	0.001	0	0	0	0	0	3
125	397	0	1.40040165	0	0	0	0	0	0.001	0	0	0	0	0	3
126	400	0	1.41160486	0	0	0	0	0	0.001	0	0	0	0	0	3
127	403	0	1.42280807	0	0	0	0	0	0.001	0	0	0	0	0	3
128	406	0	1.43401129	0	0	0	0	0	0.001	0	0	0	0	0	3
129	409	0	1.4452145	0	0	0	0	0	0.001	0	0	0	0	0	3
130	412	0	1.45641771	0	0	0	0	0	0.001	0	0	0	0	0	3
131	415	0	1.46762092	0	0	0	0	0	0.001	0	0	0	0	0	3
132	418	0	1.47882414	0	0	0	0	0	0.001	0	0	0	0	0	3
133	421	0	1.49002735	0	0	0	0	0	0.001	0	0	0	0	0	3
134	424	0	1.50123056	0	0	0	0	0	0.001	0	0	0	0	0	3
135	427	0	1.51243378	0	0	0	0	0	0.001	0	0	0	0	0	3
136	430	0	1.52363699	0	0	0	0	0	0.001	0	0	0	0	0	3
137	432	0	1.5348402	0	0	0	0	0	0.001	0	0	0	0	0	3
138	435	0	1.54604342	0	0	0	0	0	0.001	0	0	0	0	0	3
139	438	0	1.55724663	0	0	0	0	0	0.001	0	0	0	0	0	3
140	441	0	1.56844984	0	0	0	0	0	0.001	0	0	0	0	0	3
141	444	0	1.57965306	0	0	0	0	0	0.001	0	0	0	0	0	3
142	447	0	1.59085627	0	0	0	0	0	0.001	0	0	0	0	0	3
143	450	0	1.60205948	0	0	0	0	0	0.001	0	0	0	0	0	3
144	453	0	1.6132627	0	0	0	0	0	0.001	0	0	0	0	0	3
145	456	0	1.62446591	0	0	0	0	0	0.001	0	0	0	0	0	3
146	459	0	1.63566912	0	0	0	0	0	0.001	0	0	0	0	0	3
147	462	0	1.64687234	0	0	0	0	0	0.001	0	0	0	0	0	3
148	465	0	1.65807555	0	0	0	0	0	0.001	0	0	0	0	0	3
149	468	0	1.66927876	0	0	0	0	0	0.001	0	0	0	0	0	3
150	471	0	1.68048197	0	0	0	0	0	0.001	0	0	0	0	0	3
151	474	0	1.69168519	0	0	0	0	0	0.001	0	0	0	0	0	3
152	481	0	1.7028884	0	0	0	0	0	0.001	0	0	0	0	0	3
153	485	0	1.71409161	0	0	0	0	0	0.001	0	0	0	0	0	3
154	489	0	1.72529483	0	0	0	0	0	0.001	0	0	0	0	0	3
155	493	0	1.73649804	0	0	0	0	0	0.001	0	0	0	0	0	3
156	497	0	1.74770125	0	0	0	0	0	0.001	0	0	0	0	0	3
157	501	0	1.75890447	0	0	0	0	0	0.001	0	0	0	0	0	3
158	505	0	1.77010768	0	0	0	0	0	0.001	0	0	0	0	0	3
159	508	0	1.78131089	0	0	0	0	0	0.001	0	0	0	0	0	3
160	512	0	1.79251411	0	0	0	0	0	0.001	0	0	0	0	0	3
161	517	0	1.80371732	0	0	0	0	0	0.001	0	0	0	0	0	3
162	521	0	1.81492053	0	0	0	0	0	0.001	0	0	0	0	0	3
163	526	0	1.82612375	0	0	0	0	0	0.001	0	0	0	0	0	3
164	530	0	1.83732696	0	0	0	0	0	0.001	0	0	0	0	0	3
165	533	0	1.84853017	0	0	0	0	0	0.001	0	0	0	0	0	3
