Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	101182.834	101182.834	101182.834	101182.834	0	0	0	0	15233.6	0	0	3
2	15	0	0.0224064263	101181.24	101182.037	101181.24	101182.834	0.797028037	0	0	0	7262.82	0	0	3
3	19	0	0.0336096395	101181.28	101181.785	101181.24	101182.834	1.04919313	0	0	0	4763.76	0	0	3
4	22	0	0.0448128527	101181.269	101181.656	101181.24	101182.834	1.17813419	0	0	0	4148.49	0	0	3
5	25	0	0.0560160658	101181.225	101181.57	101181.225	101182.834	1.26437099	0	0	0	2933.32	0	0	3
6	28	0	0.067219279	101181.245	101181.516	101181.225	101182.834	1.31841463	0	0	0	2464.48	0	0	3
7	32	0	0.0784224922	101181.206	101181.471	101181.206	101182.834	1.36258198	0	0	0	2295.34	0	0	3
8	35	0	0.0896257053	101181.199	101181.437	101181.199	101182.834	1.3966315	0	0	0	2227.85	0	0	3
9	38	0	0.100828918	101181.168	101181.407	101181.168	101182.834	1.42652964	0	0	0	2097.77	0	0	3
10	41	0	0.112032132	101181.152	101181.382	101181.152	101182.834	1.45204859	0	0	0	1962.54	0	0	3
11	44	0	0.123235345	101181.118	101181.358	101181.118	101182.834	1.47602186	0	0	0	1879.09	0	0	3
12	48	0	0.134438558	101181.098	101181.336	101181.098	101182.834	1.49771459	0	0	0	1821.69	0	0	3
13	51	0	0.145641771	101181.06	101181.315	101181.06	101182.834	1.5189579	0	0	0	1766.09	0	0	3
14	54	0	0.156844984	101181.04	101181.295	101181.04	101182.834	1.53858684	0	0	0	1787.72	0	0	3
15	57	0	0.168048197	101181.002	101181.276	101181.002	101182.834	1.55812138	0	0	0	1787.22	0	0	3
16	60	0	0.179251411	101180.985	101181.258	101180.985	101182.834	1.57630251	0	0	0	1764.47	0	0	3
17	64	0	0.190454624	101180.949	101181.24	101180.949	101182.834	1.59448265	0	0	0	1722.11	0	0	3
18	67	0	0.201657837	101180.928	101181.222	101180.928	101182.834	1.61179742	0	0	0	1686.15	0	0	3
19	70	0	0.21286105	101180.897	101181.205	101180.897	101182.834	1.6289388	0	0	0	1644.58	0	0	3
20	74	0	0.224064263	101180.872	101181.188	101180.872	101182.834	1.6455687	0	0	0	1605.71	0	0	3
21	78	0	0.235267476	101180.847	101181.172	101180.847	101182.834	1.66185035	0	0	0	1570.17	0	0	3
22	82	0	0.24647069	101180.822	101181.156	101180.822	101182.834	1.67776931	0	0	0	1532.89	0	0	3
