Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	12	0	0.0112032132	293.200233	293.200233	293.200233	293.200233	0	0	0	0	0.682104	0	0	3
2	15	0	0.0224064263	293.200255	293.200244	293.200233	293.200255	1.11326547e-05	0	0	0	0.655501	0	0	3
3	19	0	0.0336096395	293.200274	293.200254	293.200233	293.200274	2.11166384e-05	0	0	0	0.573569	0	0	3
4	22	0	0.0448128527	293.200291	293.200263	293.200233	293.200291	3.03354354e-05	0	0	0	0.539051	0	0	3
5	25	0	0.0560160658	293.200307	293.200272	293.200233	293.200307	3.90627778e-05	0	0	0	0.503721	0	0	3
6	28	0	0.067219279	293.200333	293.200282	293.200233	293.200333	4.9265492e-05	0	0	0	0.491846	0	0	3
7	32	0	0.0784224922	293.200362	293.200293	293.200233	293.200362	6.0739882e-05	0	0	0	0.500409	0	0	3
8	35	0	0.0896257053	293.200392	293.200306	293.200233	293.200392	7.30237041e-05	0	0	0	0.484906	0	0	3
9	38	0	0.100828918	293.20042	293.200318	293.200233	293.20042	8.5718676e-05	0	0	0	0.456157	0	0	3
10	41	0	0.112032132	293.200447	293.200331	293.200233	293.200447	9.86249609e-05	0	0	0	0.429431	0	0	3
11	44	0	0.123235345	293.200488	293.200345	293.200233	293.200488	0.000112873662	0	0	0	0.397378	0	0	3
12	48	0	0.134438558	293.200527	293.200361	293.200233	293.200527	0.000128040697	0	0	0	0.387508	0	0	3
13	51	0	0.145641771	293.200566	293.200376	293.200233	293.200566	0.000143846197	0	0	0	0.368121	0	0	3
14	54	0	0.156844984	293.200604	293.200393	293.200233	293.200604	0.000160086162	0	0	0	0.353844	0	0	3
15	57	0	0.168048197	293.200641	293.200409	293.200233	293.200641	0.000176621947	0	0	0	0.347997	0	0	3
16	60	0	0.179251411	293.200695	293.200427	293.200233	293.200695	0.000194463835	0	0	0	0.345411	0	0	3
17	64	0	0.190454624	293.200747	293.200446	293.200233	293.200747	0.000213309906	0	0	0	0.344298	0	0	3
18	67	0	0.201657837	293.200799	293.200465	293.200233	293.200799	0.000232922794	0	0	0	0.341851	0	0	3
19	70	0	0.21286105	293.200849	293.200486	293.200233	293.200849	0.000253106125	0	0	0	0.33875	0	0	3
20	74	0	0.224064263	293.200898	293.200506	293.200233	293.200898	0.000273725377	0	0	0	0.335861	0	0	3
21	78	0	0.235267476	293.20097	293.200528	293.200233	293.20097	0.000295789017	0	0	0	0.331758	0	0	3
22	82	0	0.24647069	293.20104	293.200552	293.200233	293.20104	0.000319056324	0	0	0	0.328161	0	0	3
23	86	0	0.257673903	293.20111	293.200576	293.200233	293.20111	0.000343334058	0	0	0	0.324964	0	0	3
24	89	0	0.268877116	293.201179	293.200601	293.200233	293.201179	0.000368457228	0	0	0	0.321973	0	0	3
25	92	0	0.280080329	293.201247	293.200627	293.200233	293.201247	0.000394300562	0	0	0	0.319085	0	0	3
26	96	0	0.291283542	293.201348	293.200655	293.200233	293.201348	0.000422019181	0	0	0	0.315816	0	0	3
27	100	0	0.302486755	293.201448	293.200684	293.200233	293.201448	0.000451394352	0	0	0	0.313565	0	0	3
28	103	0	0.313689969	293.201547	293.200715	293.200233	293.201547	0.00048223357	0	0	0	0.311883	0	0	3
29	106	0	0.324893182	293.201645	293.200747	293.200233	293.201645	0.000514301302	0	0	0	0.310584	0	0	3
30	110	0	0.336096395	293.201738	293.20078	293.200233	293.201738	0.000547342698	0	0	0	0.309886	0	0	3
31	113	0	0.347299608	293.201864	293.200815	293.200233	293.201864	0.000582303228	0	0	0	0.309383	0	0	3
32	116	0	0.358502821	293.201976	293.200851	293.200233	293.201976	0.000618589063	0	0	0	0.3095	0	0	3
33	120	0	0.369706034	293.202073	293.200888	293.200233	293.202073	0.000655617436	0	0	0	0.309582	0	0	3
34	124	0	0.380909248	293.202156	293.200925	293.200233	293.202156	0.00069289619	0	0	0	0.310103	0	0	3
35	127	0	0.392112461	293.202225	293.200963	293.200233	293.202225	0.000730039106	0	0	0	0.3105	0	0	3
36	131	0	0.403315674	293.20231	293.201	293.200233	293.20231	0.000767460172	0	0	0	0.31112	0	0	3
37	134	0	0.414518887	293.202381	293.201037	293.200233	293.202381	0.000804781161	0	0	0	0.311083	0	0	3
38	137	0	0.4257221	293.202442	293.201074	293.200233	293.202442	0.000841757781	0	0	0	0.311109	0	0	3
39	140	0	0.436925313	293.202502	293.201111	293.200233	293.202502	0.000878369119	0	0	0	0.310968	0	0	3
40	143	0	0.448128527	293.202558	293.201147	293.200233	293.202558	0.000914536389	0	0	0	0.30993	0	0	3
41	147	0	0.45933174	293.202626	293.201183	293.200233	293.202626	0.000950607201	0	0	0	0.31015	0	0	3
42	150	0	0.470534953	293.202688	293.201219	293.200233	293.202688	0.000986433382	0	0	0	0.308865	0	0	3
43	153	0	0.481738166	293.202743	293.201254	293.200233	293.202743	0.00102187552	0	0	0	0.309026	0	0	3
44	156	0	0.492941379	293.202786	293.201289	293.200233	293.202786	0.00105668511	0	0	0	0.307614	0	0	3
45	159	0	0.504144592	293.202819	293.201323	293.200233	293.202819	0.00109067102	0	0	0	0.307505	0	0	3
46	162	0	0.515347806	293.202843	293.201381	293.200255	293.202843	0.00113754617	0	0	0	0.306149	0	0	3
47	165	0	0.526551019	293.20286	293.201439	293.200274	293.20286	0.00118545586	0	0	0	0.306964	0	0	3
48	169	0	0.537754232	293.202872	293.201497	293.200291	293.202872	0.0012339767	0	0	0	0.305907	0	0	3
49	172	0	0.548957445	293.202881	293.201554	293.200307	293.202881	0.00128281843	0	0	0	0.30611	0	0	3
50	175	0	0.560160658	293.202885	293.201612	293.200333	293.202885	0.00132991613	0	0	0	0.304875	0	0	3
51	178	0	0.571363871	293.202887	293.201668	293.200362	293.202887	0.00137519332	0	0	0	0.305328	0	0	3
52	181	0	0.582567085	293.202887	293.201725	293.200392	293.202887	0.00141902239	0	0	0	0.304575	0	0	3
53	184	0	0.593770298	293.202888	293.20178	293.20042	293.202888	0.00146181131	0	0	0	0.305153	0	0	3
54	187	0	0.604973511	293.202891	293.201835	293.200447	293.202891	0.00150381269	0	0	0	0.304467	0	0	3
55	189	0	0.616176724	293.202897	293.201889	293.200488	293.202897	0.00154399443	0	0	0	0.305128	0	0	3
56	192	0	0.627379937	293.202904	293.201943	293.200527	293.202904	0.0015825091	0	0	0	0.304389	0	0	3
57	196	0	0.63858315	293.202912	293.201996	293.200566	293.202912	0.00161969402	0	0	0	0.305745	0	0	3
58	199	0	0.649786364	293.20292	293.202048	293.200604	293.20292	0.00165576705	0	0	0	0.305058	0	0	3
59	202	0	0.660989577	293.202929	293.2021	293.200641	293.202929	0.00169089559	0	0	0	0.305972	0	0	3
60	205	0	0.67219279	293.202934	293.202151	293.200695	293.202934	0.00172401829	0	0	0	0.305158	0	0	3
61	208	0	0.683396003	293.202938	293.202201	293.200747	293.202938	0.00175502204	0	0	0	0.305714	0	0	3
62	211	0	0.694599216	293.202939	293.20225	293.200799	293.202939	0.00178410098	0	0	0	0.304939	0	0	3
63	214	0	0.705802429	293.202937	293.202297	293.200849	293.202939	0.00181143644	0	0	0	0.306236	0	0	3
64	217	0	0.717005643	293.202933	293.202343	293.200898	293.202939	0.00183713497	0	0	0	0.305638	0	0	3
65	220	0	0.728208856	293.202928	293.202388	293.20097	293.202939	0.00186017169	0	0	0	0.306261	0	0	3
66	223	0	0.739412069	293.202921	293.202432	293.20104	293.202939	0.00188027099	0	0	0	0.305454	0	0	3
67	226	0	0.750615282	293.202914	293.202474	293.20111	293.202939	0.00182853497	0	0	0	0.3064	0	0	3
68	229	0	0.761818495	293.202906	293.202513	293.201179	293.202939	0.00175968907	0	0	0	0.305789	0	0	3
69	232	0	0.773021708	293.202898	293.202552	293.201247	293.202939	0.0016914386	0	0	0	0.306691	0	0	3
70	235	0	0.784224922	293.20289	293.202588	293.201348	293.202939	0.00159099455	0	0	0	0.306048	0	0	3
71	238	0	0.795428135	293.202882	293.202622	293.201448	293.202939	0.00149083038	0	0	0	0.306996	0	0	3
72	241	0	0.806631348	293.202875	293.202654	293.201547	293.202939	0.00139108674	0	0	0	0.306276	0	0	3
73	244	0	0.817834561	293.202868	293.202683	293.201645	293.202939	0.00129378141	0	0	0	0.307283	0	0	3
74	247	0	0.829037774	293.202861	293.20271	293.201738	293.202939	0.00120043599	0	0	0	0.306474	0	0	3
75	250	0	0.840240987	293.202855	293.202735	293.201864	293.202939	0.00107486006	0	0	0	0.307809	0	0	3
76	253	0	0.851444201	293.20285	293.202757	293.201976	293.202939	0.000962529237	0	0	0	0.307116	0	0	3
77	256	0	0.862647414	293.202844	293.202776	293.202073	293.202939	0.000865453841	0	0	0	0.308006	0	0	3
78	259	0	0.873850627	293.202838	293.202793	293.202156	293.202939	0.000782884118	0	0	0	0.307179	0	0	3
79	262	0	0.88505384	293.202833	293.202808	293.202225	293.202939	0.000713080928	0	0	0	0.307678	0	0	3
80	265	0	0.896257053	293.202827	293.202822	293.20231	293.202939	0.000628781726	0	0	0	0.306868	0	0	3
81	268	0	0.907460266	293.202822	293.202833	293.202381	293.202939	0.000557642417	0	0	0	0.308129	0	0	3
82	271	0	0.918663479	293.202816	293.202843	293.202442	293.202939	0.000496086461	0	0	0	0.307541	0	0	3
83	274	0	0.929866693	293.202811	293.202851	293.202502	293.202939	0.000436379253	0	0	0	0.308061	0	0	3
84	277	0	0.941069906	293.202806	293.202858	293.202558	293.202939	0.000380919262	0	0	0	0.307212	0	0	3
85	280	0	0.952273119	293.202801	293.202863	293.202626	293.202939	0.000312539516	0	0	0	0.308087	0	0	3
86	283	0	0.963476332	293.202796	293.202867	293.202688	293.202939	0.000250672396	0	0	0	0.307426	0	0	3
