Iteration	CPUTime	PhysTime	Travels
1	12	0	0.0112032132
2	15	0	0.0224064263
3	19	0	0.0336096395
4	22	0	0.0448128527
5	25	0	0.0560160658
6	28	0	0.067219279
7	32	0	0.0784224922
8	35	0	0.0896257053
9	38	0	0.100828918
10	41	0	0.112032132
11	44	0	0.123235345
12	48	0	0.134438558
13	51	0	0.145641771
14	54	0	0.156844984
15	57	0	0.168048197
16	60	0	0.179251411
17	64	0	0.190454624
18	67	0	0.201657837
19	70	0	0.21286105
20	74	0	0.224064263
21	78	0	0.235267476
22	82	0	0.24647069
23	86	0	0.257673903
24	89	0	0.268877116
25	92	0	0.280080329
26	96	0	0.291283542
27	100	0	0.302486755
28	103	0	0.313689969
29	106	0	0.324893182
30	110	0	0.336096395
31	113	0	0.347299608
32	116	0	0.358502821
33	120	0	0.369706034
34	124	0	0.380909248
35	127	0	0.392112461
36	131	0	0.403315674
37	134	0	0.414518887
38	137	0	0.4257221
39	140	0	0.436925313
40	143	0	0.448128527
41	147	0	0.45933174
42	150	0	0.470534953
43	153	0	0.481738166
44	156	0	0.492941379
45	159	0	0.504144592
46	162	0	0.515347806
47	165	0	0.526551019
48	169	0	0.537754232
49	172	0	0.548957445
50	175	0	0.560160658
51	178	0	0.571363871
52	181	0	0.582567085
53	184	0	0.593770298
54	187	0	0.604973511
55	189	0	0.616176724
56	192	0	0.627379937
57	196	0	0.63858315
58	199	0	0.649786364
59	202	0	0.660989577
60	205	0	0.67219279
61	208	0	0.683396003
62	211	0	0.694599216
63	214	0	0.705802429
64	217	0	0.717005643
65	220	0	0.728208856
66	223	0	0.739412069
67	226	0	0.750615282
68	229	0	0.761818495
69	232	0	0.773021708
70	235	0	0.784224922
71	238	0	0.795428135
72	241	0	0.806631348
73	244	0	0.817834561
74	247	0	0.829037774
75	250	0	0.840240987
76	253	0	0.851444201
77	256	0	0.862647414
78	259	0	0.873850627
79	262	0	0.88505384
80	265	0	0.896257053
81	268	0	0.907460266
82	271	0	0.918663479
83	274	0	0.929866693
84	277	0	0.941069906
85	280	0	0.952273119
86	283	0	0.963476332
87	286	0	0.974679545
88	289	0	0.985882758
89	292	0	0.997085972
90	294	0	1.00828918
91	297	0	1.0194924
92	300	0	1.03069561
93	303	0	1.04189882
94	306	0	1.05310204
95	309	0	1.06430525
96	312	0	1.07550846
97	315	0	1.08671168
98	318	0	1.09791489
99	321	0	1.1091181
100	324	0	1.12032132
101	327	0	1.13152453
102	330	0	1.14272774
103	333	0	1.15393096
104	336	0	1.16513417
105	339	0	1.17633738
106	342	0	1.1875406
107	345	0	1.19874381
108	348	0	1.20994702
109	351	0	1.22115023
110	354	0	1.23235345
111	356	0	1.24355666
112	359	0	1.25475987
113	362	0	1.26596309
114	365	0	1.2771663
115	368	0	1.28836951
116	371	0	1.29957273
117	374	0	1.31077594
118	377	0	1.32197915
119	380	0	1.33318237
120	383	0	1.34438558
121	385	0	1.35558879
122	388	0	1.36679201
123	391	0	1.37799522
124	394	0	1.38919843
125	397	0	1.40040165
126	400	0	1.41160486
127	403	0	1.42280807
128	406	0	1.43401129
129	409	0	1.4452145
130	412	0	1.45641771
131	415	0	1.46762092
132	418	0	1.47882414
133	421	0	1.49002735
134	424	0	1.50123056
135	427	0	1.51243378
136	430	0	1.52363699
137	432	0	1.5348402
138	435	0	1.54604342
139	438	0	1.55724663
140	441	0	1.56844984
141	444	0	1.57965306
142	447	0	1.59085627
143	450	0	1.60205948
144	453	0	1.6132627
145	456	0	1.62446591
146	459	0	1.63566912
147	462	0	1.64687234
148	465	0	1.65807555
149	468	0	1.66927876
150	471	0	1.68048197
151	474	0	1.69168519
152	481	0	1.7028884
153	485	0	1.71409161
154	489	0	1.72529483
155	493	0	1.73649804
156	497	0	1.74770125
157	501	0	1.75890447
158	505	0	1.77010768
159	508	0	1.78131089
160	512	0	1.79251411
161	517	0	1.80371732
162	521	0	1.81492053
163	526	0	1.82612375
164	530	0	1.83732696
165	533	0	1.84853017
